# NED-1D, V2.0
# 3,716 distances to 1,210 galaxies with v &lt; 1/8 c, published in 524 
# papers since Jan. 1, 1990, with the exception of 4 papers from 1988-89; 
# updated to July 1, 2006
#
# Compiled from the literature by Barry F. Madore (Pasadena) and 
# Ian P. Steer (Toronto)
# Galaxy_Name                  m-M     err     D         Method     REFCODE              Notes                          RA          Dec          GLON    GLAT    Type_(RC3)   Vgsr_(RC3)      
# -                            (mag)   (mag)   (Mpc)     -          -                    -                              (J2000)     (J2000)      -       -       -            (km/s)          
# (1)                          (2)     (3)     (4)       (5)        (6)                  (7)                            (8)         (9)          (10)    (11)    (12)         (13)            
NGC0680                         32.920   0.410    38.300 FP         2001MNRAS.327.1004B  -                              01:49:47.3  +21:58:15.1    140.4  -38.9 E+..P*              2914.0
NGC0701                         31.640   0.160    21.300 Sosies     2002A&amp;A...393... -                              01:51:03.8  -09:42:09.4    164.7  -67.6 SBT5                1847.0
ESO245-G007:PhoenixDwarf        22.770   0.100     0.358 TRGB       1999AJ....117.2199C  -                              01:51:06.3  -44:26:40.9    272.2  -68.9 IA.9                   0.0
ESO245-G007:PhoenixDwarf        23.000   0.100     0.398 TRGB       1999AJ....117.2199C  -                              01:51:06.3  -44:26:40.9    272.2  -68.9 IA.9                   0.0
ESO245-G007:PhoenixDwarf        23.040   0.070     0.406 TRGB       1999A&amp;A...345..7 -                              01:51:06.3  -44:26:40.9    272.2  -68.9 IA.9                   0.0
ESO245-G007:PhoenixDwarf        23.210   0.080     0.439 CMD        1999A&amp;A...345..7 -                              01:51:06.3  -44:26:40.9    272.2  -68.9 IA.9                   0.0
ESO245-G007:PhoenixDwarf        23.000  -9.000     0.398 C_stars    1999AJ....117.2199C  2                              01:51:06.3  -44:26:40.9    272.2  -68.9 IA.9                   0.0
NGC0708:Abell262                34.140   0.250    67.300 GCLF       1998ApJ...499..577L  -                              01:52:46.5  +36:09:06.6    136.6  -25.1 E                   4948.0
NGC0708:Abell262                34.170   0.170    68.200 GCLF       2002ApJ...567..294O  -                              01:52:46.5  +36:09:06.6    136.6  -25.1 E                   4948.0
NGC0708:Abell262                33.770   0.190    56.800 SBF        1998ApJ...499..577L  I                              01:52:46.5  +36:09:06.6    136.6  -25.1 E                   4948.0
NGC0708:Abell262                33.830   0.200    58.300 SBF        2003ApJ...583..712J  I                              01:52:46.5  +36:09:06.6    136.6  -25.1 E                   4948.0
NGC0720                         31.350   0.350    18.600 GCLF       1996A&amp;A...308..7 -                              01:53:00.5  -13:44:19.2    173.0  -70.4 E.5                 1715.0
NGC0720                         31.910   0.170    24.100 SBF        2001ApJ...546..681T  I                              01:53:00.5  -13:44:19.2    173.0  -70.4 E.5                 1715.0
NGC0720                         32.200   0.170    27.600 SBF        2001MNRAS.327.1004B  -                              01:53:00.5  -13:44:19.2    173.0  -70.4 E.5                 1715.0
NGC0720                         31.970   0.410    24.800 FP         2001MNRAS.327.1004B  -                              01:53:00.5  -13:44:19.2    173.0  -70.4 E.5                 1715.0
NGC0720                         31.990  -9.000    25.000 FP         LEDA_[April_2006]    -                              01:53:00.5  -13:44:19.2    173.0  -70.4 E.5                 1715.0
[KK98]016                       28.380  -9.000     4.740 TRGB       2003A&amp;A...398..4 -                              01:55:20.3  +27:57:14.0    139.7  -32.8 Irr                  322.0
NGC0748                         34.420   0.210    76.600 Sosies     2002A&amp;A...393... -                              01:56:21.8  -04:28:03.5    160.1  -62.6 PSAR3?              5348.0
ESO297-G036                     34.950   0.230    97.700 Tully-Fish 2005Ap&amp;SS.299..3 B:_TD-Tully-Fisher             01:57:58.8  -38:01:10.0    255.1  -72.3 S..5*              11040.0
NGC0779                         31.520   0.200    20.100 Sosies     2002A&amp;A...393... -                              01:59:42.3  -05:57:47.5    163.5  -63.3 SXR3                1411.0
NGC0779                         32.060  -9.000    25.800 Tully-Fish LEDA_[April_2006]    -                              01:59:42.3  -05:57:47.5    163.5  -63.3 SXR3                1411.0
[KK98]017                       28.370  -9.000     4.720 TRGB       2003A&amp;A...398..4 -                              02:00:10.2  +28:49:53.0    140.6  -31.7 Irr                  272.0
NGC0784                         28.470  -9.000     4.900 BS         2000A&amp;AS..142..4 -                              02:01:16.9  +28:50:14.1    140.9  -31.6 SB.8*/               313.0
ESO052-G020                     33.630  -9.000    53.200 Tully-Fish 2004ApJ...607..241R  B                              02:05:43.1  -71:06:55.7    294.6  -44.8 SBS4P               7974.0
ESO052-G020                     34.000   0.180    63.100 Tully-Fish 2005Ap&amp;SS.299..3 B:_TD-Tully-Fisher             02:05:43.1  -71:06:55.7    294.6  -44.8 SBS4P               7974.0
NGC0821                         31.750   0.170    22.400 SBF        2003ApJ...583..712J  I                              02:08:21.1  +10:59:41.7    151.6  -47.6 E.6.$               1782.0
NGC0821                         31.910   0.170    24.100 SBF        2001ApJ...546..681T  I                              02:08:21.1  +10:59:41.7    151.6  -47.6 E.6.$               1782.0
NGC0821                         31.930   0.170    24.300 SBF        2001MNRAS.327.1004B  -                              02:08:21.1  +10:59:41.7    151.6  -47.6 E.6.$               1782.0
NGC0821                         31.980   0.410    24.900 FP         2001MNRAS.327.1004B  -                              02:08:21.1  +10:59:41.7    151.6  -47.6 E.6.$               1782.0
IC1783                          32.930   0.070    38.500 Sosies     2002A&amp;A...393... -                              02:10:06.1  -32:56:23.5    236.6  -72.0 SAT3?               3277.0
UGC01703                        28.110   0.150     4.200 SBF        2005A&amp;A...437..8 R                              02:12:54.9  +32:48:54.0    142.1  -27.0 I..9*                  0.0
ESO053-G002                     34.010  -9.000    63.400 Tully-Fish 2004ApJ...607..241R  B:_TD-Tully-Fisher             02:13:11.8  -70:54:47.1    293.7  -44.7 S..5./              7847.0
ESO053-G002                     34.210  -9.000    69.500 Tully-Fish 2004ApJ...607..241R  B                              02:13:11.8  -70:54:47.1    293.7  -44.7 S..5./              7847.0
NGC0855                         29.940   0.170     9.730 SBF        2001ApJ...546..681T  I                              02:14:03.6  +27:52:37.8    144.4  -31.5 E                    672.0
IC1788                          33.360   0.070    47.000 Sosies     2002A&amp;A...393... -                              02:15:50.0  -31:12:03.6    230.4  -71.2 SBS4?               3456.0
ESO030-G014                     34.110   0.540    66.400 Tully-Fish 2005Ap&amp;SS.299..3 B:_TD-Tully-Fisher             02:17:56.1  -76:04:52.5    296.3  -39.9 SAS5                8089.0
MCG+06-06-012                   35.890   0.190   146.000 SNIa       2006ApJ...645..488W  SN_2002hu:_z_=_0.03000:        02:18:18.4  +37:27:51.6    141.4  -22.3 S                   8651.0
MCG+06-06-012                   36.040   0.200   161.000 SNIa       2006MNRAS.366..682S  -                              02:18:18.4  +37:27:51.6    141.4  -22.3 S                   8651.0
NGC0895                         32.820   0.200    36.600 Sosies     2002A&amp;A...393... -                              02:21:36.5  -05:31:17.0    171.8  -59.5 SAS6                2296.0
NGC0891                         29.960   0.080     9.820 TRGB       2005Ap.....48..221T  -                              02:22:33.4  +42:20:56.9    140.4  -17.4 SAS3$/               661.0
NGC0891                         29.970   0.160     9.860 PNLF       1991ApJ...383..487C  33_PNe                         02:22:33.4  +42:20:56.9    140.4  -17.4 SAS3$/               661.0
NGC0891                         29.990   0.130     9.950 PNLF       2002ApJ...577...31C  -                              02:22:33.4  +42:20:56.9    140.4  -17.4 SAS3$/               661.0
NGC0891                         29.610   0.140     8.360 SBF        2001ApJ...546..681T  I                              02:22:33.4  +42:20:56.9    140.4  -17.4 SAS3$/               661.0
NGC0891                         30.790  -9.000    14.400 Tully-Fish LEDA_[April_2006]    -                              02:22:33.4  +42:20:56.9    140.4  -17.4 SAS3$/               661.0
NGC0891                         29.290  -9.000     7.200 SNII_rad   1998ApJ...500...51W  SN_1986J                       02:22:33.4  +42:20:56.9    140.4  -17.4 SAS3$/               661.0
NGC0908                         31.360   0.090    18.700 Sosies     2002A&amp;A...393... -                              02:23:04.6  -21:14:01.9    202.1  -68.3 SAS5                1457.0
NGC0908                         31.290  -9.000    18.100 Tully-Fish LEDA_[April_2006]    -                              02:23:04.6  -21:14:01.9    202.1  -68.3 SAS5                1457.0
ESO545-G013                     34.440  -9.000    77.300 Tully-Fish 2004ApJ...607..241R  B                              02:24:40.6  -19:08:31.3    197.4  -67.2 SXS5               10096.0
ESO545-G013                     34.690  -9.000    86.700 Tully-Fish 2004ApJ...607..241R  B:_TD-Tully-Fisher             02:24:40.6  -19:08:31.3    197.4  -67.2 SXS5               10096.0
ESO545-G013                     34.710   0.470    87.500 Tully-Fish 2005Ap&amp;SS.299..3 B:_TD-Tully-Fisher             02:24:40.6  -19:08:31.3    197.4  -67.2 SXS5               10096.0
ESO545-G018                     34.810  -9.000    91.600 Tully-Fish 2004ApJ...607..241R  B:_TD-Tully-Fisher             02:27:05.4  -19:05:40.4    197.9  -66.6 S                   9928.0
ESO545-G018                     35.010  -9.000   100.000 Tully-Fish 2004ApJ...607..241R  B                              02:27:05.4  -19:05:40.4    197.9  -66.6 S                   9928.0
NGC0925                         29.680   0.100     8.630 Cepheids   1997ApJ...491...13K  73:_VI                         02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.718   0.060     8.780 Cepheids   2003A&amp;A...411..3 cte_LMC_K03                    02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.730   0.060     8.830 Cepheids   2003A&amp;A...411..3 cte_U99                        02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.730   0.100     8.830 Cepheids   1997ApJ...491...13K  73:_VI_+Z                      02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.740   0.060     8.890 Cepheids   2003A&amp;A...411..3 cte_LMC_STS02                  02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.770   0.060     8.970 Cepheids   2003A&amp;A...411..3 cte_MW_GFG98                   02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.770   0.060     8.990 Cepheids   2003A&amp;A...411..3 cte_MW_FSG03                   02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.770   0.070     8.990 Cepheids   2002A&amp;A...389... MW_HIPP                        02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.780   0.050     9.040 Cepheids   2001ApJ...548..564W  LMC_W01                        02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.800   0.160     9.120 Cepheids   2002A&amp;A...389... MW_P02                         02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.800   0.040     9.120 Cepheids   2001ApJ...553...47F  KP:_72:_VI                     02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.800   0.060     9.120 Cepheids   2003A&amp;A...411..3 cte_MF91                       02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.810   0.040     9.160 Cepheids   2001ApJ...553...47F  KP_+Z:_72:_VI                  02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.830   0.060     9.250 Cepheids   2002A&amp;A...389... MW_GFG                         02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.830   0.060     9.260 Cepheids   2003A&amp;A...411..3 cte_MW_STS03                   02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.840   0.040     9.290 Cepheids   2006ApJS..165..108S  -                              02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.840   0.080     9.290 Cepheids   1996ApJ...470....1S  80:_VI                         02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         30.300   0.020    11.500 Cepheids   1997hipp.conf..629P  BVRI                           02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         30.330   0.020    11.600 Cepheids   1997hipp.conf..629P  BVRI                           02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.820   0.190     9.200 Sosies     2002A&amp;A...393... -                              02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0925                         29.220  -9.000     6.980 Tully-Fish LEDA_[April_2006]    -                              02:27:16.8  +33:34:45.0    144.9  -25.2 SXS7                 665.0
NGC0936                         31.810   0.280    23.000 SBF        2001ApJ...546..681T  I                              02:27:37.5  -01:09:22.6    168.6  -55.3 LBT+                1371.0
NGC0936                         31.890   0.280    23.900 SBF        2001MNRAS.327.1004B  -                              02:27:37.5  -01:09:22.6    168.6  -55.3 LBT+                1371.0
NGC0936                         31.020  -9.000    16.000 FP         LEDA_[April_2006]    -                              02:27:37.5  -01:09:22.6    168.6  -55.3 LBT+                1371.0
NGC0936                         31.490   0.410    19.900 FP         2001MNRAS.327.1004B  -                              02:27:37.5  -01:09:22.6    168.6  -55.3 LBT+                1371.0
NGC0935                         33.060   0.490    40.900 Sosies     2002A&amp;A...393... -                              02:28:11.2  +19:35:56.8    152.1  -37.7 S..6*               4224.0
NGC0949                         30.260   0.180    11.300 SBF        2001ApJ...546..681T  I                              02:30:48.7  +37:08:12.4    144.1  -21.6 SAT3*$               728.0
UGC01993                        35.160   0.250   105.000 SNIa       2006ApJ...645..488W  SN_1999gp:_z_=_0.02675         02:31:40.1  +39:22:42.1    143.3  -19.5 S..3                8139.0
UGC01993                        35.280   0.032   111.000 SNIa       2006ApJ...647..501P  SN_1999gp:_z_=_0.02675         02:31:40.1  +39:22:42.1    143.3  -19.5 S..3                8139.0
UGC01993                        35.342   0.084   114.000 SNIa       2006A&amp;A...447... SN_1999gp:_z_=_0.02675         02:31:40.1  +39:22:42.1    143.3  -19.5 S..3                8139.0
UGC01993                        35.530   0.300   128.000 SNIa       2005ApJ...624..532R  SN_1999gp                      02:31:40.1  +39:22:42.1    143.3  -19.5 S..3                8139.0
UGC01993                        35.620   0.200   130.000 SNIa       2004ApJ...607..665R  SN_1999gp:_z_=_0.02675         02:31:40.1  +39:22:42.1    143.3  -19.5 S..3                8139.0
NGC0976                         33.390   0.020    47.000 SNIa       2006ApJ...647..501P  SN_1999dq:_z_=_0.01433         02:34:00.0  +20:58:36.4    152.8  -35.9 SAT5*               4373.0
NGC0976                         33.530   0.220    50.100 SNIa       2006ApJ...645..488W  SN_1999dq:_z_=_0.01433         02:34:00.0  +20:58:36.4    152.8  -35.9 SAT5*               4373.0
NGC0976                         33.730   0.260    54.900 SNIa       2004ApJ...607..665R  SN_1999dq:_z_=_0.01433         02:34:00.0  +20:58:36.4    152.8  -35.9 SAT5*               4373.0
NGC0976                         33.770   0.300    56.800 SNIa       2005ApJ...624..532R  SN_1999dq                      02:34:00.0  +20:58:36.4    152.8  -35.9 SAT5*               4373.0
NGC0988                         29.930  -9.000     9.680 Tully-Fish LEDA_[April_2006]    -                              02:35:27.8  -09:21:22.3    182.0  -59.7 SBS6*               1489.0
NGC0988                         31.020   0.230    16.000 Sosies     2002A&amp;A...393... -                              02:35:27.8  -09:21:22.3    182.0  -59.7 SBS6*               1489.0
Maffei1                         28.100   0.250     4.150 SBF        1993ApJ...410...81L  K'                             02:36:35.5  +59:39:18.6    135.9   -0.6 L..-P*               157.0
Maffei1                         27.330  -9.000     2.920 FP         2003ApJ...587..672F  -                              02:36:35.5  +59:39:18.6    135.9   -0.6 L..-P*               157.0
Maffei1                         27.390   0.220     3.010 FP         2003ApJ...587..672F  Avg_3                          02:36:35.5  +59:39:18.6    135.9   -0.6 L..-P*               157.0
Maffei1                         27.440  -9.000     3.080 FP         2003ApJ...587..672F  -                              02:36:35.5  +59:39:18.6    135.9   -0.6 L..-P*               157.0
Maffei1                         27.550  -9.000     3.230 FP         2003ApJ...587..672F  -                              02:36:35.5  +59:39:18.6    135.9   -0.6 L..-P*               157.0
Maffei1                         28.200   0.300     4.400 CMD        2001ApJ...553L.133D  -                              02:36:35.5  +59:39:18.6    135.9   -0.6 L..-P*               157.0
ESO115-G021                     28.340   0.220     4.660 TRGB       2003A&amp;A...398..4 -                              02:37:48.1  -61:20:18.0    282.8  -51.4 SB.8*/               368.0
NGC1024                         33.340   0.080    46.600 Sosies     2002A&amp;A...393... -                              02:39:11.9  +10:50:48.6    161.1  -43.9 PSAR2               3573.0
NGC1035                         31.280  -9.000    18.000 SNII_opt   1996ApJ...466..911E  SN_1990E                       02:39:29.1  -08:07:58.6    181.4  -58.2 SAS5$               1227.0
ESO356-G004:FornaxDSph          20.650   0.110     0.135 TRGB       2000ApJ...543L..23B  -                              02:39:59.3  -34:26:57.1    237.1  -65.7 dE.4                   0.0
ESO356-G004:FornaxDSph          20.700  -9.000     0.140 TRGB       2000glg..book.....V  -                              02:39:59.3  -34:26:57.1    237.1  -65.7 dE.4                   0.0
ESO356-G004:FornaxDSph          20.660   0.030     0.136 RR_Lyrae   2003MNRAS.345..747M  -                              02:39:59.3  -34:26:57.1    237.1  -65.7 dE.4                   0.0
ESO356-G004:FornaxDSph          20.710   0.040     0.139 Dwarf_Ceph 2006MmSAI..77..219P  -                              02:39:59.3  -34:26:57.1    237.1  -65.7 dE.4                   0.0
NGC1023                         29.960   0.100     9.820 PNLF       2002ApJ...577...31C  -                              02:40:24.0  +39:03:47.7    145.0  -19.1 LBT-                 749.0
NGC1023                         29.970   0.130     9.860 PNLF       1991ApJ...383..487C  110_PNe                        02:40:24.0  +39:03:47.7    145.0  -19.1 LBT-                 749.0
NGC1023                         30.080   0.260    10.400 GCLF       2001AJ....121.2974L  -                              02:40:24.0  +39:03:47.7    145.0  -19.1 LBT-                 749.0
NGC1023                         30.080   0.090    10.400 SBF        1997AJ....114..626A  I                              02:40:24.0  +39:03:47.7    145.0  -19.1 LBT-                 749.0
NGC1023                         30.290   0.160    11.400 SBF        2001ApJ...546..681T  I                              02:40:24.0  +39:03:47.7    145.0  -19.1 LBT-                 749.0
NGC1023                         30.320   0.160    11.600 SBF        2001MNRAS.327.1004B  -                              02:40:24.0  +39:03:47.7    145.0  -19.1 LBT-                 749.0
NGC1023                         30.080   0.410    10.400 FP         2001MNRAS.327.1004B  -                              02:40:24.0  +39:03:47.7    145.0  -19.1 LBT-                 749.0
NGC1023                         30.150  -9.000    10.700 FP         LEDA_[April_2006]    -                              02:40:24.0  +39:03:47.7    145.0  -19.1 LBT-                 749.0
NGC1052                         31.280   0.270    18.000 SBF        2003ApJ...583..712J  I                              02:41:04.8  -08:15:20.8    182.0  -57.9 E.4                 1485.0
NGC1052                         31.440   0.270    19.400 SBF        2001ApJ...546..681T  I                              02:41:04.8  -08:15:20.8    182.0  -57.9 E.4                 1485.0
NGC1052                         31.570   0.270    20.600 SBF        2001MNRAS.327.1004B  -                              02:41:04.8  -08:15:20.8    182.0  -57.9 E.4                 1485.0
NGC1052                         31.660   0.410    21.400 FP         2001MNRAS.327.1004B  -                              02:41:04.8  -08:15:20.8    182.0  -57.9 E.4                 1485.0
NGC1052                         31.760  -9.000    22.500 FP         LEDA_[April_2006]    -                              02:41:04.8  -08:15:20.8    182.0  -57.9 E.4                 1485.0
NGC1055                         31.540   0.110    20.300 Sosies     2002A&amp;A...393... -                              02:41:45.2  +00:26:35.4    171.3  -51.7 SB.3*/              1006.0
NGC1055                         31.890  -9.000    23.900 Tully-Fish LEDA_[April_2006]    -                              02:41:45.2  +00:26:35.4    171.3  -51.7 SB.3*/              1006.0
Maffei2                         27.240  -9.000     2.800 Tully-Fish 2003A&amp;A...408..1 -                              02:41:55.1  +59:36:14.7    136.5   -0.3 SXT4*                151.0
NGC1068                         31.500  -9.000    20.000 Tully-Fish LEDA_[April_2006]    -                              02:42:40.7  -00:00:47.8    172.1  -51.9 RSAT3               1144.0
NGC1068                         31.280  -9.000    18.000 Maser      1999AAS...19511509G  -                              02:42:40.7  -00:00:47.8    172.1  -51.9 RSAT3               1144.0
NGC1058                         30.130  -9.000    10.600 SNII_opt   1996ApJ...466..911E  SN_1969L                       02:43:30.0  +37:20:28.5    146.4  -20.4 SAT5                 629.0
NGC1079                         32.730   0.330    35.200 Sosies     2002A&amp;A...393... -                              02:43:44.3  -29:00:12.1    223.9  -65.2 RSXT0P              1384.0
IC1844                          34.398   0.066    74.100 SNIa       2006ApJ...647..501P  SN_1995ak:_z_=_0.02272         02:45:49.4  +03:13:49.1    169.7  -49.0 Sbc                 6750.0
IC1844                          34.700   0.220    85.200 SNIa       2004ApJ...607..665R  SN_1995ak:_z_=_0.02272         02:45:49.4  +03:13:49.1    169.7  -49.0 Sbc                 6750.0
IC1844                          34.790   0.220    88.800 SNIa       2006ApJ...645..488W  SN_1995ak:_z_=_0.02272         02:45:49.4  +03:13:49.1    169.7  -49.0 Sbc                 6750.0
IC1844                          35.150   0.140   107.000 SNIa       2005ApJ...624..532R  SN_1995ak                      02:45:49.4  +03:13:49.1    169.7  -49.0 Sbc                 6750.0
NGC1084                         30.950   0.240    15.500 Sosies     2002A&amp;A...393... -                              02:45:59.9  -07:34:43.1    182.5  -56.6 SAS5                1391.0
NGC1084                         31.730  -9.000    22.200 Tully-Fish LEDA_[April_2006]    -                              02:45:59.9  -07:34:43.1    182.5  -56.6 SAS5                1391.0
NGC1134                         32.970   0.080    39.300 Sosies     2002A&amp;A...393... -                              02:53:41.3  +13:00:50.9    163.3  -40.1 S?                  3684.0
Dw1                             27.240  -9.000     2.800 Tully-Fish 2003A&amp;A...408..1 -                              02:56:51.9  +58:54:41.9    138.5   -0.1 SB(s)cd              257.0
NGC1162                         33.080   0.310    41.400 SBF        2001ApJ...546..681T  I                              02:58:56.0  -12:23:54.9    193.0  -56.7 E...*               3881.0
NGC1156                         29.460   0.150     7.800 BS         1996A&amp;A...310..7 -                              02:59:42.2  +25:14:14.2    156.3  -29.2 IBS9                 452.0
IC0277                          34.050   0.750    64.600 Sosies     2002A&amp;A...393... -                              02:00:10.2  +28:49:53.0    140.6  -31.7 Irr                  272.0
NGC1160                         31.930   0.190    24.300 Sosies     2002A&amp;A...393... -                              03:01:13.3  +44:57:19.5    145.8  -12.1 S..6*               2548.0
NGC1172                         31.500   0.200    20.000 SBF        2003ApJ...583..712J  I                              03:01:36.0  -14:50:11.7    197.5  -57.4 E+..*               1502.0
NGC1172                         31.660   0.200    21.500 SBF        2001ApJ...546..681T  I                              03:01:36.0  -14:50:11.7    197.5  -57.4 E+..*               1502.0
NGC1172                         31.720   0.200    22.100 SBF        2001MNRAS.327.1004B  -                              03:01:36.0  -14:50:11.7    197.5  -57.4 E+..*               1502.0
NGC1172                         32.360   0.410    29.600 FP         2001MNRAS.327.1004B  -                              03:01:36.0  -14:50:11.7    197.5  -57.4 E+..*               1502.0
NGC1187                         31.440   0.200    19.400 Sosies     2002A&amp;A...393... -                              03:02:37.6  -22:52:01.8    212.1  -60.1 SBR5                1325.0
NGC1187                         31.940  -9.000    24.400 Tully-Fish LEDA_[April_2006]    -                              03:02:37.6  -22:52:01.8    212.1  -60.1 SBR5                1325.0
kkh018                          28.230  -9.000     4.430 TRGB       2003A&amp;A...398..4 -                              03:03:05.8  +33:41:39.7    152.0  -21.6 Ir                   307.0
NGC1199                         32.570   0.320    32.700 SBF        2001MNRAS.327.1004B  -                              03:03:38.4  -15:36:48.6    199.2  -57.3 E.3.*               2616.0
NGC1199                         32.600   0.320    33.100 SBF        2001ApJ...546..681T  I                              03:03:38.4  -15:36:48.6    199.2  -57.3 E.3.*               2616.0
NGC1199                         32.690   0.410    34.600 FP         2001MNRAS.327.1004B  -                              03:03:38.4  -15:36:48.6    199.2  -57.3 E.3.*               2616.0
NGC1171                         32.210   0.420    27.700 Sosies     2002A&amp;A...393... -                              03:03:59.0  +43:23:53.9    147.0  -13.2 S..6*               2857.0
NGC1201                         31.530   0.300    20.200 SBF        2001ApJ...546..681T  I                              03:04:07.9  -26:04:10.7    218.5  -60.4 LAR0*               1630.0
ESO300-G009                     34.490   0.110    77.600 SNIa       2006A&amp;A...447... SN_1992bc:_z_=_0.020           03:05:15.8  -39:33:40.7    245.7  -59.6 Sab                 5821.0
ESO300-G009                     34.663   0.032    83.900 SNIa       2006ApJ...647..501P  SN_1992bc:_z_=_0.020           03:05:15.8  -39:33:40.7    245.7  -59.6 Sab                 5821.0
ESO300-G009                     34.740   0.190    87.000 SNIa       2006ApJ...645..488W  SN_1992bc:_z_=_0.020           03:05:15.8  -39:33:40.7    245.7  -59.6 Sab                 5821.0
ESO300-G009                     34.960   0.220    96.300 SNIa       2004ApJ...607..665R  SN_1992bc:_z_=_0.020           03:05:15.8  -39:33:40.7    245.7  -59.6 Sab                 5821.0
ESO300-G009                     35.060   0.140   103.000 SNIa       2005ApJ...624..532R  SN_1992bc                      03:05:15.8  -39:33:40.7    245.7  -59.6 Sab                 5821.0
NGC1209                         32.720   0.230    35.000 SBF        2001MNRAS.327.1004B  -                              03:06:03.0  -15:36:40.5    199.6  -56.7 E.6.*               2561.0
NGC1209                         32.770   0.230    35.800 SBF        2001ApJ...546..681T  I                              03:06:03.0  -15:36:40.5    199.6  -56.7 E.6.*               2561.0
NGC1209                         32.370   0.410    29.800 FP         2001MNRAS.327.1004B  -                              03:06:03.0  -15:36:40.5    199.6  -56.7 E.6.*               2561.0
NGC1232                         31.140   0.450    16.900 Sosies     2002A&amp;A...393... -                              03:09:45.5  -20:34:45.5    208.8  -57.8 SXT5                1614.0
NGC1232                         31.160  -9.000    17.100 Tully-Fish 2003astro.ph.10284R  I                              03:09:45.5  -20:34:45.5    208.8  -57.8 SXT5                1614.0
NGC1232                         31.190  -9.000    17.300 Tully-Fish 2003astro.ph.10284R  B                              03:09:45.5  -20:34:45.5    208.8  -57.8 SXT5                1614.0
NGC1232                         31.490  -9.000    19.900 Tully-Fish LEDA_[Nov_2006]      -                              03:09:45.5  -20:34:45.5    208.8  -57.8 SXT5                1614.0
NGC1232                         31.500  -9.000    20.000 Tully-Fish LEDA_[April_2006]    -                              03:09:45.5  -20:34:45.5    208.8  -57.8 SXT5                1614.0
NGC1253                         31.020   0.570    16.000 Sosies     2002A&amp;A...393... -                              03:14:09.0  -02:49:22.6    183.7  -48.1 SXT6                1693.0
NGC1313                         28.080   0.060     4.130 TRGB       2002AJ....124..213M  -                              03:18:16.1  -66:29:53.7    283.4  -44.6 SBS7                 292.0
NGC1313                         28.110  -9.000     4.190 Tully-Fish LEDA_[April_2006]    -                              03:18:16.1  -66:29:53.7    283.4  -44.6 SBS7                 292.0
NGC1313                         27.960  -9.000     3.900 SNII_rad   1998ApJ...500...51W  SN_1978K                       03:18:16.1  -66:29:53.7    283.4  -44.6 SBS7                 292.0
NGC1297                         32.280   0.420    28.600 SBF        2001ApJ...546..681T  I                              03:19:14.2  -19:06:00.0    207.6  -55.2 LXS0P*              1497.0
IC1914                          31.980   0.190    24.900 Sosies     2002A&amp;A...393... -                              03:19:25.2  -49:35:59.0    261.5  -53.9 SXS7                 895.0
NGC1300                         30.870  -9.000    14.900 Tully-Fish 2003astro.ph.10284R  I                              03:19:41.1  -19:24:40.9    208.2  -55.2 SBT4                1496.0
NGC1300                         31.250  -9.000    17.800 Tully-Fish 2003astro.ph.10284R  B                              03:19:41.1  -19:24:40.9    208.2  -55.2 SBT4                1496.0
NGC1300                         31.530  -9.000    20.200 Tully-Fish LEDA_[Nov_2006]      -                              03:19:41.1  -19:24:40.9    208.2  -55.2 SBT4                1496.0
NGC1311                         28.310  -9.000     4.600 Brightest_ 2006AAS...208.1404E  -                              03:20:06.9  -52:11:07.9    265.3  -52.7 SBS9?/               331.0
UGC2684                         29.060  -9.000     6.490 BS         1999AstL...25..322S  -                              03:20:23.7  +17:17:45.1    166.3  -32.7 I..9?                385.0
