# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
2009mh      NGC3839                      0.948     1.05     0.29    0.946     1.36     0.46    0.930     1.39     0.13    0.819     0.45     0.24
2011ho      NGC3847                      0.523     0.74     0.09    0.522     0.73     0.14    0.415     0.64     0.23    0.181     0.17     0.94
2014U       NGC3859                      0.243    -0.03     0.04    0.235    -0.33     0.05    0.195    -1.84     0.01    0.152    -2.15     0.05
2014aa      NGC3861                      0.188     0.18     0.03    0.171    -0.05     0.05    0.051    -3.05     0.03    0.034    -3.86     0.15
1998S       NGC3877                      0.910    -2.02     0.05    0.903    -2.50     0.07    0.917    -4.34     0.02    0.903    -4.34     0.08
2006or      NGC3891                      0.440     0.45     0.05    0.427    -0.00     0.07    0.313    -1.95     0.01    0.261    -2.57     0.05
2006iv      UGC06774                     0.475     1.05     0.21    0.495     0.93     0.31    0.555     0.64     0.19    0.444     0.55     0.56
2001E       NGC3905                      0.579     0.25     0.12    0.602     0.20     0.18    0.564     0.05     0.07    0.592     0.58     0.38
2009ds      NGC3905                      0.285     0.15     0.08    0.322     0.27     0.12    0.236     0.16     0.06    0.279     0.41     0.24
2014V       NGC3905                      0.580    -0.32     0.09    0.603    -0.30     0.14    0.565    -0.43     0.06    0.592    -0.25     0.26
1971C       NGC3904                      1.000    -1.35     0.34    1.000    -1.45     0.55    1.000    -1.91     1.77    1.000   -99.00    -9.00
2008dp      ESO320-026                   0.372     0.93     0.06    0.366     0.92     0.10    0.367     0.97     0.05    0.337     0.77     0.17
1963J       NGC3913                      0.249     0.26     0.10    0.244    -0.71     0.10    0.204    -3.34     0.03    0.157    -3.91     0.12
1979B       NGC3913                      0.749    -1.41     0.15    0.748    -2.91     0.12    0.780    -5.61     0.08    0.738    -5.84     0.30
1961U       NGC3938                      0.940    -2.01     0.13    0.932    -3.21     0.11    0.897    -5.02     0.04    0.902    -5.20     0.12
1964L       NGC3938                      0.288    -0.16     0.06    0.270    -0.71     0.07    0.173    -2.31     0.02    0.175    -2.62     0.06
2005ay      NGC3938                      0.565    -0.36     0.09    0.548    -1.23     0.09    0.468    -2.82     0.02    0.470    -3.20     0.06
1972C       NGC3947                      0.727    -0.03     0.12    0.726    -1.41     0.10    0.702    -4.02     0.03    0.626    -4.24     0.08
2001P       NGC3947                      0.566     0.47     0.10    0.562    -0.70     0.09    0.504    -3.33     0.02    0.455    -3.67     0.07
2006aa      NGC3947                      0.356     0.78     0.09    0.350    -0.16     0.09    0.276    -2.91     0.02    0.264    -3.01     0.06
2013G       NGC3947                      0.373     0.22     0.07    0.368    -0.43     0.08    0.294    -2.97     0.02    0.279    -3.09     0.06
2000db      NGC3949                      0.002     1.84     0.05    0.001     1.32     0.06    0.001    -0.89     0.01    0.000    -1.55     0.06
2001dp      NGC3953                      0.669     0.66     0.12    0.659    -0.55     0.10    0.531    -2.76     0.02    0.533    -3.18     0.06
2006bp      NGC3953                      0.847    -0.52     0.10    0.844    -1.56     0.10    0.782    -3.71     0.02    0.791    -4.16     0.07
1991A       IC2973                       0.778    -0.36     0.20    0.808    -0.20     0.33    0.768    -0.78     0.14    0.690    -0.77     0.41
2011ao      IC2973                       0.391     0.21     0.13    0.402     0.20     0.20    0.377     0.25     0.10    0.284     0.40     0.44
1967D       PGC037345                    0.615     0.32     0.17    0.639     0.26     0.26    0.564     0.32     0.15    0.575     2.23     1.59
1997ei      NGC3963                      0.197    -0.05     0.06    0.189    -0.51     0.07    0.102    -2.58     0.02    0.110    -2.88     0.07
2011by      NGC3972                      0.765    -0.29     0.12    0.766    -1.42     0.11    0.786    -4.00     0.03    0.779    -4.42     0.12
2006gs      NGC3977                      0.324     0.73     0.10    0.299     0.72     0.15    0.192     0.39     0.09    0.128    -0.27     0.42
2003cq      NGC3978                      0.780     0.12     0.16    0.835     0.12     0.25    0.856     0.31     0.10    0.821     0.10     0.34
2008I       NGC3978                      0.299     0.30     0.05    0.318     0.26     0.08    0.270     0.06     0.03    0.222     0.08     0.12
2004D       UGC06916                     0.694    -1.06     0.09    0.667    -1.03     0.14    0.717    -0.87     0.07    0.582    -0.74     0.34
1998aq      NGC3982                      0.535     0.91     0.07    0.541     0.46     0.08    0.501    -0.92     0.01    0.475    -1.09     0.05
2010W       ESO320-035                   0.652     0.40     0.17    0.645     0.20     0.23    0.626     0.37     0.10    0.587     0.63     0.46
2001V       NGC3987                      0.929     0.71     0.20    0.936     1.22     0.37    0.914     1.63     0.17    0.824   -99.00    -9.00
2003dg      UGC06934                     0.048     0.31     0.06    0.044     0.29     0.09    0.032     0.23     0.07    0.016    -0.02     0.46
1956A       NGC3992                      0.468    -0.01     0.08    0.463    -0.75     0.10    0.220    -3.54     0.02    0.203    -4.12     0.08
1988ac      NGC3995                      0.653    -0.87     0.09    0.718    -1.71     0.09    0.686    -3.42     0.03    0.719    -3.18     0.08
2000ez      NGC3995                      0.430     0.18     0.09    0.474    -0.69     0.09    0.429    -2.53     0.02    0.435    -2.36     0.06
2004aq      NGC4012                      0.632     1.09     0.12    0.608     1.08     0.19    0.496     0.75     0.10    0.433     0.69     0.52
2005J       NGC4012                      0.788     0.17     0.12    0.768     0.16     0.18    0.689     0.13     0.10    0.640    -0.00     0.49
1989Z       NGC4013                      0.062     1.28     0.03    0.062     1.18     0.04    0.042    -0.55     0.01    0.039    -1.01     0.05
2006st      NGC4017                      0.951    -1.15     0.56    0.870   -99.00    -9.00    0.932    -1.18     0.51    1.000    -1.56     1.06
2007an      NGC4017                      0.621    -0.81     0.10    0.555    -1.00     0.13    0.634    -1.15     0.05    0.658    -1.02     0.16
2009ah      ESO171-004                   0.742     0.58     0.31    0.758     0.69     0.38    0.894     0.06     0.18    0.858     5.83     8.69
1996W       NGC4027                      0.525    -0.43     0.06    0.555    -0.44     0.09    0.567    -0.46     0.03    0.593    -0.11     0.13
2007aa      NGC4030                      0.751     0.45     0.18    0.765     0.32     0.25    0.886     0.09     0.09    0.908     0.34     0.46
1999an      IC0755                       0.035     0.21     0.06    0.033    -0.34     0.07    0.029    -2.83     0.04    0.021    -2.82     0.11
2007gi      NGC4036                      0.829    -1.79     0.04    0.815    -1.76     0.07    0.716    -1.78     0.12    0.674    -1.15     0.80
1974E       NGC4038                      0.442    -0.86     0.10    0.473    -0.85     0.15    0.701    -0.59     0.07    0.763    -0.59     0.17
2004gt      NGC4038                      0.272    -1.66     0.04    0.287    -1.79     0.05    0.416    -1.99     0.02    0.374    -1.54     0.06
2007sr      NGC4038                      0.001     8.73     0.61    0.001     7.91     0.57    0.001    10.24     0.67    0.001     9.57     1.92
2013dk      NGC4038                      0.001     3.00     0.04    0.001     3.19     0.06    0.001     2.78     0.02    0.001     2.46     0.07
1921A       NGC4039                      0.120     1.41     0.09    0.148     1.76     0.15    0.220     3.17     0.09    0.276     2.16     0.14
1994W       NGC4041                      0.479     1.20     0.06    0.481     1.26     0.09    0.408     1.16     0.03    0.405     0.81     0.10
1985B       NGC4045                      0.583     0.66     0.10    0.612     0.72     0.16    0.644     1.24     0.09    0.704     1.11     0.25
1983I       NGC4051                      0.525    -0.56     0.07    0.616    -1.14     0.08    0.528    -2.74     0.01    0.626    -3.01     0.06
2003ie      NGC4051                      0.793    -0.86     0.11    0.842    -1.92     0.10    0.828    -3.78     0.02    0.866    -4.09     0.06
2010br      NGC4051                      0.270    -0.39     0.05    0.401    -0.74     0.06    0.309    -1.99     0.01    0.395    -1.36     0.05
1999bg      IC0758                       0.666    -0.74     0.21    0.653    -0.90     0.29    0.698    -1.20     0.16    0.693    -1.15     0.83
1991G       NGC4088                      0.793     0.06     0.09    0.793    -0.32     0.11    0.775    -2.34     0.01    0.773    -2.40     0.05
2009dd      NGC4088                      0.023     0.15     0.02    0.023     0.12     0.03    0.016    -0.33     0.01    0.016    -0.42     0.04
1960H       NGC4096                      0.945    -0.90     0.16    0.933    -2.45     0.12    0.973    -5.85     0.09    0.989    -6.30     0.34
2014bi      NGC4096                      0.361    -0.10     0.06    0.355    -0.48     0.07    0.388    -2.22     0.01    0.359    -2.62     0.06
1975E       NGC4102                      0.691     0.12     0.06    0.723    -0.25     0.07    0.764    -1.46     0.01    0.761    -0.13     0.05
1954aa      NGC4129                      0.884     0.76     0.22    0.875     0.81     0.31    0.854     1.48     0.14    0.745     1.75     0.59
2002E       NGC4129                      0.022     0.36     0.03    0.020     0.35     0.05    0.011     0.21     0.03    0.008     0.13     0.12
2014cn      NGC4134                      0.769    -0.04     0.12    0.759    -0.10     0.17    0.713     0.16     0.08    0.622    -0.13     0.35
1941C       NGC4136                      0.776     0.95     0.40    0.777     0.53     0.49    0.746     1.14     0.29    0.703    -0.05     0.73
2008X       NGC4141                      0.239     0.22     0.12    0.244     0.11     0.18    0.148    -0.04     0.11    0.125    -0.25     0.34
2009E       NGC4141                      0.758    -0.09     0.20    0.807    -0.60     0.23    0.635    -0.12     0.16    0.625    -0.02     0.48
2014D       UGC07170                     0.414    -0.36     0.10    0.384    -0.32     0.16    0.385    -0.53     0.14    0.274    -0.47     0.47
2009hq      NGC4152                      0.832    -0.79     0.08    0.829    -1.59     0.08    0.766    -3.21     0.01    0.766    -3.22     0.05
1937A       NGC4157                      0.500     1.71     0.08    0.493     1.02     0.08    0.421    -0.59     0.02    0.396    -1.07     0.06
1955A       NGC4157                      0.848     0.87     0.12    0.847    -0.41     0.10    0.818    -2.12     0.02    0.787    -2.46     0.06
2003J       NGC4157                      0.628    -0.13     0.04    0.624    -0.35     0.05    0.560    -1.20     0.01    0.528    -1.47     0.06
2006dk      NGC4161                      0.505     0.49     0.07    0.488     0.48     0.11    0.341     0.17     0.05    0.276     0.26     0.26
2007gw      NGC4161                      0.416     0.33     0.06    0.397     0.29     0.09    0.244     0.04     0.05    0.196    -0.13     0.21
1965G       NGC4162                      0.800    -0.41     0.09    0.795    -1.39     0.09    0.758    -3.48     0.02    0.705    -3.85     0.07
2001hg      NGC4162                      0.788    -0.31     0.09    0.783    -1.29     0.09    0.742    -3.38     0.02    0.688    -3.76     0.06
1971G       NGC4165                      0.783    -0.54     0.12    0.795    -2.21     0.09    0.737    -4.95     0.05    0.650    -5.76     0.26
1963I       NGC4178                      0.171     0.01     0.07    0.179    -0.74     0.08    0.199    -2.94     0.01    0.171    -3.30     0.05
2012bi      UGC07217                     0.108     0.25     0.07    0.101     0.22     0.10    0.077     0.15     0.06    0.058     0.16     0.40
1982C       NGC4185                      0.860     0.16     0.22    0.856    -0.02     0.32    0.872     0.30     0.21    0.884     0.66     1.07
1966E       NGC4189                      0.889    -0.85     0.12    0.885    -2.22     0.10    0.913    -4.75     0.03    0.905    -5.06     0.09
2002ho      NGC4210                      0.395     0.29     0.08    0.391     0.28     0.13    0.263     0.05     0.06    0.267     0.36     0.35
1954A       NGC4214                      0.877    -3.14     0.19    0.875    -4.71     0.16    0.963    -8.01     0.26    0.987    -8.08     0.78
1983O       NGC4220                      0.334     0.18     0.04    0.330     0.16     0.06    0.318    -0.23     0.03    0.244    -0.32     0.17
2011am      NGC4219                      0.340     0.54     0.05    0.350     0.50     0.08    0.339     0.44     0.03    0.381     0.19     0.09
2011hp      NGC4219                      0.672    -0.31     0.05    0.678    -0.31     0.07    0.676    -0.34     0.03    0.676    -0.20     0.12
2002bu?     NGC4242                      0.871    -1.14     0.18    0.863    -2.84     0.14    0.891    -6.36     0.10    0.890    -6.92     0.48
1975C       NGC4246                      0.998    -3.59     0.36    0.995    -3.71     0.58    0.993    -2.79     0.64    1.000    -1.53     3.17
1967H       NGC4254                      0.733    -0.92     0.07    0.739    -1.57     0.07    0.669    -2.88     0.01    0.711    -3.30     0.04
1972Q       NGC4254                      0.806    -0.97     0.08    0.815    -1.80     0.08    0.757    -3.33     0.01    0.797    -3.81     0.05
1986I       NGC4254                      0.405    -0.22     0.05    0.397    -0.55     0.06    0.305    -1.68     0.01    0.330    -1.99     0.04
2014L       NGC4254                      0.203    -0.09     0.03    0.193    -0.36     0.04    0.119    -1.33     0.01    0.126    -1.57     0.04
1981K       NGC4258                      0.617    -1.08     0.05    0.626    -1.34     0.06    0.596    -3.18     0.01    0.569    -3.33     0.06
2014bc      NGC4258                      0.001     2.00     0.01    0.001     2.22     0.02    0.001     1.67     0.01    0.000     0.66     0.04
2001A       NGC4261                      0.193     0.57     0.02    0.186     0.57     0.04    0.245     0.65     0.06    0.426     0.73     0.27
1998cj      NGC4263                      0.433     1.33     0.10    0.453     1.47     0.15    0.457     1.66     0.06    0.440     1.20     0.15
1999ev      NGC4274                      0.788    -1.00     0.06    0.792    -1.03     0.10    0.783    -0.73     0.08    0.806    -0.74     0.38
1936A       NGC4273                      0.710     0.06     0.08    0.727    -0.82     0.08    0.730    -2.48     0.01    0.710    -2.33     0.04
2008N       NGC4273                      0.405     0.48     0.05    0.419     0.07     0.06    0.410    -1.08     0.01    0.367    -1.29     0.04
2000bh      ESO573-014                   0.870     1.14     0.31    0.872     1.82     0.69    0.890     0.65     0.26    0.764     0.35     0.79
1986E       NGC4302                      0.835    -0.62     0.08    0.851    -1.57     0.08    0.846    -4.37     0.03    0.842    -4.76     0.10
1926A       NGC4303                      0.646     0.20     0.08    0.663    -1.36     0.06    0.597    -2.49     0.01    0.735    -2.88     0.04
1961I       NGC4303                      0.770    -0.71     0.08    0.797    -2.17     0.06    0.746    -3.40     0.02    0.891    -3.90     0.05
1964F       NGC4303                      0.229     0.25     0.06    0.218    -0.78     0.05    0.116    -2.33     0.01    0.169    -2.42     0.04
1999gn      NGC4303                      0.462    -0.22     0.05    0.463    -1.02     0.05    0.366    -1.96     0.01    0.462    -2.27     0.04
2006ov      NGC4303                      0.470    -0.30     0.05    0.471    -1.06     0.05    0.376    -1.97     0.01    0.474    -2.29     0.04
2008in      NGC4303                      0.859    -1.16     0.10    0.889    -2.97     0.07    0.829    -4.52     0.03    0.971    -5.36     0.12
2014dt      NGC4303                      0.305     0.15     0.06    0.294    -0.91     0.05    0.182    -2.12     0.01    0.248    -2.47     0.04
2003bk      NGC4316                      0.344    -0.44     0.03    0.334    -0.57     0.04    0.266    -2.09     0.01    0.209    -2.86     0.05
2009an      NGC4332                      0.838     0.12     0.16    0.847     0.07     0.25    0.924    -0.27     0.12    0.932    -1.49     0.21
1901B       NGC4321                      0.646    -0.63     0.08    0.657    -1.43     0.08    0.696    -3.47     0.01    0.712    -3.93     0.05
1914A       NGC4321                      0.688    -0.20     0.11    0.700    -1.43     0.09    0.746    -3.70     0.01    0.757    -4.18     0.05
1959E       NGC4321                      0.428    -0.73     0.06    0.435    -1.25     0.07    0.449    -2.93     0.01    0.483    -3.28     0.04
1979C       NGC4321                      0.674    -0.70     0.08    0.686    -1.63     0.08    0.730    -3.62     0.01    0.742    -4.10     0.05
2006X       NGC4321                      0.286     0.04     0.07    0.289    -0.60     0.08    0.280    -2.59     0.01    0.323    -3.01     0.05
1955E       NGC4335                      0.603     0.88     0.10    0.592     0.93     0.16    0.651     0.62     0.17    0.487     0.38     0.87
1977A       NGC4340                      0.731     0.25     0.12    0.724     0.22     0.19    0.801   -99.00    -9.00    0.908   -99.00    -9.00
1996B       NGC4357                      0.879    -2.18     0.08    0.881    -2.16     0.12    0.836    -1.97     0.07    0.849    -1.89     0.35
2014bv      NGC4386                      0.794    -0.03     0.11    0.802     0.00     0.19    0.795     1.84     0.64    0.587   -99.00    -9.00
2005kl      NGC4369                      0.182     0.34     0.03    0.189     0.15     0.04    0.214    -0.71     0.01    0.176    -0.73     0.04
2008ar      IC3284                       0.353     0.65     0.09    0.352     0.60     0.13    0.258     0.58     0.08    0.235     0.43     0.33
1957B       NGC4374                      0.439     0.17     0.05    0.429    -0.32     0.07    0.439    -4.98     0.04    0.479    -6.34     0.30
1980I       NGC4374                      1.000    -3.42     0.16    1.000    -5.26     0.17    1.000    -9.54     0.72    1.000    -9.40     1.54
1991bg      NGC4374                      0.488     0.24     0.06    0.478    -0.48     0.07    0.488    -5.35     0.05    0.516    -6.93     0.46
2000de      NGC4384                      0.172     0.40     0.05    0.174     0.06     0.06    0.175    -1.10     0.01    0.131    -1.27     0.05
1960R       NGC4382                      0.736    -0.11     0.11    0.735    -0.09     0.18    0.824     0.09     0.32    0.907   -99.00    -9.00
2004gk      IC3311                       0.225    -0.39     0.08    0.221    -1.25     0.09    0.198    -4.38     0.07    0.204    -5.55     0.48
1976B       NGC4402                      0.766    -0.18     0.08    0.779    -1.23     0.08    0.844    -3.35     0.02    0.806    -3.49     0.05
1974G       NGC4414                      0.806     0.09     0.07    0.809    -0.52     0.08    0.781    -2.08     0.01    0.796    -2.37     0.05
2013df      NGC4414                      0.808    -0.37     0.06    0.810    -0.78     0.07    0.783    -2.14     0.01    0.798    -2.47     0.05
1992ad      NGC4411B                     0.525    -1.30     0.13    0.492    -2.98     0.10    0.560    -6.10     0.10    0.588    -6.51     0.37
1984A       NGC4419                      1.000    -8.01     1.16    1.000    -7.97     1.75    1.000    -7.84     0.30    1.000    -7.52     0.56
2012cc      NGC4419                      0.212     0.25     0.02    0.216     0.20     0.03    0.238    -0.43     0.01    0.219    -0.24     0.03
1895A       NGC4424                      0.816    -0.94     0.12    0.809    -2.52     0.10    0.933    -6.89     0.20    0.924    -7.19     0.65
2012cg      NGC4424                      0.251     0.37     0.06    0.264    -0.12     0.07    0.485    -2.01     0.01    0.408    -1.99     0.04
2008ce      NGC4428                      0.515    -0.77     0.04    0.541    -0.75     0.05    0.571    -0.68     0.02    0.457    -0.54     0.08
2010bk      NGC4433                      0.129    -0.61     0.02    0.132    -0.68     0.03    0.116    -0.73     0.02    0.086    -0.84     0.03
1985G       NGC4451                      0.162     0.01     0.04    0.159    -0.36     0.05    0.140    -1.87     0.01    0.112    -2.47     0.05
1998bn      NGC4462                      0.926    -1.59     0.08    0.935    -1.57     0.13    0.876    -1.63     0.10    0.801    -1.42     0.52
1982F       NGC4490                      0.295     0.12     0.05    0.283    -0.15     0.06    0.210    -1.39     0.01    0.226    -0.93     0.05
2008ax      NGC4490                      0.478     0.01     0.06    0.467    -0.35     0.07    0.396    -1.62     0.01    0.415    -1.31     0.05
1919A       NGC4486                      0.539    -0.33     0.07    0.683    -1.64     0.07    1.000    -5.87     1.50    1.000    -6.23     1.62
2009N       NGC4487                      0.801     0.82     0.19    0.824     0.57     0.28    0.872     0.29     0.17    0.859    -0.31     0.59
1994M       NGC4493                      0.547     1.36     0.26    0.540     1.38     0.41    0.385   -99.00    -9.00    0.793   -99.00    -9.00
2004br      NGC4493                      0.187     1.09     0.08    0.175     1.09     0.13    0.095     0.36     0.28    0.397   -99.00    -9.00
1960F       NGC4496A                     0.384    -0.56     0.10    0.380    -1.93     0.08    0.334    -4.25     0.02    0.332    -4.47     0.06
1999cl      NGC4501                      0.554    -0.20     0.04    0.554    -0.51     0.06    0.475    -2.26     0.01    0.486    -2.66     0.04
1970A       IC3476                       0.575    -1.08     0.10    0.571    -2.14     0.09    0.703    -4.28     0.03    0.607    -4.12     0.07
1999gq      NGC4523                      0.504    -1.65     0.14    0.479    -3.37     0.11    0.776    -7.00     0.21    1.000    -7.21     0.64
1969E       NGC4526                      0.342     1.84     0.06    0.343     1.15     0.06    0.528    -2.62     0.01    0.500    -3.10     0.05
1994D       NGC4526                      0.122     0.88     0.02    0.122     0.83     0.03    0.207    -0.77     0.01    0.166    -1.50     0.04
1915A       NGC4527                      0.707     0.43     0.07    0.714    -0.42     0.07    0.673    -2.36     0.01    0.687    -2.55     0.04
1991T       NGC4527                      0.805    -0.22     0.07    0.813    -1.01     0.07    0.795    -2.93     0.01    0.809    -3.19     0.04
2004gn      NGC4527                      0.556    -0.29     0.04    0.560    -0.68     0.05    0.497    -2.09     0.01    0.492    -2.20     0.04
1981B       NGC4536                      0.837    -1.07     0.11    0.859    -2.57     0.09    0.876    -5.07     0.03    0.910    -5.28     0.09
1940D       NGC4545                      0.368    -0.01     0.08    0.369    -0.08     0.12    0.372    -0.15     0.05    0.303     0.05     0.27
2007gq      NGC4541                      0.510     0.08     0.06    0.490     0.03     0.09    0.379    -0.03     0.05    0.328     0.11     0.25
1941A       NGC4559                      0.392    -1.06     0.05    0.364    -1.47     0.07    0.446    -3.23     0.01    0.336    -3.48     0.06
1961H       NGC4564                      0.122     0.72     0.02    0.110     0.63     0.03    1.000     0.62     0.09    1.000     0.54     0.62
1990B       NGC4568                      0.154     0.32     0.03    0.183     0.33     0.04    0.157     0.23     0.02    0.163     0.26     0.07
2004cc      NGC4568                      0.148     0.20     0.03    0.175     0.20     0.04    0.149     0.11     0.02    0.155     0.13     0.06
2005cz      NGC4589                      0.316     0.69     0.04    0.308     0.68     0.06    0.306     0.70     0.08    0.276     0.66     0.57
1988A       NGC4579                      0.515     0.04     0.07    0.533    -0.93     0.07    0.443    -3.47     0.02    0.561    -4.15     0.07
1989M       NGC4579                      0.508    -0.28     0.06    0.526    -1.06     0.06    0.430    -3.50     0.02    0.547    -4.18     0.07
2007be      UGC07800                     0.776     0.79     0.13    0.744     0.69     0.19    0.670     0.88     0.10    0.555     0.85     0.50
2003ej      UGC07820                     0.676    -0.06     0.24    0.674    -0.20     0.36    0.784     0.14     0.26    0.672    -0.35     0.94
2008cn      NGC4603                      0.163     0.05     0.06    0.154    -0.46     0.08    0.079    -2.72     0.02    0.078    -3.09     0.06
2006bv?     UGC07848                     0.724    -0.00     0.22    0.713     0.22     0.39    0.771     0.13     0.25    0.558   -99.00    -9.00
2005ab      NGC4617                      0.681     1.42     0.17    0.689     1.82     0.30    0.625     1.34     0.11    0.501     1.02     0.47
2007ss      NGC4617                      0.198    -0.15     0.04    0.193    -0.17     0.06    0.149    -0.21     0.04    0.107    -0.31     0.19
1985F       NGC4618                      0.100    -0.66     0.05    0.098    -0.96     0.06    0.058    -3.21     0.02    0.068    -3.29     0.07
1987F       NGC4615                      0.684    -0.09     0.12    0.668    -0.23     0.17    0.593    -0.40     0.06    0.447    -0.89     0.18
1939B       NGC4621                      0.615     0.04     0.07    0.609     0.06     0.11    0.482     0.00     0.17    0.490    -1.26     1.34
2012cr      NGC4626                      0.891    -1.88     0.10    0.875    -1.91     0.15    0.940    -2.23     0.11    0.819    -1.36     0.37
1946B       NGC4632                      0.087    -0.05     0.06    0.088     0.02     0.09    0.094     0.10     0.04    0.083     0.35     0.18
2001jx      NGC4622                      1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2007cm      NGC4644                      0.775     0.54     0.14    0.755     0.66     0.23    0.723     0.93     0.13    0.602     0.47     0.51
1939A       NGC4636                      0.233     0.31     0.05    0.229     0.32     0.08    0.168     0.22     0.12    0.080     0.69     0.84
1990N       NGC4639                      0.923    -1.01     0.14    0.919    -2.71     0.11    0.885    -6.00     0.08    0.797    -6.25     0.24
1979A       NGC4647                      0.707    -0.52     0.08    0.749    -1.68     0.08    0.887    -4.86     0.03    0.908    -5.35     0.11
2004W       NGC4649                      0.673     0.19     0.10    0.677     0.16     0.16    0.294     1.02     0.25    0.209    -0.79     0.53
1987K       NGC4651                      0.525    -0.21     0.05    0.523    -0.82     0.05    0.446    -2.46     0.01    0.444    -2.22     0.06
2006my      NGC4651                      0.699    -0.87     0.07    0.700    -1.85     0.06    0.623    -3.94     0.02    0.652    -3.50     0.07
1999gk      NGC4653                      0.522    -0.36     0.18    0.531    -0.36     0.27    0.680    -0.43     0.12    0.525    -0.82     0.40
2009ik      NGC4653                      0.863     2.06     0.37    0.857     2.08     0.62    0.882    -0.56     0.27    0.795   -99.00    -9.00
1965H       NGC4666                      0.883    -2.46     0.03    0.883    -2.44     0.04    0.841    -2.22     0.02    0.852    -2.13     0.07
1907A       NGC4674                      1.000    -5.47     0.52    1.000    -5.34     0.67    1.000    -4.84     0.71    1.000    -3.62     0.93
1997bp      NGC4680                      0.740     0.16     0.10    0.756    -0.95     0.09    0.828    -3.19     0.01    0.741    -3.29     0.05
2007ft      NGC4677                      1.000    -8.21     1.06    1.000    -8.25     1.10    1.000   -10.40    67.63    1.000    -3.12     7.33
2011jh      NGC4682                      0.610    -0.92     0.07    0.606    -0.91     0.11    0.619    -0.76     0.06    0.598    -0.83     0.30
2001cz      NGC4679                      0.618     0.19     0.08    0.615    -0.60     0.08    0.563    -2.16     0.01    0.509    -2.55     0.06
1966B       NGC4688                      0.444    -1.52     0.13    0.543    -3.26     0.11    0.307    -6.50     0.12    0.450    -6.46     0.27
1997X       NGC4691                      0.119    -0.00     0.03    0.131    -0.15     0.03    0.176    -0.20     0.02    0.175    -0.18     0.03
1948A       NGC4699                      0.706     0.03     0.07    0.698     0.02     0.10    0.544    -0.02     0.06    0.577    -0.17     0.29
1983K       NGC4699                      1.000     1.00     0.57    1.000     0.63     0.74    1.000     1.19     0.78    1.000   -99.00    -9.00
2003ef      NGC4708                      0.486    -0.47     0.06    0.497    -0.98     0.07    0.511    -2.70     0.01    0.449    -3.00     0.04
2005bo      NGC4708                      0.394     0.16     0.07    0.405    -0.54     0.07    0.401    -2.51     0.01    0.362    -2.73     0.04
1940B       NGC4725                      0.723    -0.45     0.09    0.721    -1.42     0.09    0.629    -4.06     0.02    0.617    -4.70     0.08
1969H       NGC4725                      0.157     0.41     0.04    0.150     0.19     0.05    0.062    -2.96     0.02    0.054    -3.85     0.09
1999gs      NGC4725                      0.616     0.26     0.10    0.609    -0.80     0.09    0.399    -3.61     0.02    0.375    -4.27     0.07
1965B       NGC4727                      0.220     0.22     0.04    0.215     0.18     0.06    0.193    -0.07     0.03    0.163    -0.14     0.15
2003eg      NGC4727                      0.357     0.35     0.05    0.357     0.34     0.08    0.400     0.22     0.04    0.345     0.24     0.19
1965I       NGC4753                      1.000    -3.54     0.22    1.000    -3.30     0.39    1.000   -99.00    -9.00    1.000    -3.57     3.84
1983G       NGC4753                      0.655    -1.73     0.04    0.663    -1.74     0.06    0.873    -2.22     0.08    1.000    -3.28     0.72
1983A       ESO323-025                   0.896    -1.41     0.11    0.887    -2.63     0.10    0.890    -4.46     0.03    0.873    -4.32     0.08
2006co      ESO323-025                   0.686     0.18     0.08    0.676    -0.65     0.08    0.655    -2.21     0.01    0.575    -2.50     0.06
2008ib      ESO323-025                   0.783    -1.72     0.05    0.773    -2.08     0.06    0.764    -3.05     0.01    0.699    -3.10     0.05
1988E       NGC4772                      0.378    -0.01     0.06    0.373     0.00     0.09    0.180     0.29     0.13    0.177     0.22     0.65
2012cu      NGC4772                      0.447     0.42     0.09    0.444     0.41     0.13    0.250    -0.13     0.10    0.254     0.64     0.75
2002cf      NGC4786                      0.526     0.76     0.07    0.517     0.74     0.11    0.533     0.64     0.16    0.771     0.34     0.57
2011jm      NGC4809                      0.009     0.26     0.13    0.009     0.25     0.20    0.029     0.68     0.19    0.018     0.14     0.48
2012au      NGC4790                      0.055     0.09     0.05    0.054     0.09     0.07    0.045     0.06     0.03    0.038     0.01     0.14
2011jn      PGC044257                    0.837     0.69     0.26    0.835     0.93     0.46    0.933   -99.00    -9.00    1.000    -2.85     4.48
2005bb      UGC08067                     0.613    -0.92     0.05    0.612    -0.88     0.08    0.584    -0.83     0.04    0.404    -0.61     0.16
2006bf      UGC08093                     0.685     0.31     0.12    0.683     0.24     0.18    0.552     0.18     0.08    0.371     0.68     0.54
1968B       NGC4874                      0.167     0.97     0.07    0.160     0.96     0.11    0.112     0.63     0.15    1.000   -99.00    -9.00
1981G       NGC4874                      0.246     0.41     0.08    0.239     0.38     0.12    0.186     0.08     0.16    1.000     0.92     2.90
2009au      ESO443-021                   0.083     0.30     0.04    0.078     0.31     0.07    0.060     0.28     0.03    0.049     0.30     0.15
