# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
2002jy      NGC0477                      0.999    -4.50     0.35    1.000    -5.88     0.73    0.996    -8.78     0.79    1.000   -10.10     7.64
1976G       NGC0488                      0.835    -0.83     0.11    0.825    -2.27     0.09    0.771    -5.75     0.03    0.736    -6.46     0.14
2010eb      NGC0488                      0.980    -2.58     0.13    0.976    -4.23     0.10    0.972    -7.96     0.17    0.950    -8.76     0.85
1971S       NGC0493                      0.747    -1.53     0.08    0.773    -2.55     0.08    0.811    -5.21     0.04    0.783    -5.21     0.11
1966G       NGC0521                      0.843    -0.98     0.12    0.853    -2.58     0.09    0.778    -5.65     0.03    0.822    -6.27     0.14
2006G       NGC0521                      0.742    -0.69     0.10    0.749    -2.02     0.09    0.621    -5.07     0.02    0.651    -5.68     0.09
2000cx      NGC0524                      0.943    -1.53     0.12    0.933    -3.07     0.09    0.917    -8.57     0.44    0.854    -8.09     0.69
2008Q       NGC0524                      0.995    -2.28     0.13    0.994    -3.92     0.10    0.992    -8.75     0.42    0.966    -9.18     1.77
2001en      NGC0523                      0.054     1.27     0.06    0.048     1.18     0.10    0.030     0.98     0.05    0.018    -0.08     0.16
2008hh      IC0112                       0.555     0.56     0.10    0.542     0.63     0.14    0.503     0.66     0.06    0.377     0.33     0.23
1963N       NGC0536                      0.939    -3.05     0.08    0.939    -3.81     0.10    0.943    -6.80     0.16    0.940    -7.30     0.73
1961Q       NGC0550                      0.928    -3.17     0.06    0.920    -3.69     0.08    0.899    -7.67     0.33    0.907    -8.38     1.53
2005Q       ESO244-031                   0.749    -0.45     0.13    0.714    -1.80     0.11    0.727    -4.37     0.04    0.636    -4.87     0.17
2005me      ESO244-031                   0.822    -0.64     0.15    0.787    -2.19     0.12    0.811    -4.91     0.06    0.719    -5.35     0.24
2010cm      ESO244-031                   0.348    -0.14     0.09    0.327    -0.97     0.10    0.251    -3.51     0.03    0.212    -4.18     0.14
2014di      ESO244-031                   0.923    -1.48     0.18    0.887    -3.24     0.14    0.914    -6.31     0.17    0.810    -6.69     0.68
2007pk      NGC0579                      0.216     0.28     0.06    0.233     0.28     0.08    0.208     0.16     0.03    0.163     0.08     0.14
2010gz      NGC0599                      0.852    -0.78     0.14    0.825    -2.39     0.11    0.900    -7.57     0.43    1.000    -7.61     1.14
2002D       NGC0594                      0.806    -0.10     0.11    0.784    -0.10     0.16    0.766    -0.25     0.05    0.637    -0.07     0.20
2013fd      ESO353-014                   0.627    -0.13     0.07    0.634    -0.69     0.08    0.567    -2.58     0.02    0.445    -3.19     0.08
2002ap      NGC0628                      0.916    -2.64     0.14    0.960    -4.46     0.10    1.000    -7.84     0.12    0.701    -7.11     0.15
2003gd      NGC0628                      0.718    -1.29     0.10    0.757    -2.55     0.09    1.000    -4.69     0.01    0.515    -5.02     0.05
2013ej      NGC0628                      0.746    -1.38     0.10    0.787    -2.63     0.09    1.000    -4.78     0.01    0.545    -4.96     0.05
2001eh      UGC01162                     0.963     0.56     0.30    0.961     0.65     0.47    0.944     0.04     0.23    0.925     0.44     1.18
2006Q       NGC0634                      0.101    -0.15     0.02    0.100    -0.27     0.04    0.070    -1.88     0.01    0.047    -2.76     0.08
2008A       NGC0634                      0.895    -1.95     0.11    0.910    -3.25     0.10    0.922    -6.34     0.09    0.899    -6.10     0.20
2001dn      NGC0662                      0.171     0.31     0.04    0.164    -0.35     0.05    0.126    -1.27     0.01    0.094    -1.59     0.05
2010ji      UGC01230                     1.000    -3.75     0.21    1.000    -5.82     0.42    0.892   -10.63     4.05    1.000    -7.93     0.84
1996bo      NGC0673                      0.106     0.63     0.05    0.104     0.22     0.06    0.100    -1.43     0.01    0.079    -1.88     0.04
2001fa      NGC0673                      0.391     0.04     0.07    0.384    -0.71     0.07    0.414    -2.57     0.01    0.368    -2.93     0.04
2007st      NGC0692                      0.148     0.44     0.03    0.136     0.36     0.05    0.041     0.05     0.04    0.031    -0.08     0.21
2010aa      NGC0692                      0.384     0.43     0.06    0.375     0.33     0.08    0.197    -0.21     0.04    0.155    -0.11     0.21
1994ad      ESO152-026                   0.683     0.17     0.16    0.676     0.25     0.26    0.567     0.75     0.22    0.634    -0.07     0.96
1983R       IC1731                       0.471     0.13     0.13    0.469    -0.00     0.19    0.455     0.21     0.11    0.371     1.14     0.91
2005W       NGC0691                      0.662    -0.30     0.12    0.665    -0.32     0.18    0.580    -0.18     0.11    0.633    -0.10     0.56
2014bu      NGC0694                      0.539     0.33     0.05    0.527    -0.16     0.06    0.430    -1.66     0.01    0.375    -1.94     0.04
2004fc      NGC0701                      0.034     0.27     0.03    0.036     0.23     0.04    0.033    -0.64     0.01    0.027    -0.87     0.04
2008eg      UGC01324                     0.239    -0.06     0.04    0.246    -0.08     0.06    0.160    -0.05     0.04    0.156    -0.06     0.15
2006ob      UGC01333                     0.281     0.46     0.07    0.264     0.44     0.11    0.103     0.19     0.16    0.053    -0.00     1.25
2002eo      NGC0710                      0.470     0.44     0.10    0.483     0.49     0.16    0.505     0.53     0.05    0.402     0.34     0.19
2001dm      NGC0749                      0.272     0.61     0.03    0.265     0.41     0.05    0.285    -1.12     0.01    0.220    -1.23     0.05
2002gc      UGC01394                     0.737    -0.63     0.10    0.725    -0.74     0.15    0.602     0.04     0.17    0.675     0.21     0.98
2005hg      UGC01394                     0.603     0.38     0.13    0.588     0.36     0.20    0.428     0.26     0.17    0.475    -0.49     1.00
1972L       NGC0735                      0.819    -0.37     0.11    0.818    -2.87     0.06    0.761    -4.73     0.04    0.625    -5.23     0.15
2000dj      NGC0735                      0.873    -0.89     0.11    0.877    -3.36     0.06    0.840    -5.26     0.05    0.711    -5.57     0.19
2006ei      NGC0735                      0.374     0.09     0.06    0.360    -1.31     0.05    0.225    -3.61     0.02    0.191    -4.24     0.11
2013fk      UGC01442                     0.306     0.69     0.18    0.330     0.55     0.27    0.220     0.51     0.20    0.086     0.76     1.29
2011eb      NGC0782                      0.702    -0.12     0.12    0.679    -1.16     0.11    0.686    -3.25     0.02    0.692    -3.65     0.08
1954E       NGC0753                      0.892    -1.25     0.13    0.888    -3.22     0.08    0.889    -4.90     0.03    0.902    -5.05     0.08
2006td      A015815+3620                 0.015     1.66     0.10    0.015     1.57     0.15    0.012     1.35     0.09    0.006     1.04     0.65
2013hs      UGC01461                     0.611     0.42     0.13    0.636     0.50     0.22    0.574     0.61     0.12    0.412     0.46     0.54
2005cx      IC0178                       0.156     0.67     0.04    0.140     0.60     0.06    0.064     0.19     0.04    0.049     0.18     0.19
2003hl      NGC0772                      0.225     0.18     0.05    0.222    -0.28     0.06    0.159    -2.33     0.01    0.198    -2.81     0.04
2003iq      NGC0772                      0.473    -0.35     0.07    0.480    -1.11     0.07    0.462    -3.51     0.01    0.560    -4.07     0.05
1998dj      NGC0788                      0.418     0.04     0.04    0.539    -0.12     0.05    0.581    -2.07     0.01    0.497    -1.93     0.04
2004dt      NGC0799                      0.430     0.12     0.08    0.419     0.15     0.13    0.338     0.15     0.12    0.358    -0.30     0.57
2010E       ESO013-028                   0.854    -0.11     0.11    0.853    -0.95     0.11    0.769    -2.65     0.02    0.593    -2.95     0.09
2009af      UGC01551                     0.239    -0.52     0.11    0.214    -2.07     0.09    0.203    -4.82     0.04    0.167    -5.28     0.17
2004ew      ESO153-017                   0.512    -0.14     0.10    0.499    -0.93     0.10    0.406    -3.21     0.02    0.354    -3.79     0.10
2012U       ESO153-020                   0.413    -0.13     0.05    0.510    -0.19     0.07    0.406    -0.11     0.04    0.425    -0.30     0.11
