# SITEPH_SDSS PROFILE DATA - Sat Jan  3 16:51:45 2015
# SN        host                         jFrac       dj    djerr    hFrac       dh    dherr    kFrac       dk    dkerr
2005me      ESO244-031                   0.846     0.63     5.02    0.883     2.68    10.99    0.838    -0.00     3.89
2010cm      ESO244-031                   0.380     0.07     1.71    0.400     0.08     1.54    0.385     0.11     1.70
2014di      ESO244-031                   0.964   -99.00    -9.00    0.958   -99.00    -9.00    0.935    -0.59     4.65
1991ba      ESO244-032                   0.613     0.17     1.44    0.624     0.74     1.75    0.636     0.03     1.34
1999dk      UGC01087                     0.729     2.70    10.99    0.703    -0.51     2.31    0.699    -0.45     3.41
2010gz      NGC0599                      0.816     0.05     3.12    0.878    -0.05     3.10    0.832    -0.42     2.48
2002D       NGC0594                      0.796    -0.46     1.96    0.864     0.05     2.56    0.760     0.48     2.88
2013fd      ESO353-014                   0.681    -0.02     1.36    0.745    -0.39     1.04    0.725     0.20     1.42
2002ap      NGC0628                      1.000    -1.81     8.73    0.976    -3.61     2.54    1.000   -99.00    -9.00
2003gd      NGC0628                      0.870    -1.51     1.92    0.821    -0.22     3.12    0.881    -0.03     4.34
2013ej      NGC0628                      0.896    -0.58     2.94    0.846    -0.91     2.30    0.901    -1.06     2.61
1998es      NGC0632                      0.536     0.47     1.23    0.532     0.58     1.18    0.567     0.65     1.32
2005Y       UGC01159                     0.185     0.48     1.50    0.175     0.64     1.46    0.202     0.77     1.68
2001eh      UGC01162                     0.495    -0.03     3.75    0.314    -0.22     1.97    0.479     0.01     3.07
2006Q       NGC0634                      0.152    -0.24     0.38    0.167    -0.25     0.32    0.168    -0.31     0.34
2008A       NGC0634                      0.961    -0.79     3.20    0.970    -0.16     5.13    0.978    -0.99     2.96
2008hg      IC1720                       0.750     0.36     2.08    0.771     0.39     1.86    0.749     0.03     1.87
2000dl      UGC01191                     0.156     0.45     1.16    0.152     0.45     1.06    0.170     0.63     1.25
1996bw      NGC0664                      0.786    -0.25     1.82    0.763    -0.31     1.65    0.815    -0.38     1.78
1997W       NGC0664                      0.815    -0.26     1.94    0.791    -0.51     1.60    0.840    -0.61     1.76
1999eb      NGC0664                      0.262     0.33     0.83    0.259     0.39     0.77    0.283     0.33     0.81
2010ji      UGC01230                     0.797    -1.93     4.66    0.861    -1.87     6.68    0.486   -99.00    -9.00
1992br      A014544-5605                 0.796   -99.00    -9.00    0.805     0.78     3.51    0.934     0.09     2.74
1996bo      NGC0673                      0.115    -0.19     0.93    0.118    -0.50     0.88    0.123    -0.88     0.98
2001fa      NGC0673                      0.387    -0.65     1.40    0.388    -1.14     1.25    0.396    -1.62     1.33
2007st      NGC0692                      0.195     0.48     0.51    0.207     0.50     0.47    0.222     0.50     0.50
2010aa      NGC0692                      0.413     0.18     0.96    0.433     0.22     0.90    0.464     0.15     0.95
1994ad      ESO152-026                   0.699    -0.07     2.46    0.704    -0.01     2.68    0.660    -0.40     2.21
2007rv      NGC0689                      0.736     0.49     1.94    0.750     0.35     1.64    0.754     0.39     1.76
1983R       IC1731                       0.993   -99.00    -9.00    1.000    -2.80    99.66    1.000   -99.00    -9.00
2005W       NGC0691                      0.675    -0.28     2.01    0.623    -0.37     1.66    0.747    -0.48     1.99
2004fc      NGC0701                      0.012     0.15     0.49    0.014     0.19     0.43    0.017     0.26     0.46
2006ob      UGC01333                     0.351     0.22     1.18    0.333     0.20     1.04    0.312     0.20     1.15
2001ed      NGC0706                      0.577    -0.59     0.97    0.317    -0.55     0.90    0.608    -0.57     0.97
2002eo      NGC0710                      0.509     0.45     2.12    0.471     0.18     1.70    0.554     0.22     1.95
2005cj      ESO114-014                   0.656    -0.35     2.40    0.667    -0.49     2.11    0.654    -0.18     2.65
