# SITEPH_SDSS PROFILE DATA - Sat Jan  3 16:51:45 2015
# SN        host                         jFrac       dj    djerr    hFrac       dh    dherr    kFrac       dk    dkerr
2006dk      NGC4161                      0.562     0.27     1.26    0.579     0.30     1.15    0.593     0.16     1.19
2007gw      NGC4161                      0.478     0.08     1.02    0.494     0.08     0.91    0.506     0.11     1.01
1965G       NGC4162                      0.792     0.09     2.11    0.841    -0.40     1.70    0.804     0.40     2.52
2001hg      NGC4162                      0.779     0.10     2.08    0.830    -0.33     1.70    0.792    -0.41     1.69
1971G       NGC4165                      0.105     0.29     2.82    0.111     1.73     5.79    0.112     0.33     3.17
2006az      NGC4172                      0.351     0.89     0.73    0.389     0.94     0.66    0.348     0.98     0.72
1963I       NGC4178                      0.177     0.08     1.38    0.171     0.14     1.25    0.201    -0.29     1.23
2003M       UGC07224                     0.585    -0.20     4.34    0.433     1.47     7.41    0.497   -99.00    -9.00
1982C       NGC4185                      0.845     0.04     3.44    0.880    -0.13     2.98    0.883    -0.01     3.55
2007sw      UGC07228                     0.041     0.32     0.64    0.045     0.34     0.56    0.048     0.36     0.59
2012bh      UGC07228                     0.001     6.15     4.82    0.001   -99.00    -9.00    0.001   -99.00    -9.00
1966E       NGC4189                      0.680     0.64     3.99    0.811     0.02     3.07    0.891    -0.15     3.34
2006an      A121438+1213                 0.224   -99.00    -9.00    0.065   -99.00    -9.00    0.262   -99.00    -9.00
2002ho      NGC4210                      0.430     0.17     1.33    0.481     0.31     1.32    0.470     0.28     1.42
1954A       NGC4214                      0.903   -99.00    -9.00    0.828    -0.39     3.23    0.772   -99.00    -9.00
2000cv      PGC039222                    0.672     0.86     2.19    0.655     0.70     1.83    0.707     0.88     2.36
1983O       NGC4220                      0.318     0.13     0.60    0.152     0.11     0.53    0.341     0.10     0.58
2008bn      NGC4226                      0.871    -1.39     1.06    0.870    -1.29     1.02    0.914    -1.44     1.01
2011am      NGC4219                      0.320     0.45     0.93    0.326     0.51     0.83    0.360     0.67     0.96
2011hp      NGC4219                      0.643    -0.44     0.92    0.642    -0.43     0.82    0.704    -0.37     0.91
2002bu?     NGC4242                      0.228     0.07     3.84    0.090    -0.08     2.24    0.266    -0.23     3.70
1963G       IC3112                       0.657     0.28     2.14    0.776     0.28     1.90    0.630     0.48     2.25
1975C       NGC4246                      0.999    -2.92     7.20    1.000    -2.68     3.91    0.971    -0.80     6.61
1967H       NGC4254                      0.797    -0.43     1.61    0.858    -0.50     1.60    0.814    -0.68     1.53
1972Q       NGC4254                      0.872    -0.78     1.75    0.928    -1.18     1.49    0.883    -1.05     1.63
1986I       NGC4254                      0.455    -0.18     0.89    0.517    -0.20     0.82    0.481    -0.20     0.88
2014L       NGC4254                      0.241    -0.02     0.62    0.280    -0.07     0.55    0.261    -0.08     0.60
1981K       NGC4258                      0.660    -2.12     0.77    0.653    -2.57     0.74    0.666    -3.06     0.79
2014bc      NGC4258                      0.000     2.17     0.17    0.000     1.89     0.15    0.000     1.58     0.17
2006cp      UGC07357                     0.767    -0.72     3.38    0.558    -0.62     2.92    0.579    -0.69     2.88
2001A       NGC4261                      0.208     0.33     0.39    0.199     0.34     0.36    0.216     0.34     0.39
1998cj      NGC4263                      0.431     1.09     1.54    0.465     1.16     1.46    0.357     1.02     1.50
1999ev      NGC4274                      0.786    -1.32     0.92    0.806    -1.26     0.86    0.805    -1.24     0.98
1936A       NGC4273                      0.719     0.09     1.58    0.792    -0.22     1.36    0.753     0.62     2.12
2008N       NGC4273                      0.409     0.34     0.98    0.474     0.40     0.95    0.458     0.32     0.98
2000bh      ESO573-014                   1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.882     1.08    10.07
1986E       NGC4302                      0.802    -0.05     1.98    0.779    -0.22     1.56    0.828     0.23     2.19
2003ac      IC3203                       0.847    -0.09     3.00    0.833     0.24     3.35    0.864   -99.00    -9.00
1926A       NGC4303                      0.626     0.92     1.99    0.637     0.47     1.54    0.652     0.42     1.68
1961I       NGC4303                      0.749    -0.26     1.70    0.752    -0.22     1.70    0.769    -0.73     1.50
1964F       NGC4303                      0.238     0.53     1.08    0.252     0.32     0.90    0.261     0.35     1.00
1999gn      NGC4303                      0.457    -0.82     0.66    0.473    -0.67     0.67    0.487    -0.63     0.75
2006ov      NGC4303                      0.464    -0.08     0.94    0.480    -0.30     0.80    0.494    -0.21     0.91
2008in      NGC4303                      0.843    -0.56     2.11    0.839    -0.51     2.05    0.858    -0.40     2.42
2014dt      NGC4303                      0.312     0.25     1.03    0.327     0.39     1.02    0.338     0.32     1.09
2003bk      NGC4316                      0.363    -0.47     0.52    0.407    -0.57     0.42    0.419    -0.57     0.44
2009an      NGC4332                      0.342     0.20     2.98    0.463     1.32     4.64    0.453     0.46     3.31
1901B       NGC4321                      0.659    -0.28     1.68    0.564     0.08     1.83    0.685    -0.45     1.60
1914A       NGC4321                      0.702     0.04     2.18    0.601    -0.23     1.72    0.727     0.66     2.92
1959E       NGC4321                      0.438    -0.53     1.11    0.375    -0.53     1.03    0.462    -0.52     1.16
1979C       NGC4321                      0.688    -0.57     1.57    0.588    -0.77     1.30    0.712    -0.46     1.72
2006X       NGC4321                      0.294     0.36     1.38    0.254     0.17     1.17    0.317     0.31     1.37
1955E       NGC4335                      0.346     0.79     1.71    0.327     0.55     1.37    0.426     0.49     1.54
1977A       NGC4340                      0.743     0.23     1.96    0.768     0.48     2.04    0.774     0.18     1.98
1996B       NGC4357                      0.672    -2.27     1.17    0.284    -2.08     1.10    0.229    -2.18     1.15
1996ac      PGC040346                    0.290     0.95     1.26    0.242     1.00     1.15    0.246     0.99     1.25
2014bv      NGC4386                      0.734    -0.27     1.66    0.706     0.23     1.86    0.688    -0.10     1.77
2005kl      NGC4369                      0.183     0.46     0.56    0.196     0.42     0.51    0.197     0.42     0.55
2008ar      IC3284                       0.414     0.60     1.57    0.399     0.42     1.33    0.409     0.79     1.58
1960J       NGC4375                      0.992   -99.00    -9.00    0.982    -1.46     3.35    0.987    -0.98     4.65
1957B       NGC4374                      0.494     0.25     0.92    0.512     0.19     0.82    0.515     0.25     0.94
1980I       NGC4374                      1.000   -99.00    -9.00    1.000    -4.59     3.55    1.000   -99.00    -9.00
1991bg      NGC4374                      0.548     0.30     1.12    0.567     0.27     1.00    0.569     0.31     1.14
2000de      NGC4384                      0.094     0.65     0.97    0.082     0.67     0.90    0.058     0.72     1.02
1960R       NGC4382                      0.661     0.22     2.12    0.730    -0.11     1.79    0.693     0.05     2.06
2004gk      IC3311                       0.236    -1.22     1.29    0.194    -1.52     1.26    0.237    -1.96     1.38
1976B       NGC4402                      0.754    -1.01     1.61    0.745    -1.58     1.36    0.775    -2.00     1.53
1974G       NGC4414                      0.791    -0.88     1.29    0.801    -1.20     1.30    0.826    -1.82     1.33
2013df      NGC4414                      0.792    -1.38     1.03    0.803    -1.79     1.00    0.828    -2.13     1.16
1965A       NGC4410B                     0.628     1.68     2.28    0.619     2.37     2.86    0.672     2.00     2.60
1992ad      NGC4411B                     0.617    -0.49     3.79    0.934     0.51     7.10    0.601   -99.00    -9.00
1984A       NGC4419                      1.000    -5.27     1.13    1.000    -7.56     4.12    1.000    -7.88     8.73
2012cc      NGC4419                      0.238     0.12     0.29    0.260     0.11     0.26    0.262     0.09     0.27
1895A       NGC4424                      0.465     0.54     3.23    0.265   -99.00    -9.00    0.190     2.41     7.09
2012cg      NGC4424                      0.123     0.24     0.97    0.070     0.30     0.92    0.053     0.25     0.97
2008ce      NGC4428                      0.437    -1.13     0.64    0.543    -1.19     0.60    0.441    -1.25     0.61
2010bk      NGC4433                      0.130    -0.37     0.50    0.152    -0.51     0.40    0.157    -0.50     0.40
2002C       IC3376                       0.866    -0.21     4.56    0.818    -1.20     2.37    0.843    -0.76     2.98
1995S       NGC4456                      0.788     0.38     2.24    0.594     0.13     1.79    0.680     0.02     1.91
2005an      ESO506-011                   0.479     0.95     1.11    0.331     1.07     1.02    0.524     1.23     1.20
1985G       NGC4451                      0.175     0.11     0.64    0.194     0.09     0.57    0.204     0.08     0.63
1998bn      NGC4462                      0.555    -2.55     0.81    0.725    -3.20     0.61    0.375    -2.73     0.72
1982F       NGC4490                      0.301     0.20     0.91    0.311     0.22     0.86    0.304     0.07     0.88
2008ax      NGC4490                      0.471    -0.02     1.08    0.483    -0.12     0.99    0.476     0.17     1.22
1919A       NGC4486                      0.766    -0.55     1.14    0.776    -0.35     1.16    0.832    -0.29     1.34
2009N       NGC4487                      0.791     1.57     2.75    0.793     1.70     2.86    0.770     1.44     3.10
1994M       NGC4493                      0.660   -99.00    -9.00    0.637     1.83     4.73    0.731     0.54     2.98
2004br      NGC4493                      0.293     0.85     1.29    0.281     0.90     1.16    0.326     0.68     1.17
1994S       NGC4495                      0.715     1.06     3.23    0.742     1.86     4.21    0.719     4.67    17.37
2010lo      NGC4495                      0.914    -1.12     3.29    0.921   -99.00    -9.00    0.882    -0.55     3.51
2011ca      NGC4495                      0.781     0.88     3.84    0.802     0.29     2.71    0.782     0.34     2.80
1960F       NGC4496A                     0.396     0.15     2.35    0.458    -0.01     2.23    0.369     0.29     2.73
1988M       NGC4496B                     0.104     0.63     1.65    0.139     0.66     1.48    0.107     0.09     1.32
1999cl      NGC4501                      0.568    -1.12     0.80    0.628    -1.66     0.71    0.607    -2.22     0.73
1970A       IC3476                       0.642    -1.50     2.11    0.730    -0.89     3.70    0.686    -2.31     2.35
1999gq      NGC4523                      0.534    -0.20     4.04    0.518   -99.00    -9.00    0.483    -1.05     2.78
2000bk      NGC4520                      0.958    -2.48     3.10    0.999     1.08    14.20    0.949    -2.86     2.45
1969E       NGC4526                      0.338     1.98     1.02    0.360     1.96     0.91    0.368     2.12     1.08
1994D       NGC4526                      0.133     0.68     0.28    0.149     0.73     0.25    0.159     0.77     0.27
1915A       NGC4527                      0.734    -0.28     1.72    0.824    -1.00     1.42    0.792    -1.04     1.82
1991T       NGC4527                      0.824    -1.52     1.39    0.904    -1.76     1.54    0.872    -1.96     1.78
2004gn      NGC4527                      0.579    -1.28     0.82    0.664    -1.64     0.79    0.643    -2.26     0.79
1981B       NGC4536                      0.808    -1.32     2.48    0.863    -1.02     3.84    0.859    -2.37     2.55
1940D       NGC4545                      0.304    -0.25     1.30    0.142    -0.08     1.27    0.213    -0.23     1.28
1955R?      UGC07740                     0.581     1.01     5.24    0.697    -0.25     3.20    0.666     0.73     4.73
2007gq      NGC4541                      0.525    -0.10     0.99    0.570    -0.12     0.89    0.616    -0.02     0.97
1941A       NGC4559                      0.285    -0.95     0.94    0.242    -0.97     0.88    0.290    -1.05     0.95
1961H       NGC4564                      0.122     0.94     0.26    0.118     0.94     0.23    0.131     0.98     0.26
1990B       NGC4568                      0.126     0.18     0.56    0.131     0.20     0.49    0.157     0.20     0.51
2004cc      NGC4568                      0.120     0.01     0.51    0.125     0.05     0.45    0.151     0.07     0.48
2005cz      NGC4589                      0.246     0.35     0.56    0.437     0.39     0.52    0.359     0.31     0.55
1988A       NGC4579                      0.541     0.12     1.15    0.514     0.20     1.09    0.549     0.31     1.28
1989M       NGC4579                      0.534    -0.23     0.96    0.508     0.03     1.00    0.542    -0.24     0.97
2008aa      UGC07799                     0.949    -4.54     1.31    0.874    -4.82     1.39    0.904    -5.71     2.50
2011F       UGC07799                     0.531     0.27     1.40    0.515     0.42     1.27    0.546     0.23     1.23
2007rw      UGC07798                     0.286    -0.06     1.50    0.140     0.23     1.53    0.185     0.15     1.60
2007be      UGC07800                     0.744     0.46     2.32    0.525     0.26     1.87    0.530     0.19     2.18
2003ej      UGC07820                     0.309    -0.33     3.48    0.561    -0.74     3.00    0.205     2.86    17.37
2008cn      NGC4603                      0.196    -0.79     1.15    0.209    -1.10     1.10    0.204    -1.58     1.18
2006bv?     UGC07848                     0.388    -0.63     2.62    0.145    -0.14     2.41    0.135    -0.83     2.13
2005ab      NGC4617                      0.666     1.04     2.80    0.769     2.50     4.91    0.722     1.18     3.00
2007ss      NGC4617                      0.237     0.04     0.65    0.276     0.03     0.57    0.260    -0.00     0.60
1985F       NGC4618                      0.109    -0.68     0.72    0.104    -0.69     0.66    0.104    -0.76     0.75
1987F       NGC4615                      0.642    -0.02     2.28    0.625     0.66     2.84    0.704     0.88     3.23
2006ac      NGC4619                      0.740     0.11     1.83    0.771     0.22     1.82    0.774    -0.16     1.70
1939B       NGC4621                      0.616     0.01     1.08    0.643    -0.03     0.97    0.690    -0.18     1.05
2012cr      NGC4626                      0.814    -2.16     1.60    0.574    -1.31     1.34    0.742    -2.22     1.45
1946B       NGC4632                      0.081    -0.13     1.05    0.097     0.02     1.08    0.079     0.00     1.10
2001jx      NGC4622                      0.491   -99.00    -9.00    0.625   -99.00    -9.00    0.620   -99.00    -9.00
2007cm      NGC4644                      0.637     0.15     2.38    0.775     1.15     3.44    0.528     0.55     2.60
1992P       IC3690                       0.571     0.86     1.78    0.683     0.96     1.72    0.529     1.12     1.84
1939A       NGC4636                      0.146     0.26     0.76    0.126     0.32     0.75    0.187     0.31     0.81
1990N       NGC4639                      0.939    -1.09     3.89    0.874    -0.65     4.15    0.910    -1.41     5.12
1979A       NGC4647                      0.082     0.26     1.74    0.081     0.04     1.54    0.077    -0.12     1.52
2004W       NGC4649                      0.546     0.38     1.66    0.568    -0.03     1.32    0.598     0.26     1.66
1987K       NGC4651                      0.412    -0.83     0.85    0.390    -1.30     0.78    0.399    -1.78     0.86
2006my      NGC4651                      0.574    -1.18     1.24    0.545    -1.72     1.10    0.552    -2.14     1.27
2009et      IC3704                       0.408     0.38     1.55    0.530     0.57     1.52    0.437     1.30     2.30
1999gk      NGC4653                      0.714    -0.88     2.51    0.819    -0.37     3.26    0.836    -1.36     2.05
2009ik      NGC4653                      0.894   -99.00    -9.00    0.983   -99.00    -9.00    0.925    -3.22     4.75
1999bm      A124500-0627                 1.000   -99.00    -9.00    0.150   -99.00    -9.00    0.344   -99.00    -9.00
1965H       NGC4666                      0.671    -2.41     0.59    0.644    -2.54     0.51    0.668    -2.63     0.55
1997Y       NGC4675                      0.494    -0.52     0.70    0.498    -0.55     0.62    0.489    -0.54     0.65
2006S       UGC07934                     0.755     0.36     4.28    0.855     0.53     4.15    0.490     0.21     3.71
1907A       NGC4674                      1.000    -4.99     1.38    1.000    -7.05     6.20    1.000    -3.55     1.15
1997bp      NGC4680                      0.725    -0.31     1.99    0.733    -0.35     2.31    0.740    -1.44     1.80
2007ft      NGC4677                      0.664   -99.00    -9.00    0.704   -99.00    -9.00    0.722    -0.85     6.22
2011jh      NGC4682                      0.585    -0.98     1.16    0.578    -1.12     1.04    0.625    -1.04     1.18
2001cz      NGC4679                      0.644    -0.61     1.60    0.668    -1.12     1.44    0.641    -1.05     2.01
2004Q       ESO507-011                   0.736     0.45     2.25    0.769     0.57     2.19    0.737     0.91     2.84
1966B       NGC4688                      0.410     0.07     3.99    0.189     0.61     3.38    0.229    -0.72     2.31
1997X       NGC4691                      0.134     0.04     0.47    0.141    -0.00     0.43    0.144    -0.07     0.45
1998ab      NGC4704                      0.612     0.15     1.70    0.683     0.31     1.67    0.675     0.01     1.59
1948A       NGC4699                      0.635    -0.22     0.99    0.618    -0.10     0.99    0.192    -0.14     0.99
1983K       NGC4699                      0.912   -99.00    -9.00    0.866    -1.46     3.29    0.343    -0.28     2.13
2003ef      NGC4708                      0.524    -1.51     0.98    0.537    -1.94     0.93    0.527    -2.41     1.00
2005bo      NGC4708                      0.437    -0.60     1.36    0.451    -1.19     1.21    0.443    -1.61     1.35
1940B       NGC4725                      0.773    -1.50     1.71    0.721    -1.97     1.42    0.769    -2.27     1.85
1969H       NGC4725                      0.179    -0.81     0.61    0.157    -1.31     0.54    0.179    -1.77     0.61
1999gs      NGC4725                      0.676    -0.39     2.11    0.624    -1.18     1.56    0.672    -1.61     1.86
1981F       NGC4716                      0.595    -0.01     1.19    0.615     0.18     1.20    0.593     0.39     1.47
1965B       NGC4727                      0.254     0.17     0.67    0.268     0.20     0.61    0.270     0.12     0.65
2003eg      NGC4727                      0.394     0.16     0.87    0.413     0.14     0.78    0.415     0.15     0.85
1965I       NGC4753                      0.584    -2.51     2.62    0.496    -1.56     2.32    0.528    -1.45     3.26
1983G       NGC4753                      0.335    -1.71     0.58    0.263    -1.76     0.52    0.301    -1.72     0.59
1983A       ESO323-025                   0.879    -1.93     2.19    0.888    -2.24     2.31    0.877    -3.52     2.05
2006co      ESO323-025                   0.688    -0.68     1.65    0.699    -1.35     1.40    0.706    -0.76     2.52
2008ib      ESO323-025                   0.770    -2.94     0.81    0.784    -3.32     0.76    0.788    -3.83     0.81
1988E       NGC4772                      0.194    -0.11     0.90    0.286    -0.03     0.85    0.048    -0.02     0.91
2012cu      NGC4772                      0.227     0.29     1.32    0.334     0.52     1.35    0.057     0.10     1.18
2002cf      NGC4786                      0.357     0.70     1.24    0.282     0.58     1.07    0.417     0.49     1.14
1956B       NGC4783                      0.666    -0.91     0.85    0.663    -0.57     0.89    0.656    -0.53     0.99
2011jm      NGC4809                      0.003     0.27     1.66    0.004     0.19     1.55    0.003     0.46     1.92
2012au      NGC4790                      0.044     0.11     0.74    0.046     0.04     0.67    0.048     0.21     0.79
2008ay      UGC08050                     0.235     0.09     1.82    0.089     0.62     1.98    0.168     0.40     1.90
2001cg      IC3900                       0.420     1.41     0.93    0.425     1.42     0.84    0.432     1.42     0.91
2011jn      PGC044257                    0.721   -99.00    -9.00    0.816     0.59     5.02    0.747   -99.00    -9.00
2005bb      UGC08067                     0.613    -1.05     0.89    0.525    -1.08     0.79    0.556    -1.24     0.86
2008ip      NGC4846                      0.831   -99.00    -9.00    0.673    -0.10     3.17    0.624     2.75    14.18
2008ig      ESO269-020                   0.964    -1.32     2.90    0.950    -0.94     2.61    0.965    -0.76     3.85
1958C       ESO443-018                   0.910    -0.61     3.66    0.916   -99.00    -9.00    0.850   -99.00    -9.00
1968H       PGC044441                    0.459     1.73     2.48    0.404     1.50     2.02    0.459     1.03     1.77
1989F       UGC08084                     0.000     2.37     3.35    0.000     5.01     5.79    0.000   -99.00    -9.00
2009L       NGC4854                      0.331     0.38     1.90    0.254     0.66     2.09    0.305     0.71     2.34
2006bf      UGC08093                     0.724    -0.07     2.00    0.724     0.68     2.53    0.669    -0.03     1.94
2006cj      A125924+2820                 0.452     0.99     1.62    0.418     0.91     1.43    0.399     1.18     1.52
1968B       NGC4874                      0.106     0.72     1.12    0.065     0.57     0.93    0.068     0.62     1.04
1981G       NGC4874                      0.151     0.25     1.28    0.093     0.34     1.18    0.097     0.09     1.13
2009au      ESO443-021                   0.102     0.15     0.79    0.119     0.24     0.68    0.127     0.21     0.69
2010cp      NGC4877                      0.468     0.64     1.17    0.414     0.60     1.00    0.497     0.76     1.17
2003cb      NGC4885                      0.510    -0.09     1.27    0.514    -0.01     1.19    0.455     0.05     1.30
1999br      NGC4900                      0.321     0.61     1.52    0.311     0.68     1.50    0.323     0.62     1.66
1964D       NGC4887                      0.612    -0.51     1.76    0.635    -0.45     1.71    0.603    -0.07     2.39
2006bz      PGC044809                    0.723     0.83     2.70    0.684     0.41     1.94    0.764     0.36     2.18
1991X       NGC4902                      0.288    -0.30     0.75    0.284    -0.25     0.69    0.302    -0.30     0.75
2011A       NGC4902                      0.760    -0.28     1.65    0.740    -0.33     1.45    0.776    -0.25     1.71
2012hy      NGC4903                      0.643    -0.35     1.85    0.652    -0.31     1.74    0.609    -0.39     1.72
1959B       NGC4921                      0.814    -0.17     2.78    0.819     0.27     3.17    0.846     0.59     4.04
1999fz      UGC08164                     0.190     1.17     1.51    0.210     1.17     1.35    0.224     1.15     1.49
2001dr      NGC4932                      0.512     2.09     4.28    0.453     1.77     3.75    0.525     0.86     2.60
2007F       UGC08162                     0.674     0.39     2.88    0.532     0.60     3.10    0.504     1.51     4.34
1973F       NGC4944                      0.775     0.14     1.58    0.768     0.18     1.46    0.799     0.24     1.71
1973J       NGC4939                      0.430    -0.58     1.20    0.367    -0.39     1.20    0.531    -0.69     1.20
2008aw      NGC4939                      0.601    -0.05     2.16    0.515    -0.24     1.87    0.724    -0.30     2.25
2014B       NGC4939                      0.830    -0.58     2.92    0.707    -0.16     3.20    0.917    -0.91     3.48
1994U       NGC4948                      0.001     0.23     0.94    0.001     0.28     0.85    0.001     0.11     0.94
2005az      NGC4961                      0.441    -0.58     1.05    0.309    -0.55     0.97    0.441    -0.61     1.07
1937C       IC4182                       0.067    -0.63     2.82    0.103    -0.08     2.42    0.081     0.13     5.02
2005mb      NGC4963                      0.839     0.15     3.00    0.784    -0.41     2.30    0.661     0.43     2.88
2000P       NGC4965                      0.118     0.53     2.90    0.160     0.23     2.52    0.188     0.13     2.68
2005bt      UGC08205                     0.421     0.14     0.84    0.395     0.17     0.77    0.454     0.17     0.84
2006cr      UGC08205                     0.005     6.58     1.28    0.005     6.91     1.18    0.006     7.11     1.33
1994A       UGC08214                     0.445     0.47     1.37    0.438     0.49     1.25    0.446     0.37     1.29
2003cn      IC0849                       0.849    -1.07     3.48    0.869   -99.00    -9.00    0.902    -1.45     2.44
1956D       IC0850                       1.000    -5.05     1.67    1.000    -5.52     3.09    1.000    -4.75     2.10
2013er      IC0850                       1.000    -5.43     1.86    1.000    -6.06     4.22    1.000    -4.18     1.85
1968I       NGC4981                      0.137     1.01     0.70    0.144     1.05     0.64    0.153     1.20     0.75
2007C       NGC4981                      0.503    -0.34     1.03    0.515    -0.42     0.92    0.538    -0.47     0.98
2011iy      NGC4984                      0.423    -0.02     0.75    0.462    -0.08     0.66    0.438    -0.04     0.74
2006ck      UGC08238                     0.487    -0.14     1.76    0.440    -0.24     1.50    0.456    -0.21     1.74
2003el      NGC5000                      0.525    -0.35     1.40    0.567    -0.33     1.27    0.535    -0.41     1.38
1992K       ESO269-057                   0.383    -0.04     0.99    0.403    -0.11     0.87    0.374    -0.14     0.94
1996ai      NGC5005                      0.364    -1.33     0.35    0.382    -1.80     0.31    0.386    -2.26     0.34
1997eg      NGC5012                      0.555     0.15     1.18    0.666     0.11     1.09    0.648     0.01     1.13
1996ak      NGC5021                      0.963    -2.92     1.56    0.936    -3.30     1.44    0.952    -2.94     1.66
1991J       NGC5020                      0.806    -0.37     3.23    0.800   -99.00    -9.00    0.854     0.59     5.96
2002dj      NGC5018                      0.115     0.24     0.39    0.167     0.24     0.36    0.164     0.23     0.39
1950C       NGC5033                      0.897    -2.52     5.98    0.900    -3.17     6.34    0.929    -1.56     8.22
1985L       NGC5033                      0.631     0.68     2.96    0.572     0.37     2.35    0.687     0.31     2.59
2001gd      NGC5033                      0.782     0.52     6.34    0.702   -99.00    -9.00    0.820     0.41     6.34
1956K       PGC045982                    1.000   -11.71    16.40    1.000     1.96    21.02    1.000    -9.74     4.02
2009ev      NGC5026                      0.889   -99.00    -9.00    0.988    -1.47     3.29    0.778    -0.22     3.28
1984I       ESO323-099                   0.642     0.27     3.23    0.656    -0.48     2.17    0.706     1.42     5.49
2008cd      NGC5038                      0.849    -2.89     0.36    0.881    -2.98     0.32    0.894    -3.03     0.34
1971I       NGC5055                      0.877     0.23     3.00    0.891    -0.13     2.26    0.913     0.11     3.20
2005au      NGC5056                      0.011    -0.10     1.48    0.014    -0.20     1.15    0.015    -0.23     1.37
2004E       PGC046239                    0.988   -99.00    -9.00    0.999   -99.00    -9.00    0.962   -99.00    -9.00
2004ab      NGC5054                      0.114     0.34     0.70    0.125     0.36     0.63    0.146     0.31     0.66
2014A       NGC5054                      0.204     0.05     0.92    0.217    -0.05     0.80    0.246    -0.11     0.85
1956G       PGC091272                    0.411     0.50     1.92    0.535     0.63     1.78    0.510     0.54     1.79
2001F       IC0867                       0.348    -0.29     1.39    0.311    -0.39     1.16    0.383    -0.68     1.26
1996X       NGC5061                      0.723     0.10     1.75    0.691     0.22     1.70    0.742     1.47     3.44
2005cn      NGC5061                      0.916     0.58     4.73    0.898     0.18     3.28    0.918   -99.00    -9.00
2003bj      IC4219                       0.085    -0.19     1.20    0.099    -0.27     1.07    0.114    -0.32     1.15
2002bs      IC4221                       0.002    -0.51     0.69    0.002    -0.75     0.62    0.002    -0.57     0.66
1999cz      NGC5078                      0.000     2.68     0.71    0.000     2.54     0.60    0.000     2.43     0.63
1999cr      ESO576-034                   0.951    -3.40     1.50    0.918    -3.01     1.31    0.978    -3.19     1.57
1997br      ESO576-040                   1.000    -5.66     3.51    1.000    -3.75     2.62    1.000    -6.57     5.02
2003am      ESO576-040                   0.459    -1.66     1.53    0.395    -2.43     1.25    0.464    -2.83     1.39
1956H       PGC091277                    0.543    -0.53     2.09    0.578    -0.02     3.03    0.373    -0.08     2.85
1994T       PGC046640                    0.802   -99.00    -9.00    0.808     3.85     8.19    0.844   -99.00    -9.00
2007kc      UGC08400                     0.422     0.89     2.15    0.303     0.97     1.99    0.391     1.39     2.75
2001cj      UGC08399                     1.000   -99.00    -9.00    1.000    -2.44     2.76    1.000    -0.21     5.24
1986B       NGC5101                      0.318     0.63     4.49    0.302    -0.83     2.08    0.342    -1.35     1.91
2007W       NGC5105                      0.681   -99.00    -9.00    1.000   -99.00    -9.00    0.719   -99.00    -9.00
2001ae      IC4229                       0.883    -0.97     1.82    0.826    -0.95     2.03    0.853    -1.37     1.75
2002I       IC4229                       0.615     0.35     1.82    0.611     0.46     1.76    0.633     0.52     1.99
2008dz      NGC5123                      0.794     0.22     2.48    0.771     1.71     4.49    0.819     0.58     2.71
1991U       IC4232                       0.131    -0.05     0.86    0.141    -0.56     0.76    0.136    -0.94     0.83
1991bi      NGC5127                      0.267     0.43     1.10    0.277     0.52     1.07    0.360     0.45     1.12
1997co      NGC5125                      0.543     0.30     1.57    0.675     0.64     1.73    0.633     1.27     2.48
1992ag      ESO508-067                   0.000     0.66     0.77    0.000     0.31     0.69    0.000    -0.09     0.73
1962H       IC4237                       0.481     0.04     1.25    0.500    -0.09     1.08    0.440     0.05     1.32
1990ak?     PGC097745                    0.434     0.48     1.66    0.429     0.30     1.43    0.435     0.54     1.66
1986G       NGC5128                      0.403    -0.75     0.71    0.397    -1.21     0.69    0.495    -0.98     0.68
2007cg      ESO508-075                   0.699    -0.80     0.86    0.695    -0.82     0.74    0.756    -0.89     0.75
2004bo      ESO576-054                   1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2006by      NGC5149                      0.193     0.79     0.72    0.221     0.86     0.65    0.267     0.93     0.70
2009bs      NGC5163                      0.609     0.78     2.40    0.682     0.62     2.01    0.663     0.32     1.85
1995L       NGC5157                      0.576     0.28     1.80    0.550    -0.04     1.41    0.568     0.62     2.11
2006M       PGC047137                    0.001     3.95     2.34    0.002     4.66     1.93    0.001     2.72     1.78
1997by      IC4252                       0.001     5.12     0.92    0.001     5.16     0.78    0.001     5.25     0.89
2012cj      NGC5156                      0.595     0.41     1.59    0.760     0.02     1.27    0.654     0.10     1.38
1974B       NGC5161                      0.879   -99.00    -9.00    0.860    -0.72     2.98    0.920     1.05     8.19
1998E       NGC5161                      0.139     0.19     1.00    0.136     0.16     0.89    0.162     0.05     0.94
1998cc      NGC5172                      0.000     5.91     1.88    0.000     6.27     1.87    0.000     6.56     2.42
2001R       NGC5172                      0.928    -1.09     2.43    0.946    -0.90     2.68    0.960    -1.70     2.49
2007cd      NGC5174                      0.482     0.16     1.57    0.537     0.14     1.44    0.579     0.36     1.77
1945A       NGC5195                      0.077     0.02     0.22    0.129     0.03     0.20    0.107     0.10     0.22
2006br      NGC5185                      0.428    -1.36     0.83    0.442    -1.87     0.73    0.413    -2.22     0.82
2006dz      NGC5185                      0.997    -5.20     1.72    0.993    -5.12     1.56    0.982    -5.58     1.57
1993O       A133107-3312                 0.998     0.95    14.74    0.991    -2.43     4.90    0.951   -99.00    -9.00
