 1953A                  167.80595833  28.71211111      5.0      1.0  UGC06224NED01                  167.80437500  28.71183333
 1953B                  245.23170833  40.10247222     20.0     -6.0  UGC10349                       245.22445833  40.10413889
 1953C                  277.16904167  48.25288889    -15.0     35.0  UGC11252                       277.17529167  48.24316667
 1953D                  154.65695833 -17.96766667     15.0     56.0  NGC3200                        154.65258333 -17.98322222
 1953E                  353.41466667  30.03444444     11.0    -16.0  UGC12665                       353.41116667  30.03888889
 1953F                  354.49741667  31.99794444      1.0     10.0  UGC12711                       354.49708333  31.99516667
 1953G                  164.80345833  50.26833333      8.0      6.0  Anon.                          164.80000000  50.26666667
 1953H                  165.92541667  49.84916667      1.0     -3.0  Anon.                          165.92500000  49.85000000
 1953I                  332.03812500   4.69413889     -1.0      9.0  UGC11915                       332.03841667   4.69163889
 1953J                   11.23191667  16.93633333     14.5     -4.5  UGC00472                        11.22800000  16.93811111
 1953K                  228.32558333 -18.13741667     12.0     -3.0  IC4536                         228.32204167 -18.13658333
 1953L                   78.94383333  71.46155556     -3.6      8.6  UGC03267                        78.94695833  71.45900000
 1954A                  183.94187500  36.26805556     83.0   -216.0  NGC4214                        183.91325000  36.32805556
 1954B                  218.35075000   4.44516667     -2.0    -20.0  NGC5668                        218.35195833   4.45069444
 1954C                  227.43787500  56.99719444    -14.0    -11.0  NGC5879                        227.44500000  57.00025000
 1954D                    8.04645833  31.67691667    -12.0    -17.0  UGC00319                         8.05054167  31.68147222
 1954E                   29.41154167  35.90911111    -42.0    -25.0  NGC0753                         29.42595833  35.91605556
 1954F                    5.27554167  26.51511111     -6.0      7.0  PGC001347                        5.27741667  26.51316667
 1954G                  188.84616667 -19.25138889    -13.0     -5.0  Anon.                          188.85000000 -19.25000000
 1954H                  197.62583333  -7.65508333     27.0    -17.0  MCG-01-34-010                  197.61829167  -7.65036111
 1954I                  168.65179167 -20.89944444      6.0      2.0  Anon.                          168.65000000 -20.90000000
 1954K                  131.40170833  61.13444444      3.0      4.0  Anon.                          131.40000000  61.13333333
 1954L                  165.27983333  12.33477778    -20.0      6.0  PGC033222                      165.28554167  12.33311111
 1954M                  222.39916667  10.28333333     -3.0     -0.0  Anon.                          222.40000000  10.28333333
 1954N                  221.44941667  10.16833333     -2.0      6.0  Anon.                          221.45000000  10.16666667
 1954O                  214.92929167  13.33277778     15.0     -2.0  Anon.                          214.92500000  13.33333333
 1954P                  206.99941667   9.34944444     -2.0     -2.0  Anon.                          207.00000000   9.35000000
 1954Q                  208.37162500   9.71888889    -12.0      8.0  Anon.                          208.37500000   9.71666667
 1954R                   10.17108333 -13.89622222     86.0    -80.0  NGC0210                         10.14650000 -13.87400000
 1954S                    8.92470833  -8.50166667     -1.0     -6.0  Anon.                            8.92500000  -8.50000000
 1954T                  339.31033333   3.72969444      7.0     -7.0  PGC069331                      339.30837500   3.73163889
 1954U                  359.72333333  -5.59833333     -6.0      6.0  Anon.                          359.72500000  -5.60000000
 1954V                    3.29887500  -7.58138889     -4.0      7.0  Anon.                            3.30000000  -7.58333333
 1954W                  217.16195833   0.55463889     15.0      5.0  PGC051719                      217.15779167   0.55325000
 1954X                  207.80087500  17.63083333      3.0     -9.0  Anon.                          207.80000000  17.63333333
 1954Y                  208.62575000  15.04475000    -13.0     -0.0  UGC08827                       208.62950000  15.04475000
 1954Z                  146.30629167   9.10513889    -14.0    -19.0  UGC05215                       146.31025000   9.11041667
 1954aa                 182.20675000  -9.03544444    -53.0      6.0  NGC4129                        182.22162500  -9.03711111
 1954ab                 179.57500000  -5.93305556     -0.0      1.0  Anon.                          179.57500000  -5.93333333
 1954ac                  10.96158333  32.84247222     -0.5    -38.2  UGC00465                        10.96158333  32.85252778
 1954ad                 128.19320833   0.22602778     -7.2     -5.9  UGC04467                       128.19537500   0.22822222
 1955A                  182.81566667  50.49638889    103.0     40.0  NGC4157                        182.77066667  50.48527778
 1955B                   16.88645833 -13.27000000     -2.0      5.0  MCG-02-03-074                   16.88700000 -13.27138889
 1955C                    2.47583333  25.92638889     10.0     10.0  NGC0023                          2.47275000  25.92361111
 1955D                   13.00245833 -16.40280556      1.0     12.0  MCG-03-03-006                   13.00233333 -16.40641667
 1955E                  185.74800000  58.44297222    -19.0     -7.0  NGC4335                        185.75808333  58.44491667
 1955F                  180.94025000   1.70000000     15.0     17.0  MCG+00-31-025                  180.93608333   1.69527778
 1955G                  171.54179167   3.49555556      8.0    -10.0  PGC035168                      171.53958333   3.49833333
 1955H                  167.70083333   2.93250000      3.0     -3.0  Anon.                          167.70000000   2.93333333
 1955I                  212.87529167   1.14833333      1.0     -6.0  Anon.                          212.87500000   1.15000000
 1955J                  212.93120833   0.72088889      3.0      2.0  PGC050685                      212.93037500   0.72033333
 1955K                  215.61350000  15.08497222     -3.0     -7.0  UGC09206                       215.61437500  15.08691667
 1955L                  166.24629167  30.03138889      8.0     14.0  MCG+05-26-047                  166.24375000  30.02750000
 1955M                  226.85612500  19.60455556    -27.0     25.0  NGC5857                        226.86408333  19.59761111
 1955N                  167.82620833  24.18305556      4.0     -1.0  Anon.                          167.82500000  24.18333333
 1955O                  168.12529167  21.78500000      1.0      6.0  Anon.                          168.12500000  21.78333333
 1955P                  173.02100000  24.96583333    -13.0     -3.0  Anon.                          173.02500000  24.96666667
 1955Q                  164.03370833  24.15458333     -4.3     -7.5  MAPS-NGPO_374_0282411          164.03500000  24.15666667
 1955R                  188.67704167  49.33188889      3.8     26.0  UGC07740                       188.67558333  49.32469444
 1955S                  234.16920833  43.54388889    -16.2     15.8  IC4566                         234.17608333  43.53938889
 1956A                  179.43087500  53.37202778     67.0     -9.0  NGC3992                        179.39966667  53.37452778
 1956B                  193.64258333 -12.56222222    -40.0    -15.0  NGC4783                        193.65395833 -12.55805556
 1956D                  196.96133333  -0.86672222     12.0      6.0  IC0850                         196.95929167  -0.86844444
 1956E                  172.75087500 -16.15111111      3.0     -4.0  Anon.                          172.75000000 -16.15000000
 1956F                  200.75029167   6.79972222      1.0     -1.0  Anon.                          200.75000000   6.80000000
 1956G                  199.28741667   2.34258333     -9.0      5.0  PGC091272                      199.28991667   2.34119444
 1956H                  200.19337500   2.27336111     -2.0     11.0  PGC091277                      200.19395833   2.27030556
 1956I                  199.44887500  -1.56666667     -4.0     -0.0  Anon.                          199.45000000  -1.56666667
 1956J                  197.68883333   0.03075000      9.0     -5.0  PGC045736                      197.68633333   0.03213889
 1956K                  198.45904167  -3.60638889    -12.0     -1.0  PGC045982                      198.46237500  -3.60611111
 1957A                  140.46333333  50.99777778   -106.0     73.0  NGC2841                        140.51045833  50.97652778
 1957B                  186.26429167  12.89983333     -8.0     47.0  NGC4374                        186.26658333  12.88677778
 1957C                   53.38329167 -36.11977778    -54.0     75.0  NGC1365                         53.40154167 -36.14041667
 1957D                  204.26491667 -29.82788889    -41.0    145.0  NGC5236                        204.25337500 -29.86547222
