# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
2005Q       ESO244-031                   0.541     0.56     0.44    0.570    -0.05     0.16
2005me      ESO244-031                   0.675     0.32     0.43    0.697    -0.06     0.17
2010cm      ESO244-031                   0.136     0.08     0.32    0.158     0.22     0.15
2014di      ESO244-031                   0.908    -0.29     0.47    0.914     0.15     0.28
1991ba      ESO244-032                   0.499    -0.11     0.15    0.522     0.19     0.07
2005ib      A013125-0036                 1.000     0.85     0.78    0.446     4.61     9.10
2009fr      NGC0597                      0.044     0.28     0.16    0.062     0.63     0.07
1968Y       PGC005747                    0.072     0.52     0.20    0.073     0.42     0.08
2010gz      NGC0599                      0.911    -1.10     1.48    1.000    -3.66     9.00
2002D       NGC0594                      0.631    -0.32     0.22    0.668     0.47     0.15
2013fd      ESO353-014                   1.000     0.24     0.23    1.000     0.08     0.10
2005js      A013441-0036                 0.014    -0.22     9.02    0.205     2.45     9.00
2002ap      NGC0628                      0.856    -0.31     0.07    0.842     1.01     0.06
2003gd      NGC0628                      0.498    -0.62     0.03    0.523    -0.20     0.02
2013ej      NGC0628                      0.542    -0.09     0.04    0.563     0.31     0.02
1998es      NGC0632                      0.754     2.39     0.61    0.656     2.16     0.23
2005Y       UGC01159                     0.110     1.14     0.09    0.105     0.99     0.03
2006Q       NGC0634                      0.046     0.04     0.42    0.066     1.04     0.17
2008A       NGC0634                      1.000     0.20     1.59    0.998    -3.87     9.02
2011gm      NGC0644                      0.845     1.00     0.48    0.822     1.04     0.23
2005fa      A013936-0045                 1.000     0.73     9.85    0.784     8.97     1.54
2008hg      IC1720                       0.515     1.73     0.42    0.540     1.74     0.19
2005ex      A014151-0052                 0.109     3.77     0.14    0.084     3.81     0.08
2010ec      NGC0655                      0.642    -3.76     9.01    0.602     1.12     0.46
1996bw      NGC0664                      0.738    -0.74     0.07    0.763    -0.29     0.04
1997W       NGC0664                      0.771    -0.80     0.07    0.793    -0.37     0.04
1999eb      NGC0664                      0.156    -0.09     0.04    0.180     0.19     0.02
2010ji      UGC01230                     0.849    -3.82     9.00    0.848    -2.95     9.00
2005jk      A014559+0111                 0.440     7.71     0.33    0.338     8.19     0.22
2005lp      A014742+0012                 1.000     5.84     8.85    0.405     3.73     9.27
1996bo      NGC0673                      0.024     0.55     0.26    0.036     0.56     0.10
2001fa      NGC0673                      0.158    -0.06     0.22    0.195     0.22     0.11
2007st      NGC0692                      0.010     0.16     0.23    0.016     0.01     0.06
2010aa      NGC0692                      0.104    -0.30     0.12    0.135    -0.22     0.04
2007rv      NGC0689                      0.719     1.51     0.21    0.701     1.77     0.10
1983R       IC1731                       0.219     7.46     3.24    0.316     1.70     9.00
2005W       NGC0691                      0.510     1.65     1.57    0.548     0.48     0.42
2010ig      UGC01306                     0.581    -3.08     9.00    0.589     3.92     2.27
2006je      IC1735                       1.000    -7.59    10.15    0.997    -1.75     1.79
2004fc      NGC0701                      0.016     2.12     0.09    0.019     1.95     0.03
2006ob      UGC01333                     0.034     0.71     0.30    0.048     0.88     0.12
2001ed      NGC0706                      0.490    -1.06     0.04    0.543    -0.78     0.02
2002eo      NGC0710                      0.254     0.52     0.12    0.307     0.92     0.05
2005cj      ESO114-014                   0.384     0.27     0.66    0.436     1.45     0.39
2001dm      NGC0749                      0.230     2.13     0.34    0.282     2.24     0.13
1972L       NGC0735                      0.494     1.70     1.01    0.515     1.34     0.43
2000dj      NGC0735                      0.599     1.86     1.29    0.623     0.69     0.35
2006ei      NGC0735                      0.083    -0.19     0.45    0.088    -0.32     0.19
2005hc      MCG+00-06-003                0.429    -0.25     0.13    0.453     0.27     0.07
1988ab      NGC0762                      0.944     0.13     0.49    0.940     0.52     0.26
2011eb      NGC0782                      0.618     0.93     0.28    0.650     1.90     0.21
1954E       NGC0753                      0.639    -1.14     0.35    0.689    -0.79     0.18
2005lj      A015743-0010                 0.013     2.82     9.00    0.020     3.33     9.00
2013hs      UGC01461                     0.692     0.82     0.77    0.530     0.79     0.34
2003hl      NGC0772                      0.076     0.03     0.11    0.102     0.50     0.05
2003iq      NGC0772                      0.278    -0.20     0.14    0.319    -1.19     0.04
2006ee      NGC0774                      0.787    -0.47     9.00    0.479     0.38     9.00
2007si      A015951+0112                 0.413     3.75     1.55    0.141     5.68     0.84
1999di      NGC0776                      0.344    -0.53     0.25    0.396    -0.36     0.13
2010ha      IC1764                       0.481     6.09     4.10    0.506    12.19    34.74
1998dj      NGC0788                      0.369     1.25     1.07    0.312     0.69     0.09
2004fz      NGC0783                      0.153     0.87     0.11    0.196     0.87     0.05
1995av      A020136+0338                 0.126    -4.95     9.42   -9.000   -20.41    41.01
2004dt      NGC0799                      0.215     0.78     0.23    0.223     0.45     0.07
2004ad      NGC0789                      0.148     1.88     0.60    0.214     0.70     0.12
2010E       ESO013-028                   0.365     0.50     0.75    0.420     0.88     0.42
2009af      UGC01551                     0.109     0.42     0.14    0.121     0.54     0.07
2004ds      NGC0808                      0.115     0.05     0.21    0.140     0.52     0.10
2005gt      A020403-0021                 0.599    -4.93     9.33    1.000    -6.33     9.20
2006ef      NGC0809                      0.787    -0.38     0.22    0.731     0.81     0.13
2005fs      A020452-0019                 0.145     1.27     9.00    0.106     0.91     9.00
2004ew      ESO153-017                   0.173     0.00     0.30    0.211     0.27     0.16
SDSS7017    A020527-0029                 0.752     8.82     2.16    0.430     6.42     0.67
2004ee      ESO298-007                   0.127     0.99     0.52    0.144     1.29     0.27
2010jj      NGC0812                      0.166     0.40     0.25    0.187     0.55     0.11
2002ea      NGC0820                      0.178    -0.06     0.07    0.220     0.16     0.03
2003G       IC0208                       0.105     0.49     0.40    0.129     1.16     0.23
2007hb      NGC0819                      0.870    -0.62     0.22    0.856    -0.17     0.11
2003em      ESO478-006                   0.000    97.34    75.48   -9.000  -176.28     9.31
2009le      ESO478-006                   0.000    97.87    75.87   -9.000  -176.94     9.31
2007qd      A020933-0100                 0.015     4.23     0.15    0.013     4.37     0.08
2005H       NGC0838                      0.289     1.37     0.07    0.252     1.38     0.02
2005jp      A020950-0003                 0.373     5.45     2.17    1.000    -0.66     9.00
2001ds      UGC01654                     0.134     0.22     0.50    0.084     0.45     0.31
2000ek      ESO153-027                   1.000     4.75     8.31    1.000    -2.51     1.88
1999dh      IC0211                       0.403    -1.04     0.22    0.419    -0.85     0.11
2003ja      NGC0846                      0.293     1.72     0.48    0.298     1.33     0.16
2009fu      NGC0846                      0.844     0.97     0.93    0.847    -1.36     9.00
2004gv      NGC0856                      0.149    -0.18     0.06    0.186     0.15     0.03
2005ml      A021404-0014                 0.317     5.47     0.33    0.903    12.66     6.05
2013et      UGC01723                     0.168     0.87     0.22    0.148     0.58     0.09
1989ae      UGC01722                     0.068     0.36     0.70    0.031     0.09     0.27
2006ot      ESO544-031                   0.164     0.51     1.04    0.280     1.93     0.55
2014cl      IC0217                       0.975    -3.55     0.50    0.972    -3.82     0.27
2005ey      A021705+0016                 0.415     8.02     0.76    0.403     7.28     0.37
2005jd      A021706+0032                 0.262     6.32     1.95    0.190     2.21     9.00
2003io      UGC01761                     0.295    -0.17     0.10    0.307     0.05     0.06
2008il      ESO355-004                   0.920    -0.25     0.35    0.916    -0.38     0.16
2000D       UGC01767                     0.241     0.71     0.24    0.227     1.31     0.14
2010kq      UGC01769                     0.067     0.97     0.27    0.077     1.00     0.11
2005ge      A021814+0047                 0.123     6.63     1.51    0.387     9.93     1.42
2000G       UGC01773                     0.082    -0.05     0.32    0.075     0.27     0.13
2002hu      MCG+06-06-012                0.881     0.77     1.13    0.893    -0.03     0.45
