# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
1969C       NGC3811                      0.041     0.87     0.69    0.115     1.48     0.32
1971K       NGC3811                      0.748     1.48     0.54    0.995     2.06     0.36
2009U       NGC3831                      1.000    -1.20     1.03    0.602    -0.69     0.18
1968F       NGC3834                      0.158    -2.83    12.25    0.419    -0.66     9.00
2011ho      NGC3847                      1.000    -1.93     2.77    0.815    -2.67     9.00
2003lp      UGC06711                     0.566     0.52     0.22    0.548     0.33     0.07
2011ib      UGC06716                     0.545    -1.66     9.00    0.590     1.20     0.25
2001D       IC0728                       0.848    -0.04     0.16    0.816    -0.30     0.06
2014U       NGC3859                      0.217     0.16     0.12    0.238     0.27     0.04
2014aa      NGC3861                      0.006     0.04     0.14    0.012     0.23     0.05
2013L       ESO216-039                   0.802     1.34     1.21    0.707     1.14     0.54
2007ci      NGC3873                      0.198    -0.94     9.00    0.374     0.48     9.00
1998S       NGC3877                      0.917    -1.37     0.52    0.937    -1.63     0.21
2006or      NGC3891                      0.200     0.65     0.33    0.259     0.65     0.13
2010dv      NGC3903                      0.021     0.25     0.28    0.026     0.40     0.12
2001E       NGC3905                      0.361     1.56     0.50    0.417     1.34     0.16
2009ds      NGC3905                      0.109     2.01     0.57    0.122     1.11     0.14
2014V       NGC3905                      0.361     0.34     0.30    0.418     0.12     0.09
1971C       NGC3904                      1.000    -6.83    16.21    1.000    -4.25     9.11
2007bg      A114926+5149                 0.069     3.30     1.13    0.278     4.63     9.01
2008dp      ESO320-026                   0.194    -0.84     0.23    0.192     0.05     0.14
2013hl      NGC3910                      0.865    -0.43     1.01    0.628    -1.12     9.00
2004az      UGC06853                     0.590    -1.88     1.75    0.633    -6.90     9.74
1961U       NGC3938                      0.878    -0.37     0.25    0.891    -2.17     0.01
1964L       NGC3938                      0.100     1.32     0.26    0.130     0.25     0.01
2005ay      NGC3938                      0.350     1.41     0.29    0.384    -0.57     0.01
1972C       NGC3947                      0.552     1.50     0.58    0.589     0.92     0.07
2001P       NGC3947                      0.340     1.14     0.35    0.377     1.05     0.06
2006aa      NGC3947                      0.135    -0.50     0.23    0.177     0.14     0.04
2013G       NGC3947                      0.147    -0.65     0.21    0.190    -0.19     0.03
2000db      NGC3949                      0.000     0.87     0.18    0.001     1.00     0.08
1991A       IC2973                       0.772    -1.14     0.25    0.851    -0.71     0.15
2011ao      IC2973                       0.324     0.67     0.39    0.361     0.68     0.18
1967D       PGC037345                    0.518     0.41     0.32    0.554     1.02     0.20
1997ei      NGC3963                      0.042    -0.26     0.31    0.069     1.68     0.09
2003cq      NGC3978                      0.809     0.14     0.65    0.829     1.02     9.00
2008I       NGC3978                      0.185    -0.13     0.25    0.230     3.80     0.13
2004D       UGC06916                     0.556    -1.13     0.19    0.535    -0.71     0.10
2010W       ESO320-035                   0.442    -0.95     9.00    0.475     3.29     0.56
1999bn      A115700-1126                 0.000    -6.30     9.62    1.000     4.27    25.55
2001V       NGC3987                      0.188     0.12     1.28    0.232    -2.31     9.00
2003dg      UGC06934                     0.011     0.54     0.13    0.013     0.56     0.06
1988ac      NGC3995                      0.614     0.16     0.12    0.626     0.01     0.05
2000ez      NGC3995                      0.372     1.75     0.15    0.375     1.07     0.05
2014ad      PGC037625                    0.090    -0.43     0.20    0.102    -0.19     0.06
2004aw      NGC3997                      0.879    -1.08     0.43    0.868    -0.85     0.18
2002hm      NGC4016                      0.385    -0.43     0.03    0.375    -0.10     0.02
1989Z       NGC4013                      0.035     1.62     0.13    0.024     0.44     0.04
2006st      NGC4017                      0.863    -3.06     0.15    0.938    -3.00     0.10
2007an      NGC4017                      0.449    -0.60     0.07    0.507    -0.24     0.04
2007aa      NGC4030                      0.830    -0.66     0.06    0.872    -0.31     0.03
1999an      IC0755                       0.052     0.41     0.14    0.041     0.42     0.08
2007gi      NGC4036                      1.000    -1.09     0.31    0.418    -0.20     0.08
1974E       NGC4038                      1.000    -1.08     0.17    0.886    -0.65     0.08
2004gt      NGC4038                      0.848    -4.14     0.02    0.689    -3.45     0.01
2007sr      NGC4038                      0.000     5.86     0.74    0.000     4.28     9.00
2013dk      NGC4038                      0.000     0.03     0.09    0.000     1.37     0.04
1921A       NGC4039                      0.076     2.08     0.16    0.084     2.40     0.08
1994W       NGC4041                      0.182     0.81     0.06    0.275     1.41     0.02
2001cf      UGC07020                     0.762     1.84     1.50    0.772     3.59     1.69
2006C       UGC07020                     0.838    -1.62     0.32    0.839    -0.84     0.23
1985B       NGC4045                      0.375     1.40     9.00    0.439     4.08     0.18
1983I       NGC4051                      0.381    -0.34     0.17    0.425     0.13     0.09
2003ie      NGC4051                      0.800     0.91     0.40    0.802     1.39     0.23
2010br      NGC4051                      0.114     1.42     0.47    0.152     2.23     0.27
2008bf      NGC4055                      0.957    -7.38     9.65    0.712    -1.53     0.68
1999bg      IC0758                       0.679    -1.94     0.05    0.682    -1.66     0.03
2007M       NGC4076                      0.997    -8.41    15.25    1.000    -6.38     9.52
2011bc      NGC4076                      0.127     0.29     0.44    0.198     0.80     0.20
1991G       NGC4088                      0.663     0.60     0.08    0.709     0.99     0.04
2009dd      NGC4088                      0.003     0.08     0.05    0.004     0.78     0.02
1960H       NGC4096                      0.961     1.95     0.78    0.950     2.56     0.40
2014bi      NGC4096                      0.169     1.54     0.15    0.187     1.47     0.06
1975E       NGC4102                      0.278    -1.09     0.05    0.343    -0.91     0.01
1954aa      NGC4129                      0.805     2.57     1.02    0.766     2.12     0.36
2002E       NGC4129                      0.007     0.46     0.30    0.007     1.29     0.13
2014cn      NGC4134                      0.472     0.98     0.40    0.516     1.76     0.26
1941C       NGC4136                      0.691     1.12     0.12    0.712     1.22     0.06
2008X       NGC4141                      0.067     0.64     0.24    0.084     0.48     0.07
2009E       NGC4141                      0.444     0.27     0.20    0.485    -0.04     0.06
1963D       NGC4146                      0.694     2.67     1.65    0.742     4.09     1.33
2014D       UGC07170                     0.214    -0.24     0.09    0.231    -0.10     0.04
2009hq      NGC4152                      0.525    -0.05     0.20    0.581    -0.30     0.03
1937A       NGC4157                      0.082     0.75     0.13    0.134     1.14     0.05
1955A       NGC4157                      0.392     2.92     0.26    0.458     2.36     0.08
2003J       NGC4157                      0.137     1.31     0.14    0.199     1.13     0.04
2006dk      NGC4161                      0.250     0.63     0.27    0.272     0.41     0.03
2007gw      NGC4161                      0.163     0.03     0.22    0.183     0.34     0.03
1965G       NGC4162                      0.601     0.17     0.26    0.632     0.18     0.07
2001hg      NGC4162                      0.579    -0.35     0.21    0.612    -0.10     0.06
1971G       NGC4165                      0.746     1.46     0.31    0.766     0.99     0.06
2006az      NGC4172                      0.175     0.95     0.67    0.223     0.64     0.24
1963I       NGC4178                      0.059     0.59     0.09    0.067     1.56     0.04
2003M       UGC07224                     1.000    -0.87     1.60    1.000    -5.63     9.80
1982C       NGC4185                      0.676     0.08     9.00    0.710     0.57     9.00
2007sw      UGC07228                     0.018     0.52     0.05    0.021     0.60     0.02
2012bh      UGC07228                     0.001     4.15     0.18    0.001     4.93     0.09
1966E       NGC4189                      0.937     1.93     9.00    0.924     2.62     9.00
2006an      A121438+1213                 1.000     2.99     1.85    0.016    -1.68     3.42
1954A       NGC4214                      0.935    -1.32     0.04    0.948    -1.53     0.02
2000cv      PGC039222                    0.846     2.22     0.80    0.794     1.76     0.14
1983O       NGC4220                      0.264     1.14     0.04    0.256     1.39     0.02
2008bn      NGC4226                      0.883    -2.32     0.03    0.845    -1.90     0.01
2002bu?     NGC4242                      0.926     1.20     9.00    0.908     1.60     9.00
1963G       IC3112                       0.949     1.04     1.15    0.880     1.17     0.46
1975C       NGC4246                      0.994    -0.05     0.14    0.995    -0.36     0.06
1967H       NGC4254                      0.543    -0.41     0.02    0.612     0.08     0.01
1972Q       NGC4254                      0.649    -0.88     0.02    0.712    -0.48     0.01
1986I       NGC4254                      0.151    -0.88     0.01    0.218    -0.37     0.00
2014L       NGC4254                      0.052     0.35     0.02    0.086     0.63     0.00
1981K       NGC4258                      0.425     0.81     0.02    0.460     0.90     0.01
2014bc      NGC4258                      0.001     3.95     0.01    0.001     3.66     0.01
2006cp      UGC07357                     0.576     0.19     0.70    0.575     1.46     0.57
2001A       NGC4261                      0.345     4.79     0.15    0.194     4.19     9.00
1998cj      NGC4263                      0.367     1.93     0.36    0.452     1.47     0.11
1999ev      NGC4274                      0.706     0.25     0.22    0.751     1.29     0.12
1936A       NGC4273                      0.590     0.11     0.06    0.619     0.76     0.02
2008N       NGC4273                      0.286     0.91     0.06    0.312     1.56     0.02
2010bs      UGC07416                     0.734     0.32     0.61    0.738     1.09     0.37
1986E       NGC4302                      0.741     1.22     0.16    0.632     1.15     0.03
1926A       NGC4303                      0.527     0.39     0.07    0.582     2.38     0.03
1961I       NGC4303                      0.683    -1.28     0.05    0.735     0.77     0.02
1964F       NGC4303                      0.061     0.03     0.06    0.084     2.12     0.02
1999gn      NGC4303                      0.283    -0.31     0.03    0.327     1.65     0.01
2006ov      NGC4303                      0.296    -0.36     0.03    0.340     1.43     0.01
2008in      NGC4303                      0.772    -0.54     0.10    0.820     2.20     0.07
2014dt      NGC4303                      0.100     0.49     0.07    0.133     2.35     0.03
2003bk      NGC4316                      0.118     0.63     0.11    0.146     0.31     0.03
2009an      NGC4332                      0.422    -4.73     9.02    0.577     1.96     0.44
1901B       NGC4321                      0.641     0.92     0.06    0.687     0.78     0.02
1914A       NGC4321                      0.704     1.60     0.09    0.743     1.77     0.04
1959E       NGC4321                      0.358     0.65     0.04    0.417     0.80     0.02
1979C       NGC4321                      0.683    -0.43     0.03    0.724    -0.06     0.01
2006X       NGC4321                      0.177     1.28     0.06    0.234     1.37     0.02
1955E       NGC4335                      0.185    -1.62     1.06    0.135     1.36     0.17
1977A       NGC4340                      0.811    -5.76     9.02    0.747    -1.34     9.00
1996B       NGC4357                      0.688     1.06     0.10    0.682     1.26     0.05
1996ac      PGC040346                    0.344     1.67     0.34    0.328     2.16     0.16
2005kl      NGC4369                      0.434     0.49     0.02    0.386     0.99     0.01
2008ar      IC3284                       0.170    -0.61     0.47    0.237     0.62     0.06
1960J       NGC4375                      1.000    -6.28     9.03    0.982    -4.27     9.01
1957B       NGC4374                      0.496     0.03     9.00    0.422     2.23     9.00
1980I       NGC4374                      1.000    -6.27     9.13    1.000    -3.83     9.00
1991bg      NGC4374                      0.545    -0.38     9.00    0.474     1.86     9.00
2000de      NGC4384                      0.302     1.12     0.15    0.269     0.84     0.06
1960R       NGC4382                      0.723    -2.79     9.01    0.701    -0.45     9.00
2004gk      IC3311                       0.261     0.82     0.07    0.236     0.84     0.01
1976B       NGC4402                      0.728     0.34     0.10    0.628     0.58     0.02
1974G       NGC4414                      0.585    -0.49     0.08    0.668    -0.10     0.01
2013df      NGC4414                      0.588    -0.60     0.07    0.670    -0.15     0.01
1965A       NGC4410B                     0.683     0.67     9.00    0.623     1.61     9.00
1992ad      NGC4411B                     0.458    -0.17     0.06    0.463     0.13     0.03
1984A       NGC4419                      1.000    -4.74     1.15    1.000    -5.36     0.82
2012cc      NGC4419                      0.081     0.70     0.08    0.093     1.28     0.02
1895A       NGC4424                      1.000    -1.92     9.00    0.863     4.76     0.53
2012cg      NGC4424                      0.818     2.03     0.08    0.417     1.42     0.02
2008ce      NGC4428                      0.365     0.12     0.15    0.382     0.09     0.05
2010bk      NGC4433                      0.084     0.26     0.15    0.083     0.56     0.06
1995S       NGC4456                      0.501     0.28     0.36    0.582     0.39     0.12
2005an      ESO506-011                   0.099     0.25     0.77    0.259     1.44     0.45
2008am      A122836+1534                 0.781     2.20     0.14    0.794     2.67     0.09
1985G       NGC4451                      0.165    -0.16     0.03    0.163     0.16     0.01
1966F       NGC4453                      0.509     5.02     0.50    0.432     2.94     0.05
1998bn      NGC4462                      0.402     0.97     1.29    1.000    -0.10     0.24
1982F       NGC4490                      0.190     0.93     0.04    0.221     0.89     0.01
2008ax      NGC4490                      0.326     1.04     0.04    0.369     0.79     0.01
1919A       NGC4486                      0.680    -0.18     9.00    0.473     1.78     9.00
2009N       NGC4487                      0.766    -1.11     0.05    0.781    -0.90     0.01
1994M       NGC4493                      0.551    -2.41     9.53    0.499    -0.12     9.02
2004br      NGC4493                      0.308     1.55     9.01    0.131     2.27     9.00
1994S       NGC4495                      0.549     1.30     0.18    0.548     1.38     0.08
2010lo      NGC4495                      0.898    -0.06     0.35    0.892     0.19     0.17
2011ca      NGC4495                      0.661    -0.60     0.11    0.662    -0.07     0.06
1960F       NGC4496A                     0.352     2.32     9.00    0.368     3.30     0.06
1988M       NGC4496B                     0.034     0.12     0.26    0.043     0.15     0.03
1999cl      NGC4501                      0.278     4.92     0.47    0.356     2.18     0.04
1970A       IC3476                       0.686     1.03     0.14    0.658    -0.75     0.02
1999gq      NGC4523                      0.516     0.10     0.48    0.512     0.24     0.05
2000bk      NGC4520                      0.682    -5.46     9.04    0.826    -4.89     9.03
1969E       NGC4526                      0.347     6.41     1.47    0.302     2.70     9.00
1994D       NGC4526                      0.147     3.16     0.13    0.120     4.15     0.05
1915A       NGC4527                      0.377     3.53     0.68    0.424     1.02     0.06
1991T       NGC4527                      0.571     5.26     1.94    0.606     1.14     0.09
2004gn      NGC4527                      0.145     2.07     0.47    0.213     0.12     0.05
1981B       NGC4536                      0.592     0.37     0.18    0.623     0.91     0.07
1940D       NGC4545                      0.195    -1.63     0.04    0.237    -1.14     0.01
1955R?      UGC07740                     0.587     1.06     0.25    0.560     0.81     0.10
2007gq      NGC4541                      0.246     0.44     0.06    0.270     1.00     0.02
1941A       NGC4559                      0.186    -0.51     0.04    0.215    -0.05     0.02
1961H       NGC4564                      0.281     0.96     0.04    0.124     1.10     0.01
1990B       NGC4568                      0.024     1.87     0.17    0.051     0.95     0.02
2004cc      NGC4568                      0.022     1.05     0.12    0.046     0.50     0.01
2005cz      NGC4589                      0.231     1.16     0.22    0.185     1.00     0.05
1988A       NGC4579                      0.394     1.02     0.08    0.413     0.77     0.01
1989M       NGC4579                      0.377     0.17     0.05    0.398    -0.20     0.01
2008aa      UGC07799                     0.912    -5.68     1.66    1.000    -5.62     1.38
2011F       UGC07799                     0.187    -0.35     0.32    0.271     0.09     0.18
2007be      UGC07800                     0.517     0.11     9.00    0.521     1.31     9.00
2003ej      UGC07820                     0.572     1.08     0.46    0.929     0.62     0.18
2005ab      NGC4617                      0.263     0.02     0.28    0.303    -0.28     0.11
2007ss      NGC4617                      0.020     0.08     0.44    0.037     0.01     0.14
1985F       NGC4618                      0.075    -1.26     0.02    0.081    -0.81     0.01
1987F       NGC4615                      0.465     0.13     0.05    0.466    -0.36     0.02
2006ac      NGC4619                      0.633     0.42     0.26    0.646     0.57     0.13
1939B       NGC4621                      0.606     1.59     0.36    0.547     2.10     0.10
2007cp      IC0807                       0.206     0.20     0.50    0.228     0.23     0.10
2012cr      NGC4626                      0.987    -2.52     0.39    0.980    -2.56     0.17
1946B       NGC4632                      0.084     4.01     0.16    0.081     4.88     0.10
2001jx      NGC4622                      1.000    -6.56     9.19    1.000    -5.84     9.17
1939A       NGC4636                      0.295     0.61     0.65    0.209     0.66     0.09
1990N       NGC4639                      0.802     0.73     0.83    0.838     0.77     0.06
2003ez      PGC042782                    0.119     0.74     0.50    0.131     0.58     0.20
1979A       NGC4647                      0.913     1.47     0.21    0.900     1.27     0.05
2004W       NGC4649                      0.733    -1.07     9.00    0.669     0.35     9.00
1987K       NGC4651                      0.241    -0.62     0.03    0.280    -0.33     0.02
2006my      NGC4651                      0.407    -0.61     0.06    0.454    -0.06     0.03
2009et      IC3704                       0.145     0.67     0.09    0.197     0.54     0.03
1999gk      NGC4653                      0.507    -1.32     0.03    0.533    -1.17     0.02
2009ik      NGC4653                      0.835     0.63     0.12    0.847     0.58     0.06
1990I       NGC4650A                     0.660     1.47     0.86    0.640     2.89     0.71
1999bm      A124500-0627                 0.266     2.03     9.00    0.972     2.35     9.00
1965H       NGC4666                      1.000    -0.74     0.04    1.000    -0.71     0.02
2006S       UGC07934                     0.608     1.40     0.46    0.483     2.47     0.39
1907A       NGC4674                      1.000    -4.39     0.67    1.000    -6.00     2.42
2006tf      A124615+1125                 0.917     4.27     9.30    0.645     3.49     9.00
2004gu      FGC0175A                     0.133     0.42     0.34    0.106     1.15     0.24
1997bp      NGC4680                      0.859     1.63     0.73    0.835     1.88     0.24
2006su      IC3772                       0.784    -0.36     0.10    0.762    -0.01     0.05
2007ft      NGC4677                      0.038    -5.02     9.02    1.000    -4.68     9.05
2011jh      NGC4682                      0.477    -0.29     0.39    0.489     0.11     0.12
2012hv      NGC4681                      0.722     0.36     0.39    0.755     0.72     0.19
2004Q       ESO507-011                   0.372    -1.29     9.00    0.456     1.79     0.20
1966B       NGC4688                      0.426    -0.48     0.22    0.427    -0.56     0.03
1997X       NGC4691                      0.392     1.19     0.01    0.313     0.88     0.00
1998ab      NGC4704                      0.371     0.70     0.37    0.345     1.04     0.11
1948A       NGC4699                      0.417    -1.17     9.00    0.525     1.97     0.17
1983K       NGC4699                      1.000    -4.92     9.01    1.000    -4.24     9.01
2003ef      NGC4708                      0.398     0.19     0.33    0.465     0.05     0.09
2005bo      NGC4708                      0.280     0.35     0.36    0.335     0.15     0.10
1940B       NGC4725                      0.571     0.64     0.11    0.602     1.19     0.06
1969H       NGC4725                      0.012     3.35     0.74    0.023     3.21     0.18
1999gs      NGC4725                      0.294     2.62     0.30    0.342     3.13     0.14
1981F       NGC4716                      0.600    -2.96     9.02    0.612    -0.67     9.00
1965B       NGC4727                      0.152     1.58     0.41    0.165     1.51     0.07
2003eg      NGC4727                      0.385     1.39     0.36    0.428     1.41     0.06
1965I       NGC4753                      0.569    -4.59     9.01    0.607    -3.37     9.00
1983G       NGC4753                      0.168     0.83     0.49    0.219     0.62     0.09
1983A       ESO323-025                   0.737    -0.03     0.62    0.810    -0.00     0.25
2006co      ESO323-025                   0.448     1.52     0.47    0.497     1.00     0.17
2008ib      ESO323-025                   0.574    -0.93     0.22    0.626    -0.95     0.09
1988E       NGC4772                      0.150    -0.12     9.00    0.152     1.11     9.00
2012cu      NGC4772                      0.222     1.77     0.28    0.199     0.94     9.00
2002cf      NGC4786                      0.720    -4.14     9.01    0.421    -0.25     9.00
1956B       NGC4783                      0.840    -1.25     0.42    0.845    -2.05     0.06
2011jm      NGC4809                      0.046     0.93     0.02    0.036     1.00     0.01
2012au      NGC4790                      0.083     0.98     0.03    0.075     0.67     0.01
2008ay      UGC08050                     0.195     0.15     0.36    0.209     0.85     0.16
2001cg      IC3900                       0.520     2.23     0.06    0.342     1.93     0.02
2011fh      NGC4806                      0.670    -0.68     0.15    0.703    -0.53     0.03
2007bz      IC3918                       0.012     1.81     0.07    0.014     2.00     0.02
2011bm      IC3918                       0.402     0.40     0.05    0.397     0.42     0.01
2011jn      PGC044257                    0.687    -5.93     9.25    1.000    -3.86     9.01
2005bb      UGC08067                     0.363     0.07     0.29    0.355    -0.39     0.12
2008ig      ESO269-020                   1.000    -1.13     2.07    0.991    -5.78     9.63
1958C       ESO443-018                   0.959    -0.18     1.23    0.937    -0.07     0.47
1968H       PGC044441                    0.156     1.34     0.11    0.158     1.61     0.05
1989F       UGC08084                     0.003     4.26     0.73    0.003     3.22     0.07
2009L       NGC4854                      0.994     1.55     0.14    0.876     1.29     0.04
2006bf      UGC08093                     0.360     1.10     0.45    0.459     2.36     0.33
2006cj      A125924+2820                 0.426     0.87     0.25    0.297     0.47     0.07
1968B       NGC4874                      0.195     1.56     0.13    0.159     2.16     0.06
1981G       NGC4874                      0.282     0.64     0.13    0.241     1.71     0.07
2009au      ESO443-021                   0.014     1.57     1.03    0.020     3.07     0.57
2010cp      NGC4877                      0.231     0.13     0.51    0.291     1.00     0.15
2003cb      NGC4885                      0.623    -0.14     0.15    0.580     0.14     0.08
1999br      NGC4900                      0.826    -0.46     0.05    0.837    -0.17     0.02
1964D       NGC4887                      0.864    -0.65     0.44    0.912     0.13     0.12
2006bz      PGC044809                    0.700     0.79     0.24    0.591     2.13     0.10
1950A       IC4051                       0.485     1.86     0.17    0.363     2.28     0.07
1991X       NGC4902                      0.026     0.24     0.45    0.042     0.90     0.14
2011A       NGC4902                      0.672     0.78     0.47    0.714     1.71     0.20
2005ap      A130114+2743                 0.638     2.69     9.00    0.563     3.69     9.00
1959B       NGC4921                      0.872    -0.68     0.09    0.827    -0.04     0.04
1999fz      UGC08164                     0.032     0.51     0.14    0.043     0.57     0.06
2001dr      NGC4932                      0.184     0.44     0.27    0.203     0.92     0.11
2007F       UGC08162                     0.365     0.86     0.27    0.374     0.82     0.09
1973F       NGC4944                      0.751     0.69     0.45    0.659     1.00     0.10
1973J       NGC4939                      0.161     0.44     0.08    0.198     0.43     0.03
2008aw      NGC4939                      0.358    -1.09     0.04    0.404    -1.18     0.02
2014B       NGC4939                      0.744     0.37     0.12    0.777     0.59     0.06
1994U       NGC4948                      0.004    -0.92     0.13    0.004    -0.57     0.04
2012bm      UGC08189                     1.000    -4.22     1.45    1.000    -3.77     0.30
2005az      NGC4961                      0.245    -0.25     0.03    0.272    -0.26     0.01
1937C       IC4182                       0.218     0.91     0.13    0.208     1.07     0.07
2005mb      NGC4963                      1.000    -2.10     9.00    1.000     1.42     0.37
2000P       NGC4965                      0.257     1.16     0.53    0.266     0.77     0.14
2005bt      UGC08205                     0.086     0.38     0.22    0.117     0.27     0.04
2006cr      UGC08205                     0.003     0.93     0.32    0.006     1.83     0.06
1994A       UGC08214                     0.319     0.35     0.46    0.386     1.67     0.22
2003cn      IC0849                       0.789     1.06     0.46    0.812     0.83     0.17
1956D       IC0850                       1.000    -6.15     7.11    1.000    -4.65     0.25
2013er      IC0850                       1.000    -4.58     0.60    0.992    -4.63     0.27
1968I       NGC4981                      0.015     0.73     0.43    0.023     1.45     0.12
2007C       NGC4981                      0.247    -0.05     0.27    0.295     0.10     0.07
2011iy      NGC4984                      0.625     2.03     1.35    0.744     2.01     0.25
2006ck      UGC08238                     0.240     0.34     0.08    0.266     0.36     0.03
2003el      NGC5000                      0.234     1.56     0.11    0.281     1.07     0.03
1992K       ESO269-057                   0.024    -1.18     0.43    0.045    -0.44     0.21
2013T       UGC08250                     0.993    -2.20     1.03    1.000    -1.65     0.48
2013bc      IC4209                       0.988    -2.17     0.24    0.981    -2.26     0.07
1996ai      NGC5005                      0.148     0.92     0.61    0.180     0.84     0.21
2009nr      UGC08255                     1.000    -6.83     9.07    1.000    -1.80     0.62
2012dh      ESO443-080                   0.057     0.47     0.29    0.057    -0.22     0.08
1997eg      NGC5012                      0.270     0.92     0.27    0.330     1.15     0.13
1996ak      NGC5021                      0.923    -2.92     0.10    0.921    -2.54     0.04
1991J       NGC5020                      0.756    -0.34     0.42    0.809    -0.33     0.21
2002dj      NGC5018                      0.024     0.22     0.22    0.095     0.73     0.03
1950C       NGC5033                      1.000    -8.33    11.21    1.000    -6.26     9.12
1985L       NGC5033                      0.158    -0.54     0.21    0.240    -0.27     0.12
2001gd      NGC5033                      0.542    -0.61     0.28    0.602    -0.61     0.14
1956K       PGC045982                    1.000    -9.22     9.16    1.000   -30.84    66.96
2009ev      NGC5026                      1.000    -4.59     9.02    0.695    -1.76     9.00
1984I       ESO323-099                   0.553     0.32     0.20    0.592     1.00     0.12
2008cd      NGC5038                      0.889    -2.79     0.15    0.880    -2.41     0.04
2013cs      ESO576-017                   0.585    -0.42     0.54    0.605     0.54     0.39
1971I       NGC5055                      0.827     1.12     0.26    0.852     1.61     0.14
2005au      NGC5056                      0.364     0.45     0.15    0.361     0.69     0.09
2004E       PGC046239                    0.991    -6.17     9.08    0.990    -0.19     0.68
2004ab      NGC5054                      0.050     2.53     0.25    0.079     2.21     0.07
2014A       NGC5054                      0.082    -1.36     0.08    0.125    -0.64     0.04
1956G       PGC091272                    0.156    -0.66     0.46    0.150    -0.38     0.17
2001F       IC0867                       0.057     1.76     0.88    0.093     2.43     0.48
1996X       NGC5061                      0.855     0.56     2.52    0.666     0.54     0.38
2005cn      NGC5061                      0.898    -8.28    19.72    0.899    -4.00     9.00
2003bj      IC4219                       0.514     0.52     0.08    0.520     0.33     0.02
2002bs      IC4221                       0.011     1.32     0.26    0.008     0.84     0.12
2007bi      A131920+0855                 0.023     2.29     9.13    1.000     5.36     9.24
1999cz      NGC5078                      0.001    -0.08     9.02    0.001     3.14     0.29
1999cr      ESO576-034                   0.981    -2.06     0.72    0.993    -3.53     0.32
1997br      ESO576-040                   1.000    -3.65     3.85    1.000    -4.79     7.02
2003am      ESO576-040                   0.400     0.67     0.43    0.379     1.01     0.22
1994T       PGC046640                    1.000    -4.71     9.16    0.705    -2.72     9.01
2007kc      UGC08400                     0.376     1.26     0.33    0.362     1.50     0.18
2001cj      UGC08399                     1.000    -3.51     9.00    1.000     0.69     0.30
1986B       NGC5101                      0.293    -2.41     9.00    0.419    -1.55     9.00
2007W       NGC5105                      1.000    -0.23     0.39    1.000     0.53     0.28
2001ae      IC4229                       0.732    -1.64     0.05    0.733    -1.68     0.02
2002I       IC4229                       0.327     0.54     0.12    0.387     0.63     0.05
2008dz      NGC5123                      0.572     0.42     0.30    0.634     0.80     0.16
1991U       IC4232                       0.039     0.58     0.51    0.035     0.84     0.17
1991bi      NGC5127                      0.692     1.39     0.34    0.065     0.97     0.08
1997co      NGC5125                      0.283     0.19     0.33    0.331     0.18     0.16
1992ag      ESO508-067                   0.001    -0.19     0.62    0.003     1.18     0.19
2006cq      IC4239                       0.380     0.47     0.22    0.439     0.49     0.10
1962H       IC4237                       0.288     0.36     0.30    0.306     0.08     0.11
1990ak?     PGC097745                    0.000    -4.52     9.06    0.173    -1.92     9.00
1986G       NGC5128                      0.986    -0.78     0.04    0.613     0.18     0.02
2007cg      ESO508-075                   0.382     0.45     0.62    0.634     1.63     0.29
2004bo      ESO576-054                   1.000    -7.20    11.70    0.468    -9.34    99.02
2006by      NGC5149                      0.036     0.25     0.05    0.051     0.35     0.02
2009bs      NGC5163                      1.000    -6.36     9.17    1.000     2.17     2.29
1995L       NGC5157                      0.060     0.56     1.02    0.150     0.74     0.39
2006M       PGC047137                    0.028     2.84     0.23    0.023     2.62     0.13
1997by      IC4252                       0.003     0.57     9.01    0.006     5.43     1.02
2004co      PGC2187969                   0.139    -2.15     9.04    0.365     3.59     9.00
1974B       NGC5161                      0.746    -2.06     9.00    0.781     1.88     0.35
1998E       NGC5161                      0.011     1.09     0.59    0.018     2.37     0.25
1998cc      NGC5172                      0.000     1.29     0.10    0.000     2.50     0.04
2001R       NGC5172                      0.813    -1.08     0.07    0.839    -0.69     0.04
2007cd      NGC5174                      0.086    -0.42     0.13    0.125    -0.01     0.06
1994I       NGC5194                      0.022     0.34     0.01    0.036     0.52     0.00
2005cs      NGC5194                      0.121    -1.25     0.01    0.176    -0.76     0.01
2011dh      NGC5194                      0.756    -0.97     0.02    0.801    -0.83     0.01
1945A       NGC5195                      0.005     0.81     0.11    0.013     0.88     0.02
2006br      NGC5185                      0.078     1.62     1.29    0.095     0.39     0.25
2006dz      NGC5185                      0.968    -5.45     9.06    0.985    -3.58     0.66
2011Z       ESO576-077                   0.271    -3.43     9.03    0.239     2.00     1.01
1993O       A133107-3312                 0.718    -4.84     9.04    0.870    -2.74     9.00
2000J       UGC08510                     0.645     1.12     0.31    0.676     1.59     0.19
2002ca      UGC08521                     0.507     0.63     0.28    0.521     0.31     0.11
2014bb      NGC5214                      0.048     1.25     0.19    0.061     1.52     0.09
2002bi      UGC08527                     0.107    -0.21     0.28    0.109     0.06     0.13
1999cf      UGC08539                     1.000    -4.13     9.01    0.898     2.30     1.32
2005bw      UGC08539                     0.563     0.84     0.39    0.483     0.23     0.14
