# Hicken et al. 2009
# Tables 3 and 4: MLCS2K2 Light Curve Fits
#
#SN Ia     Delta    Deltae   A(V)     A(V)e    (B-V)    (B-V)e   mB       mBe      mV       mVe      E(B-V)   E(B-V)e  zCMB     mU       mUe     (U-B)     (U-B)e   E(U-B)   E(U-B)e  Dm15U    Dm15Ue   Dm15B    Dm15Be   Dm15V    Dm15Ve   DtU      DtB      DtV
1995al    -0.2750   0.0490   0.1770   0.0490   0.1300   0.0700  13.3300   0.0500  13.1900   0.0500   0.1041   0.0288   0.0059  12.7200   0.1000  -0.5700   0.1100   0.0739   0.0204   0.8900   0.1700   0.8400   0.0900   0.5600   0.0600   3.9700   3.9800   1.0000
1995bd    -0.3270   0.0490   0.4620   0.1590   0.2700   0.3300  15.2000   0.3300  14.9100   0.2500   0.2718   0.0935   0.0144 -99.9900  -9.9900 -99.9900  -9.9900   0.1930   0.0664 -99.9900  -9.9900   0.9400   0.3400   0.7400   0.2500 -99.9900   5.9700   0.9800
1996X      0.0660   0.0560   0.0310   0.0240  -0.0500   0.0500  12.9800   0.0500  13.0200   0.0400   0.0182   0.0141   0.0078  12.3600   0.0600  -0.4800   0.0600   0.0129   0.0100   1.3700   0.1000   1.2900   0.0600   0.8100   0.0400   0.9900   1.0900   1.0000
1996bo    -0.0350   0.0780   0.6260   0.0710   0.3100   0.0600  15.8300   0.0500  15.5000   0.0400   0.3682   0.0418   0.0163 -99.9900  -9.9900 -99.9900  -9.9900   0.2614   0.0297 -99.9900  -9.9900   1.2300   0.0600   0.7000   0.0700 -99.9900   1.9600   3.9300
1997E      0.3120   0.0860   0.0850   0.0510   0.0300   0.0900  15.1200   0.0800  15.0700   0.0700   0.0500   0.0300   0.0133  14.7700   0.1000  -0.3200   0.1000   0.0355   0.0213   1.6400   0.1100   1.4100   0.0900   0.7900   0.0900   1.0700   1.8600   3.9400
1997bp    -0.2850   0.0560   0.4790   0.0480   0.1000   0.0400  13.9100   0.0300  13.7300   0.0300   0.2818   0.0282   0.0094  13.8100   0.0500  -0.0600   0.0500   0.2001   0.0200 -99.9900  -9.9900   1.1600   0.0600   0.7100   0.0400   1.0000   0.9800   2.0500
1997br    -0.3760   0.0390   0.5490   0.0540   0.1600   0.1300  13.6300   0.1200  13.4200   0.0800   0.3229   0.0318   0.0080  13.0400   0.0900  -0.5400   0.1300   0.2293   0.0226   1.2100   0.1000   1.0800   0.1700   0.6500   0.1200   1.9000   6.7900   5.9600
1997dg    -0.0180   0.0840   0.0920   0.0520  -0.0300   0.0600  16.8500   0.0600  16.8600   0.0400   0.0541   0.0306   0.0297  16.3300   0.3000  -0.4700   0.0800   0.0384   0.0217 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900   9.0000   9.0000   9.0000
1998aq    -0.1220   0.0380   0.0110   0.0110  -0.1200   0.0300  12.3100   0.0200  12.4300   0.0200   0.0065   0.0065   0.0045  11.6200   0.0300  -0.6500   0.0400   0.0046   0.0046   1.2300   0.0500   1.0300   0.0300   0.6600   0.0300   2.0100   1.0300   0.9400
1998bp     1.2540   0.0470   0.0250   0.0200   0.1600   0.0600  15.2800   0.0500  15.0500   0.0400   0.0147   0.0118   0.0102  15.2000   0.0800  -0.0600   0.0800   0.0104   0.0084   2.3600   0.1000   1.9600   0.0800   1.1200   0.0400   2.9800   2.9800   1.0400
1998bu    -0.0660   0.0470   0.6310   0.0400   0.3200   0.0200  12.1200   0.0200  11.7800   0.0200   0.3712   0.0235   0.0040  11.7800   0.0400  -0.2900   0.0400   0.2636   0.0167   1.1600   0.0500   1.0400   0.0300   0.7500   0.0300   0.9100   0.8200   0.8200
1998de     1.5170   0.0420   0.1420   0.0610   0.6000   0.0500  17.3000   0.0500  16.6600   0.0400   0.0835   0.0359   0.0156 -99.9900  -9.9900 -99.9900  -9.9900   0.0593   0.0255 -99.9900  -9.9900   1.9900   0.1200   1.2700   0.0600 -99.9900   0.9800   1.0200
1998es    -0.3300   0.0370   0.2070   0.0420   0.0800   0.0700  13.8300   0.0400  13.7500   0.0700   0.1218   0.0247   0.0096  13.2600   0.0600  -0.5400   0.0600   0.0865   0.0175 -99.9900  -9.9900   0.8100   0.0700   0.5900   0.1400   1.0300   0.8900   7.9900
1999aa    -0.3460   0.0320   0.0250   0.0210  -0.0600   0.0300  14.7200   0.0300  14.7700   0.0200   0.0147   0.0124   0.0153  14.1700   0.0600  -0.5300   0.0600   0.0104   0.0088 -99.9900  -9.9900   0.8000   0.0600   0.5800   0.0300   4.8200   2.0200   0.8600
