# SITEPH_SDSS SITE PHOTOMETRY - Sat Jan  3 16:51:45 2015
# SN           mj  mjerr    mj.5 mjerr    mj1  mjerr    mj2  mjerr    sbj     mh  mherr   mh.5  mherr    mh1  mherr    mh2  mherr    sbh     mk  mkerr   mk.5  mkerr    mk1  mkerr    mk2  mkerr    sbk  host                          snx     sny
2004bn      15.80   1.25  19.15   5.82  17.67   2.94  16.25   1.53  19.28  15.06   1.10  18.42   5.18  16.94   2.62  15.50   1.35  18.54  14.64   1.12  18.12   5.59  16.59   2.77  15.10   1.39  18.12  NGC3441                     225.3   236.1
2004bm      13.52   0.44  14.68   0.74  13.22   0.38  11.82   0.20  17.00  12.78   0.39  13.94   0.66  12.48   0.34  11.06   0.18  16.26  12.45   0.41  13.59   0.70  12.15   0.36  10.75   0.19  15.93  NGC3437                     445.4   441.6
2007sv?     17.21   2.38  17.05   2.21  15.58   1.12  15.00   0.86  20.68  16.82   2.48  16.57   2.22  15.17   1.16  15.54   1.37  20.30  16.21   2.32  16.00   2.11  14.67   1.14  14.12   0.89  19.69  UGC05979                    454.3   444.0
2012bu      16.79   1.96  18.77   4.88  17.28   2.46  15.98   1.35  20.27  16.47   2.11  18.33   4.96  16.91   2.59  15.63   1.43  19.94 -99.00   0.01 -99.00   0.01 -99.00   0.01  16.33   2.46 -99.00  NGC3449                     396.4   407.0
2012ht      17.51   2.73  17.59   2.84  16.24   1.52  15.41   1.04  20.99  17.28   3.07  17.39   3.23  15.67   1.46  14.40   0.81  20.76  16.38   2.51  16.45   2.59  15.30   1.52  14.59   1.10  19.86  NGC3447                     424.5   420.6
2006cf      15.33   1.00  20.20   9.42  18.66   4.63  17.15   2.31  18.81  14.61   0.90  19.43   8.27  17.89   4.05  16.38   2.02  18.09  14.24   0.94  19.04   8.53  17.51   4.22  16.01   2.12  17.72  UGC06015                    197.2   194.4
2012am      16.01   1.37  20.80  12.41  19.25   6.08  17.75   3.05  19.49  15.44   1.31  20.04  10.92  18.52   5.43  17.08   2.80  18.91  15.20   1.46  20.13  14.15  18.60   6.97  17.06   3.43  18.68  UGC06015                    206.7   197.0
1997dn      16.60   1.80  17.03   2.19  15.55   1.11  14.31   0.63  20.08  16.09   1.77  16.51   2.15  14.95   1.05  13.69   0.59  19.56  15.89   2.00  16.29   2.41  14.90   1.27  13.38   0.63  19.36  NGC3451                     324.7   282.6
2009X       14.23   0.60  18.21   3.77  16.75   1.93  15.19   0.94  17.70  13.43   0.52  17.44   3.30  15.98   1.68  14.40   0.82  16.91  13.16   0.57  17.12   3.54  15.66   1.80  14.11   0.88  16.64  UGC06019                    194.2   191.5
2014G       16.95   2.11  17.23   2.40  15.59   1.13  13.94   0.53  20.42  16.48   2.12  16.78   2.43  15.14   1.15  13.53   0.55  19.96  16.05   2.15  16.34   2.47  14.79   1.20  13.38   0.63  19.53  NGC3448                     400.3   332.4
2002J       16.17   1.48  18.54   4.39  17.05   2.22  15.53   1.10  19.65  15.29   1.23  17.72   3.75  16.18   1.84  14.70   0.94  18.77  15.20   1.46  17.44   4.09  15.98   2.08  14.70   1.16  18.68  NGC3464                     496.9   478.7
2002hy      16.17   1.48  18.69   4.71  17.13   2.29  15.48   1.07  19.65  15.47   1.33  17.90   4.09  16.39   2.04  14.82   0.99  18.95  15.67   1.81  18.73   7.41  16.84   3.11  14.84   1.24  19.14  NGC3464                     485.4   491.1
1999bh      16.04   1.39  19.01   5.45  17.49   2.71  15.96   1.34  19.52  15.48   1.34  18.47   5.30  16.94   2.62  15.40   1.29  18.96  15.36   1.57  18.25   5.95  16.78   3.01  15.28   1.51  18.84  NGC3435                     478.9   465.4
2012cy      15.18   0.93  18.61   4.54  17.12   2.28  15.63   1.15  18.65  14.58   0.89  18.00   4.27  16.50   2.14  15.03   1.09  18.06  14.23   0.93  17.69   4.59  16.17   2.28  14.68   1.15  17.71  NGC3462                     202.2   215.2
2009az      15.37   1.02  18.77   4.89  17.28   2.46  15.80   1.24  18.85  14.63   0.90  18.18   4.64  16.67   2.31  15.10   1.12  18.11  14.33   0.98  17.82   4.87  16.30   2.42  14.78   1.20  17.81  UGC06036                    396.7   409.9
1991F       15.48   1.07  16.33   1.58  14.78   0.78  13.25   0.38  18.96  14.93   1.04  15.78   1.54  14.20   0.74  12.56   0.35  18.41  14.57   1.09  15.42   1.61  13.87   0.79  12.33   0.39  18.05  NGC3458                     366.4   359.6
2004T       16.93   2.09  20.40  10.36  18.91   5.21  17.35   2.53  20.41  17.57   3.51  22.42  32.76  21.05  17.37  18.35   5.01  21.05  16.24   2.35  20.34  15.54  18.57   6.88  16.70   2.92  19.72  UGC06038                    218.6   231.2
2012hf      17.65   2.92  20.36  10.14  18.95   5.30  17.42   2.62  21.13  16.50   2.14  19.10   7.07  17.68   3.68  16.31   1.96  19.98  15.67   1.81  18.43   6.47  16.92   3.23  15.50   1.68  19.15  NGC3469                     188.9   209.5
2004bc      13.63   0.46  16.79   1.96  15.36   1.01  14.05   0.56  17.11  12.89   0.41  16.03   1.73  14.60   0.89  13.30   0.49  16.37  12.64   0.45  15.81   1.93  14.38   1.00  13.07   0.55  16.12  NGC3465                     224.3   225.0
2006I       15.68   1.18  19.36   6.42  17.85   3.19  16.31   1.57  19.16  15.01   1.08  18.82   6.24  17.28   3.06  15.66   1.45  18.49  14.71   1.17  18.54   6.78  17.01   3.35  15.38   1.58  18.19  NGC3465                     229.6   230.1
1999bi      16.94   2.10  23.73  48.02  22.12  22.85  20.47  10.66  20.42  15.91   1.63  22.41  32.53  20.86  15.92  19.31   7.79  19.39  15.44   1.63  21.93  32.31  20.43  16.24  18.98   8.32  18.92  A110115-1145                213.3   224.3
1999aw     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  A110136-0606                219.0   223.9
2007rt      16.10   1.43  19.57   7.06  18.07   3.54  16.58   1.78  19.58  15.35   1.26  18.79   6.15  17.29   3.08  15.81   1.56  18.83  15.09   1.39  18.53   6.77  17.04   3.41  15.55   1.71  18.57  UGC06109                    261.2   257.0
2007sa      15.32   1.00  15.82   1.26  14.17   0.59  12.14   0.23  18.80  14.61   0.89  15.10   1.13  13.47   0.53  11.42   0.21  18.08  14.35   0.99  14.86   1.25  13.23   0.59  11.16   0.23  17.83  NGC3499                     193.3   199.1
1998cf      11.43   0.17  11.94   0.21  10.92   0.13  10.37   0.10  14.91  10.66   0.15  11.15   0.18  10.16   0.12   9.63   0.09  14.13  10.24   0.15  10.74   0.19   9.75   0.12   9.26   0.09  13.72  NGC3504                     441.4   441.2
2001ac?     17.85   3.20  18.43   4.18  17.10   2.26  15.56   1.11  21.33  19.41   8.19  20.17  11.58  17.79   3.88  15.06   1.10  22.89  17.36   3.93  18.14   5.64  16.40   2.53  14.67   1.14  20.83  NGC3504                     386.3   449.7
2003L       14.99   0.86  18.36   4.05  16.86   2.03  15.40   1.04  18.47  14.33   0.79  17.69   3.71  16.20   1.86  14.74   0.95  17.81  14.08   0.87  17.49   4.19  15.99   2.09  14.50   1.06  17.56  NGC3506                     267.8   260.6
1996cb      17.36   2.55  16.02   1.37  14.31   0.63  11.28   0.16  20.84  20.61  14.18  15.65   1.45  13.93   0.65  10.78   0.15  24.08  15.98   2.08  14.17   0.91  13.20   0.58  10.33   0.16  19.45  NGC3510                     618.8   665.4
2001fv      16.94   2.10  17.46   2.67  15.79   1.23  14.20   0.59  20.42  15.80   1.55  16.29   1.94  14.81   0.99  13.35   0.50  19.28  16.25   2.36  16.87   3.15  14.98   1.32  13.29   0.60  19.73  NGC3512                     444.3   410.8
2010bi      16.95   2.11  20.92  13.13  19.40   6.54  17.85   3.20  20.43  16.15   1.83  19.99  10.66  18.47   5.31  17.00   2.70  19.63  15.21   1.46  18.86   7.86  17.36   3.94  15.94   2.05  18.69  NGC3509                     205.6   268.4
1995H       16.08   1.42  16.67   1.86  15.19   0.94  13.93   0.52  19.56  15.55   1.38  16.13   1.80  14.67   0.92  13.30   0.49  19.03  15.80   1.92  16.37   2.49  14.83   1.23  13.27   0.60  19.27  NGC3526                     668.2   640.4
2006hn      15.29   0.98  18.16   3.69  16.66   1.85  15.18   0.93  18.77  14.65   0.91  17.55   3.48  16.04   1.73  14.54   0.87  18.13  14.36   0.99  17.23   3.71  15.74   1.87  14.25   0.94  17.84  UGC06154                    241.7   250.0
2005lw      14.87   0.81  18.82   5.00  17.24   2.41  15.71   1.19  18.35  14.13   0.72  18.03   4.33  16.46   2.10  14.96   1.05  17.61  13.76   0.75  17.72   4.66  16.14   2.24  14.61   1.11  17.24  IC0672                      224.7   218.3
2006ak      16.13   1.45  20.67  11.68  19.11   5.71  17.64   2.90  19.61  15.29   1.23  19.83   9.93  18.27   4.84  16.80   2.46  18.77  14.95   1.30  19.52  10.64  17.93   5.13  16.46   2.60  18.43  A110932+2837                213.6   224.8
1994R       16.09   1.42  17.28   2.46  15.89   1.30  14.47   0.67  19.57  15.50   1.35  16.85   2.51  15.26   1.21  13.66   0.58  18.98  14.84   1.24  15.98   2.09  14.66   1.14  13.39   0.63  18.32  IC2627                      471.3   448.7
1998A       16.14   1.46  17.32   2.50  15.94   1.33  14.48   0.68  19.62  15.22   1.19  16.45   2.09  15.00   1.08  13.64   0.57  18.70  15.38   1.59  16.48   2.63  15.18   1.45  13.56   0.69  18.86  IC2627                      490.5   439.5
2003ci      16.39   1.63  20.53  10.99  19.02   5.48  17.54   2.77  19.87  15.83   1.57  20.16  11.54  18.65   5.77  17.08   2.79  19.30  15.20   1.46  19.23   9.31  17.70   4.61  16.27   2.39  18.68  UGC06212                    227.0   198.3
2001ah     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  20.29  12.28 -99.00   0.01 -99.00   0.01 -99.00   0.01  23.77  16.59   2.76  22.02  33.71  20.45  16.38  18.92   8.08  20.07  UGC06211                    239.6   202.5
2009my      16.55   1.76  18.65   4.62  17.15   2.31  15.68   1.18  20.03  15.91   1.63  18.01   4.28  16.52   2.16  15.00   1.07  19.39  15.52   1.69  17.48   4.18  16.06   2.16  14.73   1.18  19.00  NGC3559                     164.6   198.0
1969B       15.29   0.98  14.86   0.80  13.38   0.41  11.92   0.21  18.76  14.46   0.84  14.02   0.68  12.53   0.34  11.04   0.17  17.94  14.12   0.89  13.70   0.73  12.21   0.37  10.76   0.19  17.60  NGC3556                    1179.4  1083.4
1973D       17.10   2.26  21.21  14.99  19.71   7.51  18.30   3.93  20.58  16.57   2.21  20.92  16.38  19.42   8.22  17.95   4.18  20.04  16.22   2.33  20.80  19.18  19.28   9.54  17.71   4.62  19.70  NGC3570                     266.4   272.5
1973A      -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  18.55   6.81  25.10 138.97  23.15  56.74  20.34  15.54  22.03  NGC3574                     202.0   230.2
1989G      -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  16.29   2.41  20.65  17.94  19.04   8.55  17.44   4.09  19.77  IC2637                      245.3   246.1
2009by      18.33   3.99  21.17  14.73  19.78   7.77  18.60   4.52  21.81  19.30   7.77  22.62  35.88  21.27  19.27  19.85  10.03  22.78  17.60   4.41  20.56  17.24  19.39  10.03  18.19   5.79  21.08  UGC06260                    302.0   386.9
2001K       15.82   1.25  18.02   3.45  16.46   1.69  14.83   0.79  19.30  15.23   1.19  17.38   3.21  15.86   1.60  14.21   0.75  18.70  14.86   1.25  16.90   3.20  15.43   1.62  13.97   0.83  18.34  IC0677                      264.9   269.2
1975P       17.54   2.76  18.59   4.49  17.22   2.39  15.73   1.20  21.01  17.60   3.55  20.05  10.99  16.99   2.68  15.10   1.12  21.07  17.38   3.99 -99.00   0.01  16.78   3.02  14.97   1.31  20.86  NGC3583                     393.1   408.5
1998R       14.08   0.56  15.12   0.91  13.79   0.49  12.82   0.31  17.55  13.36   0.50  14.41   0.82  13.06   0.44  12.09   0.28  16.84  13.06   0.54  14.11   0.88  12.77   0.48  11.79   0.30  16.54  UGC06271                    217.9   215.2
2005R       15.41   1.04  19.97   8.50  18.42   4.16  16.93   2.09  18.89  14.68   0.93  19.18   7.37  17.64   3.61  16.15   1.82  18.16  14.48   1.05  19.06   8.63  17.47   4.15  15.98   2.09  17.96  UGC06274                    201.3   204.7
2003kw      16.54   1.75  20.35  10.08  18.83   5.03  17.35   2.54  20.02  15.72   1.50  19.62   9.03  18.05   4.37  16.54   2.18  19.20  15.48   1.66  19.49  10.51  17.89   5.03  16.36   2.49  18.96  UGC06314                    153.2   141.8
2011eh      19.41   6.57  20.77  12.28  19.14   5.79  17.08   2.24  22.89  18.79   6.14  19.61   8.97  18.79   6.14  19.54   8.69  22.27  17.84   4.91  18.78   7.58  17.72   4.64  16.21   2.32  21.32  NGC3613                     462.0   342.7
2013am      14.87   0.81  14.54   0.69  13.00   0.34  11.57   0.18  18.35  14.13   0.72  13.79   0.62  12.29   0.31  10.86   0.16  17.61  13.81   0.77  13.49   0.66  12.04   0.34  10.63   0.18  17.29  NGC3623                     895.3   802.3
2002bp      18.39   4.09  23.78  49.13  21.40  16.38  18.97   5.36  21.87  17.27   3.05  20.50  13.50  19.04   6.88  17.60   3.55  20.75  17.04   3.41  21.65  28.37  19.64  11.27  17.57   4.34  20.52  UGC06332                    184.2   180.7
2007bc      17.73   3.02  20.83  12.58  19.41   6.57  18.10   3.58  21.21 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.00   3.34  20.19  14.49  18.71   7.32  17.33   3.88  20.48  UGC06332                    235.1   190.1
1973R       15.24   0.96  14.02   0.55  12.47   0.27  10.97   0.13  18.72  14.57   0.88  13.36   0.51  11.83   0.25  10.29   0.12  18.05  14.20   0.92  13.05   0.54  11.48   0.26   9.98   0.13  17.68  NGC3627                    1635.9  1611.9
1989B       13.92   0.52  12.79   0.31  11.32   0.16   9.92   0.08  17.40  13.21   0.47  12.05   0.28  10.61   0.14   9.24   0.08  16.68  12.92   0.51  11.76   0.30  10.30   0.15   8.91   0.08  16.40  NGC3627                    1601.4  1635.6
1997bs?     15.17   0.93  14.00   0.54  12.55   0.28  10.98   0.14  18.65  14.73   0.95  13.47   0.53  11.97   0.27  10.39   0.13  18.20  14.38   1.00  13.18   0.57  11.66   0.29  10.13   0.14  17.86  NGC3627                    1596.4  1516.0
2009hd      14.28   0.62  13.10   0.36  11.57   0.18  10.13   0.09  17.76  13.57   0.55  12.37   0.32  10.84   0.16   9.46   0.08  17.05  13.19   0.58  11.97   0.33  10.45   0.16   9.12   0.09  16.67  NGC3627                    1556.8  1543.0
1983W       17.16   2.32  18.26   3.86  16.52   1.73  14.70   0.75  20.64  15.87   1.60  16.74   2.39  15.36   1.26  13.86   0.63  19.35  15.82   1.94  16.62   2.81  15.34   1.55  13.53   0.68  19.30  NGC3625                     503.9   516.3
2005km      14.58   0.71  18.60   4.51  17.06   2.22  15.55   1.11  18.06  13.83   0.62  17.90   4.08  16.34   1.99  14.82   0.99  17.30  13.54   0.68  17.63   4.46  16.07   2.17  14.54   1.07  17.01  UGC06356                    190.0   195.0
2004bg      16.30   1.56  19.66   7.37  18.15   3.67  16.68   1.87  19.78  15.74   1.51  19.35   7.97  17.78   3.86  16.18   1.85  19.22  15.21   1.46  18.61   7.00  17.11   3.52  15.62   1.77  18.69  UGC06363                    223.1   253.8
1964A       18.10   3.58  18.62   4.56  17.64   2.90  16.67   1.85  21.58  16.74   2.39  17.38   3.21  15.95   1.66  14.57   0.88  20.21  18.19   5.79  19.70  11.58  17.44   4.09  17.13   3.55  21.67  NGC3631                     759.6   771.0
1965L       17.83   3.17  18.62   4.56  16.80   1.97  14.90   0.82  21.31  17.35   3.17  18.52   5.43  15.97   1.68  14.04   0.69  20.83  16.06   2.16  16.73   2.95  15.26   1.50  13.77   0.76  19.54  NGC3631                     723.6   737.0
1996bu     -99.00   0.01 -99.00   0.01 -99.00   0.01  17.42   2.62 -99.00  16.41   2.05  16.84   2.50  16.10   1.78  15.11   1.13  19.89  17.64   4.49  18.39   6.34  16.96   3.28  16.29   2.41  21.12  NGC3631                     713.3   799.2
1990G       21.53  17.37 -99.00   0.01 -99.00   0.01 -99.00   0.01  25.01  17.88   4.04  22.13  28.67  20.50  13.50  19.04   6.88  21.36 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  IC2735                      350.4   329.9
2009ee     -99.00   0.01  24.29  62.15  22.90  32.76  22.04  21.97 -99.00  18.39   5.12  22.70  37.14  21.23  18.91  19.95  10.48  21.87  19.59  10.99  22.23  37.14  20.81  19.27  19.70  11.58  23.06  IC2738                      201.1   168.4
1996V       18.83   5.01  22.79  31.08  21.28  15.54  19.73   7.58  22.31  17.85   3.99  21.40  20.49  19.92  10.36  18.52   5.43  21.33  17.88   5.01  22.23  37.14  20.89  20.06  18.89   7.97  21.36  NGC3644                     405.5   383.6
1989N       16.08   1.41  18.75   4.84  17.22   2.39  15.69   1.18  19.56  15.73   1.50  18.33   4.98  16.84   2.51  15.33   1.25  19.21  15.01   1.34  17.49   4.18  16.04   2.14  14.67   1.14  18.49  NGC3646                     749.2   682.2
1999cd      16.74   1.92  19.24   6.07  17.76   3.07  16.41   1.65  20.22  16.53   2.17  19.65   9.12  17.94   4.15  16.06   1.75  20.01  15.78   1.91  18.77   7.54  17.07   3.46  15.36   1.57  19.26  NGC3646                     726.8   676.5
2002ji      16.10   1.43  16.69   1.87  15.15   0.92  13.49   0.43  19.58  15.45   1.32  16.04   1.74  14.48   0.84  12.84   0.40  18.93  15.08   1.38  15.60   1.75  14.25   0.94  12.61   0.44  18.56  NGC3655                     322.8   287.4
1963K       16.45   1.68  18.17   3.70  16.71   1.89  15.22   0.95  19.93  16.03   1.72  17.90   4.08  16.34   1.99  14.61   0.90  19.51  15.52   1.69  17.28   3.80  15.78   1.91  14.19   0.92  19.00  NGC3656                     359.4   352.3
1973C       15.23   0.95  17.00   2.16  15.50   1.08  13.98   0.54  18.70  14.56   0.88  16.34   1.99  14.83   0.99  13.30   0.49  18.04  14.25   0.94  16.02   2.13  14.52   1.07  13.00   0.53  17.73  NGC3656                     379.8   365.3
2006ax      20.77  12.28 -99.00   0.01 -99.00   0.01  20.77  12.28  24.25  18.55   5.49  22.42  32.76  20.70  14.81  18.35   5.01  22.03 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  NGC3663                     291.3   361.3
2002hl      16.55   1.76  17.82   3.15  16.19   1.49  14.73   0.76  20.03  16.14   1.81  17.19   2.95  15.82   1.57  14.25   0.76  19.62  15.86   1.98  17.04   3.41  15.53   1.70  14.00   0.84  19.34  NGC3665                    1141.1  1117.0
2007bm      14.28   0.62  15.35   1.01  13.86   0.51  12.40   0.26  17.76  13.58   0.56  14.66   0.92  13.15   0.46  11.69   0.23  17.06  13.30   0.61  14.36   0.99  12.88   0.50  11.40   0.25  16.78  NGC3672                     780.9   768.2
2008gz      14.86   0.81  15.91   1.31  14.46   0.67  13.08   0.36  18.34  14.24   0.76  15.24   1.20  13.85   0.63  12.43   0.33  17.72  13.95   0.82  14.94   1.29  13.57   0.69  12.19   0.36  17.43  NGC3672                     767.0   771.0
2001Q       18.30   3.93  21.40  16.38  19.41   6.57  17.30   2.48  21.78  16.91   2.59  19.04   6.88  17.57   3.51  16.15   1.82  20.39 -99.00   0.01 -99.00   0.01 -99.00   0.01  19.83  12.28 -99.00  UGC06429                    627.5   602.7
1989af      17.97   3.37  19.39   6.51  17.64   2.90  15.80   1.24  21.45  16.95   2.63  18.28   4.87  16.71   2.35  15.07   1.11  20.43  16.89   3.17  18.83   7.77  16.54   2.70  14.99   1.32  20.37  UGC06433                    440.1   441.8
2004as      18.25   3.84 -99.00   0.01 -99.00   0.01 -99.00   0.01  21.73  17.64   3.62 -99.00   0.01 -99.00   0.01 -99.00   0.01  21.12 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  A112539+2249                222.0   224.9
2010gx     -99.00   0.01  27.36 255.06  25.86 127.53  24.35  63.77 -99.00  17.97   4.21  25.09 111.74  23.61  56.44  22.10  28.22  21.45 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  A112547-0849                270.0   269.5
2003ag      16.57   1.77  20.57  11.16  18.95   5.31  17.26   2.43  20.05  15.65   1.45  19.12   7.17  17.62   3.59  16.21   1.87  19.13  15.36   1.57  19.08   8.70  17.58   4.37  16.02   2.12  18.84  UGC06440                    204.2   215.4
1984R       14.05   0.56  14.06   0.56  12.48   0.27  10.75   0.12  17.53  13.35   0.50  13.36   0.51  11.79   0.24  10.05   0.11  16.83  13.11   0.56  13.12   0.56  11.57   0.27   9.79   0.12  16.59  NGC3675                    1072.1  1055.0
1955G       18.01   3.44  22.53  27.52  20.98  13.50  19.52   6.88  21.49  16.11   1.79  20.15  11.52  18.70   5.90  17.28   3.06  19.59  17.75   4.73  21.72  29.30  20.65  17.94  19.22   9.29  21.23  PGC035168                   260.9   259.7
2004gr      16.93   2.09  20.51  10.89  19.02   5.48  17.56   2.79  20.41  16.43   2.07  20.29  12.24  18.76   6.07  17.14   2.88  19.90  15.86   1.98  19.38   9.98  17.88   5.00  16.47   2.62  19.34  NGC3678                     220.8   215.7
1999ew      14.68   0.74  18.52   4.35  16.97   2.13  15.42   1.04  18.16  13.93   0.65  17.74   3.79  16.19   1.86  14.65   0.91  17.40  13.64   0.71  17.49   4.18  15.94   2.05  14.39   1.00  17.12  NGC3677                     399.8   404.9
2004C       14.29   0.62  15.47   1.07  14.10   0.57  12.80   0.31  17.77  13.41   0.51  14.57   0.88  13.22   0.47  11.95   0.26  16.88  12.88   0.50  14.02   0.85  12.70   0.46  11.50   0.27  16.36  NGC3683                     503.8   497.5
1989A       17.87   3.23  19.56   7.02  17.93   3.31  16.00   1.36  21.35  16.51   2.15  18.31   4.94  16.57   2.22  15.09   1.12  19.98  16.54   2.70  18.37   6.29  16.60   2.78  15.00   1.33  20.01  NGC3687                     429.5   391.0
2013hu      19.89   8.19 -99.00   0.01 -99.00   0.01  19.49   6.81  23.37  17.51   3.41  21.45  20.95  19.44   8.31  17.45   3.31  20.99  16.26   2.38  20.58  17.37  18.68   7.24  16.15   2.26  19.74  NGC3693                     336.2   287.1
1992bu      13.86   0.51  15.85   1.27  14.29   0.62  12.66   0.29  17.33  13.05   0.44  15.09   1.12  13.50   0.54  11.81   0.25  16.53  12.56   0.43  14.70   1.16  13.04   0.54  11.23   0.23  16.04  NGC3690                     447.2   437.7
1993G       16.33   1.59  18.37   4.07  16.77   1.94  15.15   0.92  19.81  15.90   1.62  18.29   4.89  16.43   2.08  14.59   0.89  19.38  15.43   1.62  17.21   3.68  15.80   1.92  14.34   0.98  18.91  NGC3690                     431.8   430.6
1998T       13.66   0.46  15.56   1.11  14.06   0.56  12.58   0.28  17.14  12.84   0.40  14.77   0.97  13.25   0.48  11.70   0.23  16.32  12.31   0.39  14.28   0.96  12.74   0.47  11.14   0.22  15.79  NGC3690                     433.4   443.4
1999D       16.25   1.53  18.18   3.72  16.67   1.85  15.11   0.91  19.73  15.72   1.49  17.53   3.44  16.11   1.79  14.59   0.89  19.20  15.30   1.52  17.10   3.50  15.68   1.82  14.19   0.92  18.77  NGC3690                     470.8   438.7
2005U       13.80   0.49  15.66   1.17  14.19   0.59  12.71   0.30  17.28  13.00   0.43  14.89   1.02  13.41   0.52  11.85   0.25  16.48  12.49   0.42  14.41   1.01  12.90   0.51  11.30   0.24  15.97  NGC3690                     433.0   442.2
2010O       13.87   0.51  15.73   1.21  14.26   0.61  12.75   0.31  17.35  13.14   0.46  15.04   1.09  13.54   0.55  11.93   0.26  16.62  12.79   0.48  14.71   1.16  13.20   0.58  11.50   0.27  16.27  NGC3690                     428.0   451.3
2010P       14.45   0.67  16.39   1.63  14.87   0.81  13.24   0.38  17.93  13.69   0.59  15.61   1.42  14.10   0.71  12.48   0.34  17.17  13.10   0.55  14.94   1.29  13.49   0.66  11.91   0.32  16.58  NGC3690                     447.4   449.0
1993D       16.31   1.57  20.11   9.05  18.64   4.59  17.18   2.34  19.79  15.71   1.49  19.92  10.36  18.32   4.95  16.76   2.41  19.19  15.48   1.66  19.68  11.50  18.13   5.62  16.54   2.70  18.96  ESO571-003                  210.8   192.9
2013hh      17.28   2.46  19.84   7.97  18.29   3.91  16.78   1.95  20.76  17.11   2.84  20.65  14.49  18.60   5.64  16.33   1.98  20.59  16.22   2.33  19.09   8.75  17.36   3.93  15.67   1.81  19.70  UGC06483                    174.2   218.0
2005bh      17.38   2.58  21.00  13.63  19.46   6.72  17.87   3.23  20.86  16.87   2.53  21.83  24.96  20.02  10.85  17.53   3.44  20.34  16.60   2.78  20.06  13.69  18.59   6.95  17.06   3.44  20.08  UGC06495                    261.7   248.5
2004gj      17.10   2.26  20.23   9.54  18.74   4.82  17.41   2.60  20.58  16.14   1.81  19.11   7.13  17.67   3.66  16.44   2.08  19.62  16.26   2.38  19.66  11.35  18.12   5.60  16.62   2.80  19.74  IC0701                      273.5   257.4
2013gl      14.86   0.81  18.09   3.57  16.61   1.80  15.17   0.93  18.34  14.13   0.72  17.39   3.23  15.90   1.62  14.44   0.83  17.61  13.91   0.80  17.14   3.57  15.66   1.80  14.22   0.93  17.39  IC0701                      261.6   260.9
2006V       18.10   3.58  20.27   9.73  18.97   5.36  17.97   3.37  21.58  19.01   6.81  20.48  13.37  19.25   7.58  18.79   6.14  22.49 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  UGC06510                    381.6   391.6
2006lv      16.53   1.74  18.09   3.57  16.55   1.76  15.08   0.89  20.01  15.90   1.62  17.47   3.35  15.92   1.64  14.51   0.86  19.38  15.82   1.94  17.36   3.93  15.83   1.95  14.37   1.00  19.29  UGC06517                    417.1   438.1
2002at      14.63   0.73  17.86   3.21  16.38   1.62  14.91   0.83  18.11  13.95   0.66  17.17   2.91  15.69   1.48  14.24   0.75  17.43  13.56   0.69  16.77   3.00  15.29   1.52  13.84   0.78  17.04  NGC3720                     285.2   282.1
1997bm      17.67   2.94  19.19   5.92  17.91   3.28  16.64   1.83  21.15  17.55   3.47  20.44  13.13  17.97   4.21  16.19   1.85  21.03  17.50   4.21  19.39  10.03  17.88   5.01  16.25   2.36  20.98  IC0705                      216.8   237.3
2004H       14.82   0.79  19.12   5.75  17.65   2.91  16.10   1.43  18.30  14.07   0.70  18.40   5.13  16.92   2.60  15.36   1.27  17.55  13.84   0.78  18.15   5.67  16.66   2.86  15.12   1.41  17.32  IC0708                      403.8   411.7
1980D      -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  NGC3733                     898.4   981.2
1998cn      15.15   0.92  16.81   1.97  15.19   0.94  13.49   0.43  18.63  14.34   0.79  15.99   1.69  14.39   0.81  12.62   0.36  17.82  13.88   0.79  15.47   1.65  13.93   0.81  12.21   0.37  17.36  NGC3735                     695.2   683.6
1966D       17.17   2.33  20.48  10.72  19.00   5.43  17.59   2.84  20.64  16.32   1.97  19.41   8.19  17.94   4.15  16.65   2.29  19.80  17.88   5.01 -99.00   0.01 -99.00   0.01  18.95   8.19  21.36  PGC035882                   236.4   217.6
