#SN    zhel   zcmb   ebvmw mjdmax    bmag     err    s      err     clr     err     cos     use
1999aa 0.0144 0.0153 0.040 51231.89  14.730   0.018  1.126  0.008  -0.052   0.009    1       1
1999ac 0.0095 0.0098 0.046 51249.93  14.123   0.021  0.981  0.012   0.041   0.011    1       1
1999ao 0.0539 0.0543 0.065 51243.87  17.872   0.038  0.949  0.040  -0.022   0.019    1       1
1999ar 0.1548 0.1559 0.031 51247.95  19.917   0.030  1.019  0.053  -0.106   0.024    1       1
1999aw 0.0380 0.0392 0.032 51253.42  16.755   0.017  1.225  0.013  -0.025   0.011    1       1
1999bi 0.1227 0.1239 0.027 51248.31  19.698   0.055  1.291  0.091   0.044   0.037    1       1
1999bm 0.1428 0.1439 0.024 51258.15  20.469   0.031  0.662  0.057   0.057   0.025    1       1
1999bn 0.1285 0.1297 0.059 51257.97  19.565   0.033  1.176  0.072  -0.090   0.032    1       1
1999bp 0.0770 0.0782 0.034 51263.32  18.370   0.020  1.041  0.033  -0.071   0.016    1       1
1999by 0.0021 0.0027 0.016 51308.62  13.598   0.013  0.576  0.009   0.458   0.011    1       1
1999cc 0.0313 0.0315 0.023 51314.94  16.782   0.012  0.784  0.016   0.005   0.009    1       1
1999cl 0.0076 0.0087 0.038 51341.64  14.874   0.020  0.960  0.022   1.137   0.015    1       1
1999cp 0.0095 0.0104 0.024 51362.76  13.950   0.022  1.010  0.033  -0.064   0.018    1       1
1999da 0.0127 0.0125 0.056 51370.57  16.598   0.027  0.552  0.007   0.508   0.014    1       1
1999dk 0.0150 0.0139 0.054 51414.31  14.832   0.027  0.967  0.030   0.056   0.019    1       1
1999dq 0.0143 0.0135 0.110 51435.53  14.424   0.045  1.121  0.008   0.086   0.014    1       1
1999ee 0.0114 0.0105 0.020 51468.82  14.851   0.010  1.065  0.006   0.261   0.006    1       1
1999ef 0.0391 0.0380 0.087 51454.21  16.907   0.217  1.050  0.065  -0.039   0.035    1       1
1999ek 0.0175 0.0176 0.561 51481.55  15.631   0.228  0.891  0.013   0.107   0.060    1       1
1999gd 0.0185 0.0193 0.041 51518.98  16.934   0.034  0.920  0.056   0.366   0.022    1       1
1999gh 0.0077 0.0088 0.058 51510.88 -99.999  -9.999  0.716  0.049 -99.999  -9.999    0       1
1999gp 0.0268 0.0260 0.056 51549.60  16.035   0.024  1.167  0.015   0.031   0.012    1       1
1999X  0.0251 0.0258 0.032 51205.45  16.093   0.133  0.906  0.082  -0.011   0.053    1       1
2000bh 0.0228 0.0239 0.048 51634.43  15.846   0.123  0.918  0.054  -0.008   0.025    0       1
2000ca 0.0236 0.0245 0.067 51665.00  15.572   0.031  1.076  0.029  -0.075   0.017    1       1
2000ce 0.0163 0.0165 0.057 51666.50  17.056   0.044  1.021  0.031   0.498   0.023    1       1
2000cf 0.0364 0.0365 0.032 51672.21  17.030   0.030  0.895  0.026  -0.052   0.016    1       1
2000cn 0.0235 0.0232 0.057 51706.82  16.556   0.027  0.758  0.013   0.116   0.014    1       1
2000cx 0.0079 0.0081 0.082 51751.96  13.065   0.035  0.871  0.007   0.019   0.012    0       1
2000dk 0.0174 0.0165 0.070 51811.98  15.356   0.031  0.744  0.014  -0.007   0.014    1       1
2000E  0.0047 0.0042 0.364 51576.11  12.851   0.150  1.060  0.012   0.128   0.042    1       1
2000fa 0.0213 0.0218 0.069 51891.61  15.860   0.046  1.027  0.031   0.047   0.025    1       1
2001ay 0.0302 0.0309 0.019 52018.73  16.775   0.034  1.587  0.030   0.038   0.117    0       1
2001az 0.0407 0.0406 0.051 52030.63  16.928   0.044  1.083  0.065  -0.060   0.022    1       1
2001ba 0.0294 0.0305 0.064 52033.38  16.214   0.028  1.008  0.020  -0.096   0.017    1       1
2001bf 0.0155 0.0152 0.099 52045.04  14.710   0.046  1.137  0.034  -0.005   0.018    1       1
2001bt 0.0146 0.0144 0.065 52063.43  15.287   0.029  0.895  0.012   0.166   0.014    1       1
2001cn 0.0155 0.0154 0.059 52071.75  15.256   0.033  0.924  0.023   0.129   0.013    1       1
2001cz 0.0154 0.0163 0.092 52103.18  15.058   0.040  1.001  0.021   0.072   0.017    1       1
2001da 0.0172 0.0160 0.058 52107.30  15.480   0.090  0.888  0.236   0.105   0.034    1       1
2001eh 0.0370 0.0362 0.064 52168.37  16.609   0.030  1.198  0.028  -0.001   0.014    1       1
2001el 0.0039 0.0037 0.014 52181.94  12.782   0.011  0.975  0.010   0.119   0.010    1       1
2001en 0.0159 0.0149 0.054 52191.95  15.052   0.082  0.898  0.047   0.021   0.021    1       1
2001ep 0.0130 0.0130 0.047 52199.68  14.900   0.024  0.878  0.021   0.083   0.015    1       1
2001fe 0.0135 0.0145 0.022 52228.24  14.696   0.020  1.091  0.026   0.020   0.017    1       1
2001fh 0.0130 0.0121 0.746 52223.99  14.215   0.306  0.772  0.023  -0.089   0.073    1       1
2001ie 0.0307 0.0312 0.009 52254.03  16.776   0.053  0.799  0.046   0.062   0.023    1       1
2001N  0.0210 0.0221 0.027 51930.20  16.577   0.040  0.940  0.048   0.286   0.021    1       1
2001V  0.0150 0.0160 0.020 51973.17  14.618   0.018  1.128  0.012   0.050   0.014    1       1
2002bf 0.0244 0.0249 0.011 52337.69  16.334   0.050  0.937  0.029   0.169   0.028    1       1
2002bo 0.0042 0.0053 0.025 52356.31  13.956   0.016  0.942  0.011   0.378   0.013    1       1
2002cd 0.0103 0.0097 0.405 52383.42  15.500   0.164  1.068  0.022   0.435   0.045    1       1
2002ck 0.0299 0.0303 0.098 52395.07  16.276   0.118  1.060  0.064  -0.020   0.027    1       1
2002cr 0.0095 0.0104 0.025 52408.24  14.198   0.021  0.940  0.018  -0.036   0.017    1       1
2002cx 0.0240 0.0240 0.032 52416.14  17.427   0.032  0.572  0.011   0.025   0.020    0       1
2002de 0.0281 0.0283 0.019 52433.17  16.676   0.017  1.060  0.070   0.140   0.015    1       1
2002dj 0.0094 0.0104 0.096 52450.26  13.930   0.043  0.944  0.012   0.056   0.017    1       1
2002do 0.0159 0.0152 0.314 52443.86  15.519   0.132  0.634  0.044   0.019   0.038    0       1
2002dp 0.0116 0.0104 0.049 52450.42  14.609   0.029  0.964  0.035   0.124   0.022    1       1
2002er 0.0086 0.0088 0.157 52523.98  14.259   0.065  0.876  0.009   0.124   0.020    1       1
2002es 0.0284 0.0279 0.180 52510.86  16.158   0.097  1.014  0.046   0.252   0.040    0       1
2002fb 0.0156 0.0147 0.089  -100.00 -99.999  -9.999 -9.999 -9.999  -9.999  -9.999    0       0
2002fk 0.0071 0.0066 0.040 52547.24  13.129   0.026  0.985  0.034  -0.102   0.021    1       1
2002ha 0.0141 0.0131 0.102 52580.51  14.706   0.045  0.866  0.026  -0.060   0.020    1       1
2002hd 0.0350 0.0360 0.038 52577.09  16.864   0.037  0.813  0.050   0.112   0.015    1       1
2002he 0.0246 0.0248 0.040 52585.58  16.233   0.042  0.803  0.020  -0.018   0.026    1       1
2002hu 0.0380 0.0372 0.045 52591.70  16.631   0.023  1.037  0.023  -0.061   0.015    1       1
2002hw 0.0175 0.0163 0.105 52595.21  16.651   0.054  0.762  0.028   0.407   0.024    0       1
2002jy 0.0196 0.0187 0.053 52633.28  15.738   0.029  1.115  0.036  -0.005   0.015    1       1
