# LGA_SNAN run on Thu Aug  7 15:23:29 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
1961I       16.50   0.15  17.24   0.22  15.76   0.11  14.31   0.06  19.98  0.765  -0.46   0.60  15.99   0.14  16.74   0.20  15.24   0.10  13.74   0.05  19.47  0.766  -0.41   0.72  15.41   0.14  16.14   0.20  14.67   0.10  13.25   0.05  18.89  0.777  -0.73   0.98  NGC4303            318.0    388.6
1961U       17.54   0.21  17.00   0.16  15.64   0.09  14.46   0.05  21.02  0.948  -1.81   2.73  17.99   0.31  17.53   0.25  16.37   0.15  14.85   0.07  21.47  1.014  -3.60  34.57  18.26   0.47  17.62   0.35  15.77   0.15  14.11   0.07  21.74  0.971  -0.63   8.52  NGC3938            522.7    708.3
1962L       18.52   0.36  17.73   0.25  15.85   0.10  14.16   0.05  22.00  0.649   0.37   0.98  19.18   0.60  18.09   0.36  15.89   0.13  14.14   0.06  22.66  0.708   1.55   1.53 -99.00  -9.00  19.08   0.73  15.69   0.15  14.00   0.07 -99.00  0.663 -99.00  -9.00  NGC1073            395.3    476.2
1962M       17.41   0.22  14.69   0.06  11.89   0.02  10.18   0.01  20.89  0.799  -1.17   1.50  18.04   0.36  14.63   0.08  11.51   0.02   9.76   0.01  21.52  0.795   0.12   2.08 -99.00  -9.00  13.90   0.07  11.35   0.02   9.64   0.01 -99.00  0.828 -99.00  -9.00  NGC1313            602.9    452.5
1963P       16.32   0.13  15.94   0.11  14.38   0.06  12.69   0.03  19.80  0.604   0.58   0.28  15.60   0.12  15.22   0.10  13.74   0.05  12.10   0.02  19.07  0.633   0.52   0.28  15.27   0.13  14.90   0.11  13.37   0.05  11.73   0.03  18.75  0.643   0.45   0.32  NGC1084            266.8    292.2
1964A       19.34   0.51  19.86   0.65  18.65   0.37  17.40   0.21  22.82  0.886   0.50   1.85  17.21   0.25  17.81   0.34  16.28   0.17  14.77   0.08  20.68  0.880  -0.88   2.67 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  0.876 -99.00  -9.00  NGC3631            478.7    489.7
1964F       15.42   0.09  16.17   0.13  14.65   0.07  13.08   0.03  18.89  0.268   0.26   0.30  14.67   0.08  15.42   0.11  13.91   0.06  12.41   0.03  18.15  0.282   0.15   0.33  14.45   0.09  15.20   0.13  13.70   0.06  12.16   0.03  17.93  0.289   0.28   0.34  NGC4303            426.4    403.0
1964L       15.60   0.09  15.04   0.07  13.55   0.03  12.10   0.02  19.08  0.311  -0.11   0.19  15.01   0.08  14.45   0.06  12.97   0.03  11.50   0.02  18.49  0.375  -0.09   0.22  14.62   0.09  14.05   0.07  12.57   0.03  11.19   0.02  18.10  0.334  -0.27   0.25  NGC3938            605.7    631.9
1965H       14.15   0.05  14.84   0.07  13.35   0.03  11.89   0.02  17.63  0.867  -3.59   0.53  13.36   0.04  14.06   0.06  12.56   0.03  11.10   0.01  16.84  0.885  -3.72   0.59  13.02   0.05  13.72   0.06  12.21   0.03  10.75   0.02  16.50  0.894  -3.90   0.82  NGC4666            424.5    369.9
1965I       18.23   0.32  18.63   0.39  16.99   0.18  15.19   0.08  21.71  1.000 -99.00  -9.00  17.41   0.27  17.79   0.32  16.24   0.16  14.75   0.08  20.89  1.000 -99.00  -9.00  16.53   0.23  16.89   0.27  15.45   0.14  14.16   0.08  20.01  1.000 -99.00  -9.00  NGC4753            496.9    468.6
1965L       17.95   0.27  18.63   0.37  16.89   0.17  15.06   0.07  21.43  0.603   0.55   0.59  16.90   0.22  17.54   0.30  15.89   0.14  14.20   0.06  20.37  0.605   0.21   0.69  16.37   0.20  16.98   0.26  15.45   0.13  13.91   0.06  19.85  0.606  -0.12   0.88  NGC3631            442.7    455.7
1965M       15.62   0.10  16.33   0.13  14.84   0.07  13.39   0.03  19.10  0.748  -1.87   0.39  14.80   0.08  15.49   0.11  14.02   0.06  12.57   0.03  18.27  0.659  -1.73   0.39  14.63   0.10  15.33   0.13  13.84   0.07  12.39   0.03  18.11  0.752  -1.90   0.63  NGC7606            429.9    451.6
1966J       18.19   0.31  17.72   0.25  16.16   0.12  14.98   0.07  21.67  1.000 -99.00  -9.00  17.01   0.20  16.54   0.16  15.00   0.08  13.60   0.04  20.48  1.000 -99.00  -9.00  17.47   0.33  17.00   0.27  15.27   0.12  13.55   0.05  20.95  1.000 -99.00  -9.00  NGC3198            699.4    436.1
