# LGA_SNAN run on Thu Aug  7 15:23:29 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
2002cv      14.51   0.05  15.37   0.08  13.87   0.04  12.39   0.02  17.99  0.819  -2.99   0.49  13.63   0.04  14.48   0.06  12.99   0.03  11.55   0.02  17.11  0.837  -3.24   0.51  13.24   0.05  14.09   0.07  12.61   0.04  11.21   0.02  16.72  0.824  -3.31   0.58  NGC3190            429.6    410.7
2002hh      13.37   0.04  10.27   0.01   9.32   0.01   9.05   0.00  16.85  0.469  -2.70   0.35  13.07   0.03   9.88   0.01   8.92   0.00   8.68   0.00  16.55  0.453  -2.71   0.37  12.38   0.03   9.24   0.01   8.32   0.01   8.09   0.00  15.86  0.485  -2.83   0.41  NGC6946            761.0    485.3
2002kg      15.93   0.10  12.14   0.02  10.58   0.01   8.91   0.00  19.41  0.595  -0.72   0.52  15.44   0.09  11.62   0.02  10.09   0.01   8.45   0.00  18.92  0.613  -0.70   0.43  15.16   0.11  11.33   0.02   9.82   0.01   8.23   0.00  18.64  0.615  -0.70   0.53  NGC2403            635.8    600.5
2003B       18.32   0.34  17.86   0.27  16.24   0.13  14.70   0.06  21.80  0.914  -0.50   1.67  17.33   0.26  16.90   0.22  15.36   0.11  13.92   0.05  20.81  0.909  -0.79   2.06  16.57   0.24  16.17   0.20  14.81   0.11  13.51   0.06  20.05  0.927  -1.56   3.80  NGC1097            668.0    764.1
2003H       15.67   0.10  17.29   0.21  15.78   0.11  14.25   0.05  19.15  0.766  -2.19   0.64  14.95   0.09  16.57   0.19  15.06   0.09  13.54   0.05  18.43  0.783  -2.27   0.75  14.61   0.10  16.22   0.20  14.72   0.10  13.24   0.05  18.09  0.786  -2.46   1.15  NGC2207            449.5    498.3
2003J       14.86   0.06  14.15   0.05  12.76   0.02  11.60   0.01  18.34  0.632  -2.32   0.43  14.06   0.05  13.35   0.04  11.93   0.02  10.73   0.01  17.54  0.579  -2.21   0.41  13.71   0.06  13.00   0.04  11.58   0.02  10.39   0.01  17.19  0.669  -2.32   0.49  NGC4157            464.9    366.4
2003cg      13.78   0.04  14.15   0.05  12.58   0.02  10.87   0.01  17.26  0.434  -0.80   0.14  13.01   0.04  13.38   0.04  11.82   0.02  10.13   0.01  16.49  0.455  -0.86   0.08  12.70   0.04  13.06   0.05  11.51   0.02   9.82   0.01  16.18  0.471  -0.89   0.08  NGC3169            286.1    405.1
2003gs      14.32   0.05  14.77   0.07  13.24   0.03  11.64   0.02  17.80  0.335  -0.28   0.24  13.61   0.05  14.06   0.06  12.54   0.03  10.94   0.01  17.09  0.342  -0.27   0.24  13.43   0.06  13.89   0.07  12.34   0.03  10.71   0.02  16.91  0.345  -0.23   0.25  NGC936             388.2    384.8
2003hl      15.01   0.07  16.06   0.11  14.56   0.06  13.05   0.03  18.49  0.290  -0.38   0.14  14.27   0.06  15.32   0.09  13.82   0.05  12.32   0.02  17.75  0.289  -0.38   0.14  13.91   0.06  14.95   0.10  13.46   0.05  11.98   0.03  17.39  0.308  -0.47   0.16  NGC772             479.5    485.0
2003hn      15.11   0.08  15.56   0.09  14.11   0.05  12.75   0.03  18.58  0.654  -2.34   0.53  14.41   0.07  14.87   0.08  13.41   0.04  12.04   0.02  17.89  0.675  -2.35   0.58  14.15   0.08  14.61   0.09  13.13   0.05  11.73   0.02  17.62  0.697  -2.30   0.59  NGC1448            352.7    454.7
2003ie      17.26   0.20  17.02   0.18  15.45   0.09  13.97   0.04  20.74  0.762  -0.57   0.72  17.77   0.33  17.50   0.29  15.63   0.12  13.66   0.05  21.25  0.844   0.30   1.10  16.54   0.21  16.31   0.19  14.81   0.10  13.21   0.05  20.02  0.802  -0.42   0.98  NGC4051            309.2    382.3
2003iq      15.94   0.11  16.99   0.17  15.49   0.09  13.99   0.04  19.42  0.554  -0.71   0.31  15.09   0.08  16.14   0.13  14.64   0.07  13.18   0.03  18.57  0.549  -0.85   0.36  14.85   0.10  15.89   0.16  14.40   0.08  12.93   0.04  18.33  0.579  -0.86   0.43  NGC772             498.8    452.3
2003jg      13.87   0.04  13.95   0.05  12.38   0.02  10.78   0.01  17.35  0.085  -1.01   0.12  13.17   0.04  13.26   0.04  11.68   0.02  10.06   0.01  16.65  0.093  -1.03   0.12  12.86   0.04  12.95   0.04  11.36   0.02   9.75   0.01  16.34  0.096  -1.11   0.14  NGC2997            603.7    605.7
2004C       14.52   0.06  15.77   0.10  14.31   0.05  12.95   0.03  18.00  0.876  -3.64   0.59  13.65   0.05  14.90   0.09  13.45   0.04  12.12   0.02  17.13  0.886  -3.76   0.79  13.23   0.05  14.48   0.08  13.03   0.04  11.70   0.02  16.71  0.888  -4.03   1.06  NGC3683            419.2    411.7
2004W       16.53   0.15  16.22   0.13  14.70   0.07  13.08   0.03  20.00  0.835  -0.12   0.35  15.63   0.12  15.32   0.10  13.86   0.05  12.36   0.03  19.11  0.850  -0.43   0.37  15.81   0.17  15.50   0.14  13.93   0.07  12.24   0.03  19.29  0.846   0.05   0.61  NGC4649            646.6    521.9
2004ab      14.67   0.06  14.18   0.05  12.62   0.02  10.89   0.01  18.15  0.151  -0.42   0.09  13.94   0.06  13.44   0.04  11.87   0.02  10.13   0.01  17.42  0.166  -0.42   0.09  13.65   0.06  13.16   0.05  11.58   0.02   9.81   0.01  17.13  0.184  -0.45   0.13  NGC5054            404.1    412.3
2004am      11.56   0.01   8.69   0.00   7.49   0.00   6.59   0.00  15.04  0.608  -3.26   0.37  10.65   0.01   7.81   0.00   6.60   0.00   5.69   0.00  14.13  0.660  -3.51   0.38  10.22   0.01   7.39   0.00   6.13   0.00   5.20   0.00  13.70  0.704  -3.66   0.38  NGC3034            729.7    691.7
2004bv      16.03   0.12  17.72   0.25  16.22   0.13  14.68   0.06  19.51  0.420  -0.16   0.56  15.50   0.11  17.22   0.25  15.69   0.12  14.09   0.06  18.98  0.475   0.03   0.57  15.29   0.13  17.02   0.29  15.48   0.14  13.85   0.07  18.76  0.430   0.06   0.63  NGC6907            404.3    380.8
2004dj      16.14   0.12  12.84   0.03  11.39   0.01   8.63   0.00  19.62  0.910  -2.47   1.43  15.54   0.10  12.21   0.02  10.84   0.01   8.28   0.00  19.01  0.913  -2.66   2.18  15.68   0.14  12.17   0.03  10.62   0.01   8.14   0.00  19.16  0.931  -2.26   2.98  NGC2403            541.7    689.2
2004eo      19.78   0.64  22.18   1.93  20.71   0.98  19.39   0.53  23.25  0.963  -0.46   3.45 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  0.962 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  0.973 -99.00  -9.00  NGC6928            341.0    405.2
2004et      17.89   0.29  15.52   0.10  14.07   0.05  11.84   0.02  21.37 -9.000 -99.00  -9.00  17.67   0.28  15.65   0.11  13.95   0.05  11.69   0.02  21.15 -9.000 -99.00  -9.00  17.24   0.30  15.10   0.11  13.67   0.06  11.24   0.02  20.71 -9.000 -99.00  -9.00  NGC6946            454.4    484.2
2005I       17.31   0.20  20.39   0.83  18.89   0.41  17.38   0.21  20.78  0.547  -0.39   0.52  16.89   0.19  19.98   0.78  18.48   0.39  16.96   0.19  20.36  0.558  -0.23   0.74  16.40   0.20  19.48   0.83  17.98   0.42  16.47   0.21  19.88  0.567  -0.48   1.10  IC983              421.8    361.4
2005V       12.38   0.02  13.25   0.03  11.79   0.02  10.49   0.01  15.86  0.058  -0.40   0.22  11.42   0.02  12.30   0.02  10.82   0.01   9.47   0.01  14.90  0.074  -0.27   0.13  10.90   0.02  11.78   0.02  10.28   0.01   8.90   0.01  14.38  0.093  -0.14   0.13  NGC2146            400.2    407.7
2005ae      14.10   0.05  14.04   0.05  12.64   0.02  11.49   0.01  17.58  0.288  -2.97   0.29  13.14   0.04  13.08   0.04  11.69   0.02  10.54   0.01  16.62  0.326  -3.04   0.31  12.71   0.04  12.65   0.04  11.25   0.02  10.11   0.01  16.18  0.343  -3.07   0.36  E209-G09           393.4    382.6
2005af      18.30   0.32  13.66   0.04  12.11   0.02  10.86   0.01  21.78  1.000 -99.00  -9.00  17.96   0.34  13.26   0.04  11.57   0.02  10.37   0.01  21.44  1.000 -99.00  -9.00  17.59   0.37  12.70   0.04  11.27   0.02  10.02   0.01  21.07  1.000 -99.00  -9.00  NGC4945           1623.1    845.8
2005at      16.15   0.12  18.38   0.33  18.38   0.33  18.38   0.33  19.62  0.463  -0.40   0.29  15.50   0.11  17.76   0.31  17.76   0.31  17.76   0.31  18.98  0.497  -0.54   0.39  15.46   0.14  17.72   0.39  17.72   0.39  17.72   0.39  18.94  0.487  -0.28   0.45  NGC6744            651.9   1022.8
2005ay      16.60   0.14  16.05   0.10  14.57   0.05  13.15   0.03  20.08  0.582  -0.09   0.34  16.17   0.13  15.61   0.10  14.18   0.05  12.80   0.03  19.65  0.682  -0.04   0.55  15.98   0.16  15.40   0.12  13.82   0.06  12.26   0.03  19.46  0.614   0.12   0.52  NGC3938            616.4    545.2
2005cb      15.69   0.10  17.48   0.24  15.98   0.12  14.48   0.06  19.17  0.564   0.61   0.16  15.02   0.09  16.82   0.21  15.31   0.10  13.80   0.05  18.50  0.590   0.64   0.16  14.57   0.09  16.34   0.21  14.85   0.11  13.40   0.05  18.05  0.599   0.46   0.18  NGC6753            412.0    428.6
2005cc      13.58   0.04  14.82   0.06  13.36   0.03  12.03   0.02  17.05  0.093  -0.69   0.25  12.83   0.03  14.07   0.05  12.61   0.03  11.29   0.01  16.30  0.101  -0.76   0.26  12.50   0.03  13.74   0.06  12.28   0.03  10.95   0.02  15.98  0.105  -0.74   0.26  NGC5383            400.0    394.6
2005cs      14.87   0.07  13.08   0.03  11.67   0.02  10.28   0.01  18.35  0.364  -0.46   0.28  14.14   0.05  12.37   0.02  10.98   0.01   9.59   0.01  17.62  0.343  -0.51   0.30  13.88   0.06  12.10   0.03  10.71   0.01   9.34   0.01  17.36  0.388  -0.55   0.34  NGC5194            532.9    692.4
2005cz      13.87   0.04  14.19   0.05  12.66   0.02  11.02   0.01  17.35  0.352  -0.38   0.10  13.20   0.03  13.52   0.04  11.98   0.02  10.33   0.01  16.68  0.347  -0.35   0.10  12.94   0.04  13.26   0.05  11.73   0.02  10.08   0.01  16.42  0.359  -0.38   0.11  NGC4589            488.9    494.0
2005mz      16.22   0.12  19.11   0.47  17.60   0.23  16.06   0.12  19.70  0.532  -0.28   0.28  15.28   0.09  18.13   0.33  16.62   0.17  15.12   0.08  18.76  0.552  -0.53   0.35  14.97   0.10  17.80   0.38  16.30   0.19  14.82   0.10  18.45  0.539  -0.51   0.38  NGC1275            581.2    577.0
2006G       16.97   0.17  19.60   0.56  18.11   0.28  16.65   0.14  20.44  0.754  -0.49   0.63  17.20   0.25  20.04   0.94  18.49   0.46  16.81   0.21  20.67  0.808   0.32   1.05  16.08   0.17  18.81   0.60  17.29   0.30  15.73   0.15  19.55  0.725  -0.41   0.95  NGC521             270.0    264.0
2006X       15.72   0.10  15.74   0.10  14.17   0.05  12.70   0.02  19.20  0.286  -0.18   0.25  15.25   0.09  15.26   0.09  13.66   0.04  12.14   0.02  18.73  0.290  -0.04   0.31  14.94   0.10  14.96   0.10  13.38   0.05  11.86   0.02  18.42  0.309  -0.08   0.34  NGC4321            813.5    752.9
2006bp      17.03   0.17  16.98   0.17  15.50   0.08  14.02   0.04  20.50  0.843  -0.88   0.57  16.26   0.14  16.22   0.14  14.84   0.07  13.52   0.04  19.74  0.876  -1.18   0.89  16.11   0.17  16.07   0.17  14.65   0.09  13.39   0.05  19.59  0.871  -1.01   0.95  NGC3953            338.0    493.5
2006by      14.47   0.06  17.67   0.25  16.16   0.12  14.62   0.06  17.95  0.278  -0.77   0.42  13.74   0.05  16.95   0.20  15.44   0.10  13.89   0.05  17.22  0.283  -0.78   0.44  13.40   0.05  16.61   0.23  15.10   0.11  13.55   0.06  16.87  0.329  -0.79   0.53  NGC5149            500.9    494.6
2006ce      18.32   0.34  18.36   0.34  16.63   0.15  14.95   0.07  21.80  1.000 -99.00  -9.00  16.99   0.23  17.02   0.23  15.62   0.12  14.23   0.06  20.47  1.000 -99.00  -9.00  16.64   0.24  16.67   0.25  15.11   0.12  13.74   0.06  20.12  1.000 -99.00  -9.00  NGC908             541.6    374.0
2006dd      13.03   0.03  13.11   0.03  11.58   0.01   9.93   0.01  16.50  0.299  -0.43   0.10  12.38   0.03  12.46   0.03  10.93   0.01   9.29   0.01  15.86  0.327  -0.44   0.10  12.13   0.03  12.21   0.03  10.67   0.02   9.01   0.01  15.61  0.322  -0.44   0.10  NGC1316            801.7    817.1
2006mq      18.07   0.32  17.84   0.29  16.24   0.14  13.68   0.04  21.55  0.768  -0.33   1.39  17.91   0.35  17.65   0.31  15.64   0.12  13.18   0.04  21.39  0.797   0.19   1.31  16.04   0.19  15.83   0.17  14.53   0.09  12.82   0.04  19.52  0.777  -1.19   1.50  E494-G26           383.3    276.3
2006mr      12.25   0.02  12.33   0.02  10.79   0.01   9.16   0.00  15.72  0.249  -0.85   0.11  11.58   0.02  11.66   0.02  10.13   0.01   8.49   0.00  15.06  0.273  -0.88   0.11  11.33   0.02  11.42   0.02   9.87   0.01   8.22   0.00  14.81  0.269  -0.86   0.11  NGC1316            787.1    801.6
2006ov      15.19   0.08  15.94   0.12  14.43   0.06  12.91   0.03  18.67  0.488  -0.25   0.30  14.42   0.07  15.16   0.10  13.68   0.05  12.20   0.03  17.90  0.502  -0.40   0.32  14.22   0.08  14.97   0.11  13.47   0.06  11.97   0.03  17.70  0.512  -0.33   0.35  NGC4303            394.4    452.1
2007Y      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  0.975 -99.00  -9.00  17.92   0.34  18.01   0.36  16.94   0.22 -99.00  -9.00  21.39  0.996  -3.14  45.85  17.48   0.36  17.60   0.38  15.87   0.17  14.64   0.10  20.95  0.977  -1.89  11.29  NGC1187            423.3    291.9
2007cj      13.99   0.05  15.53   0.09  14.05   0.05  12.63   0.02  17.47  0.015  -1.80   0.34  12.99   0.04  14.52   0.07  13.05   0.04  11.68   0.02  16.47  0.019  -1.81   0.34  12.50   0.04  14.02   0.07  12.56   0.04  11.23   0.02  15.98  0.022  -1.85   0.43  IC2531             395.8    399.2
2007gi      14.34   0.05  14.67   0.06  13.17   0.03  11.69   0.02  17.82  0.836  -3.01   0.27  13.62   0.04  13.95   0.05  12.46   0.02  10.98   0.01  17.10  0.843  -3.09   0.40  13.43   0.05  13.77   0.06  12.27   0.03  10.78   0.02  16.91  0.855  -3.01   0.42  NGC4036            325.2    290.7
2007it      15.45   0.09  15.54   0.09  14.04   0.05  12.59   0.02  18.92  0.592  -1.58   0.29  14.86   0.08  14.95   0.09  13.44   0.04  11.93   0.02  18.34  0.615  -1.49   0.29  14.70   0.10  14.79   0.10  13.25   0.05  11.70   0.02  18.18  0.639  -1.48   0.51  NGC5530            317.4    325.1
2007oc     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  0.062 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  0.066 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  0.074 -99.00  -9.00  NGC7418A           -99.0    -99.0
2008S       16.89   0.18  14.70   0.07  13.08   0.03   9.89   0.01  20.37  0.728  -0.07   0.56  16.22   0.14  14.16   0.06  12.66   0.03   9.95   0.01  19.70  0.698  -0.40   0.62  16.06   0.18  13.85   0.06  12.21   0.03   9.54   0.01  19.54  0.734  -0.00   0.73  NGC6946            753.1    404.1
2008aw      17.14   0.18  18.70   0.38  17.20   0.19  15.69   0.09  20.62  0.787  -0.59   0.72  16.68   0.19  18.26   0.39  16.74   0.20  15.21   0.10  20.16  0.822  -0.63   1.09  16.61   0.23  18.11   0.47  16.66   0.24  15.25   0.13  20.09  0.813  -0.43   1.54  NGC4939            403.5    470.9
2008ax      15.44   0.08  14.00   0.04  12.46   0.02  10.98   0.01  18.91  0.511  -1.01   0.31  14.84   0.09  13.40   0.04  11.86   0.02  10.38   0.01  18.31  0.530  -1.01   0.33  14.68   0.09  13.22   0.05  11.63   0.02  10.11   0.01  18.16  0.512  -0.86   0.37  NGC4490            347.8    481.0
