# XSC_SNAN run on Thu Aug  7 12:53:34 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
2001em      15.81   0.11  18.80   0.43  17.30   0.21  15.81   0.11  19.29 -9.000 -99.00  -9.00  15.10   0.08  18.10   0.34  16.59   0.17  15.10   0.08  18.58 -9.000 -99.00  -9.00  14.75   0.10  17.74   0.38  16.23   0.19  14.76   0.10  18.23 -9.000 -99.00  -9.00  UGC11794            65.7     73.5
2001ep      16.21   0.12  18.47   0.35  16.97   0.17  15.48   0.09  19.69 -9.000 -99.00  -9.00  15.63   0.12  17.88   0.33  16.38   0.17  14.91   0.09  19.11 -9.000 -99.00  -9.00  15.56   0.15  17.84   0.42  16.33   0.21  14.81   0.10  19.04 -9.000 -99.00  -9.00  NGC1699             42.6     36.4
2001fa      16.13   0.12  18.98   0.44  17.47   0.22  15.94   0.11  19.61 -9.000 -99.00  -9.00  15.44   0.11  18.26   0.40  16.76   0.20  15.25   0.10  18.92 -9.000 -99.00  -9.00  15.20   0.12  18.04   0.45  16.54   0.23  15.01   0.11  18.68 -9.000 -99.00  -9.00  NGC673              96.5    109.8
2001fe      16.25   0.13  18.77   0.41  17.26   0.20  15.75   0.10  19.73 -9.000 -99.00  -9.00  15.68   0.11  18.24   0.35  16.72   0.17  15.16   0.08  19.16 -9.000 -99.00  -9.00  15.16   0.11  17.67   0.36  16.17   0.18  14.66   0.09  18.64 -9.000 -99.00  -9.00  UGC5129             62.7     50.4
2001ff      14.67   0.06  17.10   0.18  15.61   0.09  14.16   0.05  18.15 -9.000 -99.00  -9.00  13.96   0.05  16.40   0.15  14.90   0.08  13.45   0.04  17.44 -9.000 -99.00  -9.00  13.65   0.06  16.09   0.17  14.59   0.09  13.14   0.04  17.13 -9.000 -99.00  -9.00  UGC4685             55.1     56.2
2001fh      13.37   0.04  15.48   0.09  13.98   0.05  12.51   0.02  16.85 -9.000 -99.00  -9.00  12.49   0.03  14.61   0.07  13.11   0.03  11.64   0.02  15.97 -9.000 -99.00  -9.00  12.16   0.03  14.27   0.08  12.77   0.04  11.29   0.02  15.63 -9.000 -99.00  -9.00  PGC0066592         124.8    119.1
2001fu      16.49   0.15  17.32   0.22  15.84   0.11  14.34   0.06  19.97 -9.000 -99.00  -9.00  15.77   0.13  16.61   0.19  15.11   0.10  13.64   0.05  19.25 -9.000 -99.00  -9.00  15.39   0.14  16.23   0.20  14.72   0.10  13.26   0.05  18.87 -9.000 -99.00  -9.00  M-03-23-11         115.2    100.5
2001fv      16.76   0.16  17.25   0.20  15.71   0.10  14.14   0.05  20.24 -9.000 -99.00  -9.00  16.08   0.13  16.56   0.16  15.03   0.08  13.45   0.04  19.56 -9.000 -99.00  -9.00  16.10   0.18  16.58   0.22  15.03   0.11  13.37   0.05  19.58 -9.000 -99.00  -9.00  NGC3512             91.6     57.1
2001gc      14.89   0.06  18.06   0.28  16.56   0.14  15.01   0.07  18.37 -9.000 -99.00  -9.00  14.10   0.06  17.28   0.26  15.77   0.13  14.22   0.06  17.58 -9.000 -99.00  -9.00  13.79   0.06  16.97   0.26  15.47   0.13  13.91   0.06  17.27 -9.000 -99.00  -9.00  UGC3375             81.3     85.2
2001hg      16.81   0.16  17.62   0.23  16.12   0.11  14.66   0.06  20.28 -9.000 -99.00  -9.00  16.05   0.15  16.84   0.21  15.39   0.11  14.04   0.06  19.53 -9.000 -99.00  -9.00  15.59   0.14  16.39   0.20  14.93   0.10  13.57   0.05  19.07 -9.000 -99.00  -9.00  NGC4162             70.2     44.1
2002A       15.72   0.10  17.37   0.21  15.87   0.10  14.37   0.05  19.20 -9.000 -99.00  -9.00  15.09   0.08  16.75   0.18  15.24   0.09  13.73   0.04  18.57 -9.000 -99.00  -9.00  14.77   0.09  16.42   0.20  14.91   0.10  13.41   0.05  18.24 -9.000 -99.00  -9.00  UGC3804             82.9     75.2
2002D       16.46   0.14  19.36   0.52  17.85   0.26  16.32   0.13  19.94 -9.000 -99.00  -9.00  16.24   0.15  19.21   0.60  17.69   0.30  16.08   0.14  19.71 -9.000 -99.00  -9.00  16.28   0.20  19.27   0.79  17.75   0.39  16.11   0.18  19.75 -9.000 -99.00  -9.00  NGC594              35.3     50.5
2002J       16.18   0.12  18.57   0.37  17.07   0.18  15.55   0.09  19.66 -9.000 -99.00  -9.00  15.34   0.10  17.70   0.31  16.21   0.15  14.73   0.08  18.82 -9.000 -99.00  -9.00  15.25   0.13  17.60   0.37  16.11   0.19  14.65   0.10  18.73 -9.000 -99.00  -9.00  NGC3464            131.0    113.1
2002an      19.41   0.51  22.66   2.27  20.71   0.93  18.43   0.32  22.89 -9.000 -99.00  -9.00  18.06   0.37  20.29   1.04  18.84   0.53  17.54   0.29  21.54 -9.000 -99.00  -9.00  18.47   0.51  21.31   1.88  19.59   0.86  17.63   0.35  21.95 -9.000 -99.00  -9.00  NGC2575             53.5     84.3
2002at      14.33   0.06  17.64   0.26  16.13   0.13  14.62   0.07  17.81 -9.000 -99.00  -9.00  13.64   0.05  16.95   0.22  15.44   0.11  13.93   0.06  17.12 -9.000 -99.00  -9.00  13.30   0.05  16.60   0.24  15.10   0.12  13.59   0.06  16.78 -9.000 -99.00  -9.00  NGC3720             42.7     42.3
2002au      16.55   0.16  19.69   0.68  18.18   0.34  16.68   0.17  20.03 -9.000 -99.00  -9.00  15.84   0.13  19.00   0.58  17.49   0.29  15.97   0.14  19.32 -9.000 -99.00  -9.00  15.23   0.13  18.34   0.54  16.83   0.27  15.36   0.14  18.71 -9.000 -99.00  -9.00  UGC5100             90.2     61.5
2002bf      14.96   0.07  18.63   0.36  17.11   0.18  15.60   0.09  18.44 -9.000 -99.00  -9.00  14.31   0.06  17.99   0.31  16.47   0.15  14.96   0.08  17.79 -9.000 -99.00  -9.00  13.98   0.07  17.64   0.36  16.13   0.18  14.62   0.09  17.46 -9.000 -99.00  -9.00  CGCG266-031         44.6     48.6
2002bh      18.54   0.40  21.79   1.80  20.23   0.88  18.55   0.41  22.01 -9.000 -99.00  -9.00  17.46   0.28  20.52   1.16  19.00   0.58  17.48   0.29  20.94 -9.000 -99.00  -9.00  17.57   0.38  20.57   1.51  19.07   0.76  17.59   0.38  21.05 -9.000 -99.00  -9.00  UGC5286             64.0     47.0
2002bm      16.70   0.17  19.81   0.70  18.31   0.35  16.82   0.18  20.18 -9.000 -99.00  -9.00  16.21   0.16  19.33   0.67  17.83   0.34  16.33   0.17  19.69 -9.000 -99.00  -9.00  15.86   0.17  18.99   0.73  17.48   0.36  15.98   0.18  19.34 -9.000 -99.00  -9.00  M-01-32-19          99.0    126.2
2002bs      14.82   0.07  16.63   0.16  15.16   0.08  13.77   0.04  18.30 -9.000 -99.00  -9.00  14.10   0.06  15.91   0.14  14.44   0.07  13.06   0.04  17.58 -9.000 -99.00  -9.00  13.77   0.07  15.58   0.15  14.11   0.08  12.73   0.04  17.25 -9.000 -99.00  -9.00  IC4221              93.7     93.1
2002ca      15.79   0.11  17.87   0.28  16.37   0.14  14.90   0.07  19.27 -9.000 -99.00  -9.00  15.11   0.09  17.19   0.25  15.69   0.12  14.21   0.06  18.59 -9.000 -99.00  -9.00  15.03   0.12  17.14   0.31  15.63   0.15  14.10   0.08  18.51 -9.000 -99.00  -9.00  UGC8521             48.9     51.0
2002cd      15.86   0.10  17.96   0.27  16.45   0.13  14.92   0.07  19.33 -9.000 -99.00  -9.00  15.13   0.10  17.24   0.26  15.73   0.13  14.19   0.06  18.61 -9.000 -99.00  -9.00  14.89   0.10  16.99   0.26  15.48   0.13  13.96   0.06  18.37 -9.000 -99.00  -9.00  NGC6916            100.3    119.8
2002ce      16.80   0.16  17.96   0.27  16.44   0.13  14.93   0.07  20.28 -9.000 -99.00  -9.00  16.01   0.13  17.13   0.21  15.68   0.11  14.31   0.06  19.49 -9.000 -99.00  -9.00  16.08   0.17  17.23   0.29  15.72   0.15  14.18   0.07  19.56 -9.000 -99.00  -9.00  NGC2604            123.5     93.0
2002cp     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC3074            169.9    128.8
2002cr      18.33   0.34  20.35   0.86  18.88   0.44  17.57   0.24  21.81 -9.000 -99.00  -9.00  18.46   0.44  20.44   1.09  19.00   0.56  17.71   0.31  21.94 -9.000 -99.00  -9.00  16.72   0.25  18.69   0.62  17.25   0.32  15.98   0.18  20.19 -9.000 -99.00  -9.00  NGC5468             61.5    151.5
2002cw      17.25   0.20  19.86   0.67  18.33   0.33  16.77   0.16  20.73 -9.000 -99.00  -9.00  16.36   0.15  18.96   0.50  17.44   0.25  15.89   0.12  19.84 -9.000 -99.00  -9.00  15.83   0.16  18.38   0.50  16.88   0.25  15.38   0.13  19.31 -9.000 -99.00  -9.00  NGC6700            132.5    123.7
2002dj      13.29   0.03  15.38   0.09  13.86   0.04  12.33   0.02  16.77 -9.000 -99.00  -9.00  12.62   0.03  14.71   0.08  13.19   0.04  11.67   0.02  16.10 -9.000 -99.00  -9.00  12.31   0.03  14.39   0.09  12.88   0.04  11.35   0.02  15.79 -9.000 -99.00  -9.00  NGC5018            139.3    127.2
2002dk      18.46   0.33  21.33   1.26  19.86   0.64  18.44   0.33  21.94 -9.000 -99.00  -9.00  18.92   0.48  22.94   3.08  21.11   1.32  18.89   0.48  22.40 -9.000 -99.00  -9.00  16.74   0.24  19.67   0.91  18.19   0.46  16.72   0.23  20.22 -9.000 -99.00  -9.00  NGC6616             47.4    115.8
2002dp      17.12   0.18  18.57   0.36  17.02   0.17  15.44   0.08  20.60 -9.000 -99.00  -9.00  16.14   0.15  17.50   0.29  16.05   0.15  14.70   0.08  19.62 -9.000 -99.00  -9.00  16.25   0.18  17.65   0.35  16.16   0.18  14.69   0.09  19.73 -9.000 -99.00  -9.00  NGC7678             93.1    146.5
2002dq      17.37   0.22  18.40   0.36  16.95   0.18  15.58   0.10  20.85 -9.000 -99.00  -9.00  17.47   0.28  18.47   0.45  17.06   0.24  15.52   0.12  20.95 -9.000 -99.00  -9.00  17.10   0.31  18.26   0.52  16.58   0.24  14.70   0.10  20.58 -9.000 -99.00  -9.00  NGC7051             84.2     82.5
2002dz      15.88   0.11  18.69   0.40  17.19   0.20  15.71   0.10  19.36 -9.000 -99.00  -9.00  15.28   0.10  18.09   0.36  16.60   0.18  15.11   0.09  18.76 -9.000 -99.00  -9.00  15.07   0.11  17.90   0.42  16.40   0.21  14.89   0.11  18.55 -9.000 -99.00  -9.00  M-01-01-52          61.8     46.6
2002ea      14.03   0.05  16.44   0.14  14.94   0.07  13.45   0.03  17.51 -9.000 -99.00  -9.00  13.28   0.04  15.69   0.11  14.19   0.06  12.69   0.03  16.76 -9.000 -99.00  -9.00  12.98   0.04  15.39   0.13  13.89   0.06  12.39   0.03  16.46 -9.000 -99.00  -9.00  NGC820              58.5     53.8
2002ed      17.30   0.21  19.36   0.54  17.88   0.27  16.47   0.14  20.78 -9.000 -99.00  -9.00  16.66   0.19  18.72   0.49  17.24   0.25  15.82   0.13  20.14 -9.000 -99.00  -9.00  16.37   0.21  18.46   0.55  16.96   0.28  15.49   0.14  19.85 -9.000 -99.00  -9.00  NGC5468             52.1     85.4
2002ee      18.33   0.34  22.01   1.83  20.53   0.92  19.09   0.48  21.81 -9.000 -99.00  -9.00  17.44   0.25  21.39   1.53  19.92   0.78  18.37   0.38  20.92 -9.000 -99.00  -9.00  16.64   0.23  20.41   1.29  18.93   0.65  17.46   0.33  20.12 -9.000 -99.00  -9.00  NGC5772             62.6    122.1
2002eh      14.68   0.06  17.56   0.22  16.05   0.11  14.54   0.05  18.16 -9.000 -99.00  -9.00  13.98   0.05  16.87   0.19  15.37   0.09  13.85   0.05  17.46 -9.000 -99.00  -9.00  13.66   0.06  16.56   0.21  15.05   0.11  13.53   0.05  17.14 -9.000 -99.00  -9.00  NGC917              73.5     83.8
2002ej      15.66   0.10  18.37   0.34  16.88   0.17  15.39   0.09  19.14 -9.000 -99.00  -9.00  15.05   0.08  17.77   0.29  16.27   0.14  14.78   0.07  18.53 -9.000 -99.00  -9.00  14.59   0.09  17.30   0.31  15.81   0.15  14.33   0.08  18.07 -9.000 -99.00  -9.00  NGC6324             55.6     40.5
2002er      15.74   0.10  17.56   0.23  16.07   0.12  14.60   0.06  19.22 -9.000 -99.00  -9.00  15.07   0.09  16.89   0.21  15.40   0.10  13.94   0.05  18.55 -9.000 -99.00  -9.00  14.81   0.10  16.62   0.23  15.14   0.12  13.67   0.06  18.29 -9.000 -99.00  -9.00  UGC10743            78.9     70.5
2002fj      16.30   0.14  18.92   0.48  17.43   0.24  15.95   0.12  19.78 -9.000 -99.00  -9.00  15.68   0.13  18.38   0.44  16.86   0.22  15.30   0.11  19.16 -9.000 -99.00  -9.00  15.59   0.15  18.28   0.53  16.76   0.26  15.21   0.13  19.06 -9.000 -99.00  -9.00  NGC2642            113.9    104.8
2002fk      15.23   0.08  16.06   0.11  14.55   0.06  12.99   0.03  18.71 -9.000 -99.00  -9.00  14.58   0.07  15.42   0.10  13.90   0.05  12.34   0.03  18.06 -9.000 -99.00  -9.00  14.49   0.09  15.35   0.13  13.78   0.06  12.12   0.03  17.97 -9.000 -99.00  -9.00  NGC1309            106.2     91.1
2002gw      17.82   0.26  19.40   0.53  17.93   0.27  16.53   0.14  21.30 -9.000 -99.00  -9.00  16.95   0.22  18.55   0.46  17.07   0.23  15.62   0.12  20.43 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  17.94   0.44 -99.00 -9.000 -99.00  -9.00  NGC922             107.5     54.9
2002ha      16.69   0.16  18.96   0.45  17.46   0.22  15.99   0.11  20.17 -9.000 -99.00  -9.00  16.08   0.14  18.36   0.41  16.86   0.20  15.36   0.10  19.56 -9.000 -99.00  -9.00  15.77   0.16  18.00   0.44  16.52   0.22  15.09   0.12  19.25 -9.000 -99.00  -9.00  NGC6962            117.6     80.6
2002hf      16.31   0.12  19.24   0.48  17.74   0.24  16.24   0.12  19.79 -9.000 -99.00  -9.00  15.75   0.12  18.72   0.48  17.21   0.24  15.68   0.12  19.23 -9.000 -99.00  -9.00  15.43   0.13  18.37   0.52  16.87   0.26  15.36   0.13  18.91 -9.000 -99.00  -9.00  M-05-03-20          63.2     58.3
2002hg      15.03   0.07  16.98   0.18  15.43   0.09  13.81   0.04  18.51 -9.000 -99.00  -9.00  14.36   0.06  16.31   0.15  14.76   0.07  13.13   0.03  17.84 -9.000 -99.00  -9.00  13.99   0.07  15.95   0.17  14.39   0.08  12.75   0.04  17.47 -9.000 -99.00  -9.00  NGC3306             42.3     52.1
2002hk      16.06   0.11  19.17   0.48  17.67   0.24  16.18   0.12  19.53 -9.000 -99.00  -9.00  15.38   0.09  18.51   0.39  17.00   0.20  15.51   0.10  18.86 -9.000 -99.00  -9.00  15.18   0.11  18.30   0.48  16.79   0.24  15.31   0.12  18.66 -9.000 -99.00  -9.00  M+07-15-06          44.7     41.6
2002hl      16.81   0.16  17.96   0.27  16.46   0.14  14.96   0.07  20.29 -9.000 -99.00  -9.00  16.21   0.14  17.36   0.24  15.86   0.12  14.37   0.06  19.69 -9.000 -99.00  -9.00  15.99   0.17  17.15   0.29  15.63   0.14  14.08   0.07  19.47 -9.000 -99.00  -9.00  NGC3665            186.1    162.0
2002hm      16.44   0.13  18.63   0.36  17.13   0.18  15.65   0.09  19.92 -9.000 -99.00  -9.00  16.10   0.13  18.36   0.37  16.83   0.18  15.25   0.09  19.58 -9.000 -99.00  -9.00  15.76   0.15  17.95   0.41  16.45   0.20  14.98   0.10  19.23 -9.000 -99.00  -9.00  NGC4016             28.7     37.0
2002hn      14.59   0.06  17.60   0.24  16.08   0.12  14.58   0.06  18.07 -9.000 -99.00  -9.00  13.88   0.05  16.88   0.19  15.37   0.10  13.86   0.05  17.35 -9.000 -99.00  -9.00  13.49   0.05  16.49   0.21  14.98   0.11  13.47   0.05  16.96 -9.000 -99.00  -9.00  NGC2532             93.1     86.0
2002ho      15.79   0.10  17.38   0.22  15.88   0.11  14.42   0.06  19.27 -9.000 -99.00  -9.00  15.21   0.09  16.80   0.18  15.30   0.09  13.81   0.05  18.69 -9.000 -99.00  -9.00  15.11   0.11  16.72   0.24  15.20   0.12  13.67   0.06  18.59 -9.000 -99.00  -9.00  NGC4210             73.3     73.5
2002hw      15.66   0.10  18.43   0.37  16.93   0.18  15.42   0.09  19.14 -9.000 -99.00  -9.00  14.86   0.09  17.62   0.32  16.11   0.16  14.61   0.08  18.34 -9.000 -99.00  -9.00  14.76   0.10  17.56   0.34  16.04   0.17  14.51   0.08  18.24 -9.000 -99.00  -9.00  UGC52               65.1     64.9
2002hy      16.18   0.12  18.57   0.37  17.06   0.18  15.55   0.09  19.66 -9.000 -99.00  -9.00  15.56   0.11  17.97   0.35  16.45   0.17  14.92   0.08  19.04 -9.000 -99.00  -9.00  15.57   0.15  18.06   0.46  16.51   0.22  14.87   0.11  19.05 -9.000 -99.00  -9.00  NGC3464            119.5    125.5
2002ji      16.21   0.12  16.80   0.15  15.26   0.07  13.65   0.04  19.69 -9.000 -99.00  -9.00  15.56   0.12  16.14   0.15  14.61   0.08  12.95   0.04  19.03 -9.000 -99.00  -9.00  15.27   0.12  15.86   0.15  14.31   0.08  12.72   0.04  18.75 -9.000 -99.00  -9.00  NGC3655            109.6     73.3
2002jj      15.53   0.09  17.84   0.26  16.35   0.13  14.90   0.07  19.01 -9.000 -99.00  -9.00  14.94   0.09  17.25   0.25  15.76   0.13  14.31   0.07  18.42 -9.000 -99.00  -9.00  14.52   0.09  16.84   0.27  15.35   0.13  13.89   0.07  18.00 -9.000 -99.00  -9.00  IC340               67.6     72.6
2002jm      15.36   0.09  18.51   0.38  17.01   0.19  15.47   0.09  18.84 -9.000 -99.00  -9.00  14.57   0.07  17.71   0.32  16.21   0.16  14.68   0.08  18.05 -9.000 -99.00  -9.00  14.40   0.09  17.56   0.38  16.06   0.19  14.51   0.09  17.88 -9.000 -99.00  -9.00  IC603               45.6     55.8
2002jo      15.57   0.09  17.20   0.19  15.71   0.10  14.23   0.05  19.05 -9.000 -99.00  -9.00  14.94   0.09  16.58   0.19  15.08   0.10  13.60   0.05  18.42 -9.000 -99.00  -9.00  14.70   0.09  16.34   0.19  14.84   0.10  13.35   0.05  18.18 -9.000 -99.00  -9.00  NGC5708             90.2     82.2
2002jp     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC3313            133.6      2.9
2002jy      20.08   0.69  25.21   7.34  22.88   2.50  20.17   0.72  23.56 -9.000 -99.00  -9.00  17.20   0.25  20.14   0.97  18.65   0.49  17.24   0.26  20.68 -9.000 -99.00  -9.00  17.35   0.31  20.39   1.24  18.88   0.62  17.39   0.31  20.83 -9.000 -99.00  -9.00  NGC477             121.8    113.7
2002jz      16.34   0.13  16.47   0.14  15.03   0.07  13.77   0.04  19.82 -9.000 -99.00  -9.00  15.64   0.11  15.77   0.11  14.35   0.06  13.08   0.03  19.12 -9.000 -99.00  -9.00  15.55   0.14  15.68   0.15  14.23   0.07  12.91   0.04  19.03 -9.000 -99.00  -9.00  UGC2984             77.3     67.2
2003C       15.92   0.11  18.73   0.40  17.22   0.20  15.70   0.10  19.40 -9.000 -99.00  -9.00  15.21   0.10  18.01   0.36  16.51   0.18  14.99   0.09  18.69 -9.000 -99.00  -9.00  15.09   0.12  17.90   0.43  16.40   0.22  14.87   0.11  18.57 -9.000 -99.00  -9.00  UGC439              58.8     52.3
2003F       16.03   0.11  18.88   0.42  17.38   0.21  15.89   0.11  19.51 -9.000 -99.00  -9.00  15.45   0.10  18.35   0.37  16.84   0.19  15.31   0.09  18.93 -9.000 -99.00  -9.00  15.00   0.11  17.87   0.40  16.37   0.20  14.86   0.10  18.47 -9.000 -99.00  -9.00  UGC3261             63.7     78.0
2003G       16.41   0.13  18.30   0.32  16.80   0.16  15.30   0.08  19.88 -9.000 -99.00  -9.00  15.69   0.12  17.57   0.29  16.08   0.14  14.60   0.07  19.17 -9.000 -99.00  -9.00  15.65   0.15  17.54   0.36  16.04   0.18  14.53   0.09  19.13 -9.000 -99.00  -9.00  IC208               86.1    102.4
2003I       16.64   0.16  19.81   0.71  18.28   0.35  16.71   0.17  20.12 -9.000 -99.00  -9.00  15.95   0.14  19.14   0.62  17.61   0.30  16.02   0.15  19.43 -9.000 -99.00  -9.00  15.35   0.14  18.47   0.57  16.95   0.28  15.42   0.14  18.83 -9.000 -99.00  -9.00  IC2481              32.0     40.6
2003O       16.91   0.17  19.65   0.59  18.14   0.29  16.63   0.15  20.39 -9.000 -99.00  -9.00  15.97   0.12  18.67   0.43  17.17   0.22  15.69   0.11  19.45 -9.000 -99.00  -9.00  15.80   0.15  18.50   0.53  17.00   0.26  15.52   0.13  19.28 -9.000 -99.00  -9.00  UGC2798             98.5     67.9
2003Y       16.74   0.15  19.61   0.58  18.12   0.29  16.62   0.15  20.22 -9.000 -99.00  -9.00  16.52   0.18  19.47   0.72  17.96   0.36  16.40   0.17  20.00 -9.000 -99.00  -9.00  15.73   0.15  18.62   0.55  17.12   0.28  15.62   0.14  19.21 -9.000 -99.00  -9.00  IC522               51.6     68.9
2003Z       16.69   0.15  16.78   0.16  15.31   0.08  13.91   0.04  20.17 -9.000 -99.00  -9.00  16.33   0.17  16.42   0.18  14.88   0.09  13.40   0.04  19.80 -9.000 -99.00  -9.00  15.75   0.15  15.83   0.15  14.45   0.08  13.13   0.04  19.23 -9.000 -99.00  -9.00  NGC2742            158.9    183.1
2003aa      16.67   0.14  18.67   0.36  17.15   0.18  15.61   0.09  20.15 -9.000 -99.00  -9.00  15.92   0.12  17.92   0.30  16.40   0.15  14.84   0.07  19.40 -9.000 -99.00  -9.00  15.77   0.15  17.78   0.38  16.26   0.19  14.69   0.09  19.25 -9.000 -99.00  -9.00  NGC3367            115.1    170.7
2003am      16.40   0.13  16.64   0.15  15.22   0.08  13.94   0.04  19.88 -9.000 -99.00  -9.00  15.50   0.11  15.75   0.12  14.36   0.07  13.12   0.04  18.98 -9.000 -99.00  -9.00  15.24   0.13  15.49   0.14  14.07   0.07  12.81   0.04  18.72 -9.000 -99.00  -9.00  E576-G40            76.4     84.4
2003ao      14.77   0.06  16.35   0.13  14.82   0.07  13.25   0.03  18.25 -9.000 -99.00  -9.00  14.13   0.06  15.72   0.13  14.18   0.06  12.60   0.03  17.61 -9.000 -99.00  -9.00  13.84   0.07  15.44   0.14  13.89   0.07  12.30   0.03  17.32 -9.000 -99.00  -9.00  NGC2993             43.0     37.0
2003aq      17.41   0.21  20.47   0.86  18.98   0.43  17.48   0.22  20.89 -9.000 -99.00  -9.00  17.37   0.24  20.48   0.98  18.97   0.49  17.44   0.24  20.85 -9.000 -99.00  -9.00  16.99   0.26  20.19   1.15  18.66   0.57  17.07   0.27  20.47 -9.000 -99.00  -9.00  NGC5490C            27.3     40.8
2003bg      18.02   0.30  17.94   0.29  16.18   0.13  14.67   0.06  21.50 -9.000 -99.00  -9.00  16.68   0.20  16.61   0.19  15.14   0.10  13.76   0.05  20.16 -9.000 -99.00  -9.00  17.20   0.32  17.12   0.31  15.43   0.14  13.88   0.07  20.68 -9.000 -99.00  -9.00  M-05-10-15          77.1     39.8
2003bj      15.95   0.11  18.21   0.32  16.72   0.16  15.27   0.08  19.42 -9.000 -99.00  -9.00  15.28   0.10  17.54   0.28  16.05   0.14  14.60   0.07  18.75 -9.000 -99.00  -9.00  14.91   0.11  17.16   0.30  15.68   0.15  14.24   0.08  18.39 -9.000 -99.00  -9.00  IC4219              81.3     86.7
2003bl      16.41   0.15  19.14   0.52  17.60   0.26  16.04   0.12  19.89 -9.000 -99.00  -9.00  15.86   0.14  18.63   0.48  17.07   0.24  15.47   0.11  19.34 -9.000 -99.00  -9.00  15.31   0.13  17.99   0.46  16.47   0.23  14.95   0.11  18.79 -9.000 -99.00  -9.00  NGC5374             57.7     60.7
2003bp      16.30   0.12  19.55   0.55  18.05   0.27  16.55   0.14  19.78 -9.000 -99.00  -9.00  15.48   0.10  18.74   0.44  17.23   0.22  15.73   0.11  18.96 -9.000 -99.00  -9.00  15.19   0.12  18.45   0.52  16.95   0.26  15.44   0.13  18.66 -9.000 -99.00  -9.00  NGC2596             53.4     83.5
2003br      15.30   0.08  17.64   0.24  16.13   0.12  14.62   0.06  18.78 -9.000 -99.00  -9.00  14.59   0.07  16.94   0.22  15.43   0.11  13.90   0.05  18.07 -9.000 -99.00  -9.00  14.30   0.08  16.66   0.24  15.14   0.12  13.62   0.06  17.78 -9.000 -99.00  -9.00  M-05-34-18          82.6     74.0
2003bu      14.83   0.06  18.12   0.29  16.62   0.15  15.12   0.07  18.31 -9.000 -99.00  -9.00  14.11   0.06  17.40   0.27  15.90   0.13  14.40   0.07  17.59 -9.000 -99.00  -9.00  13.96   0.07  17.26   0.32  15.76   0.16  14.25   0.08  17.44 -9.000 -99.00  -9.00  NGC5393             55.5     43.7
2003bw      15.26   0.08  17.42   0.22  15.91   0.11  14.36   0.05  18.74 -9.000 -99.00  -9.00  14.64   0.07  16.83   0.20  15.30   0.10  13.72   0.05  18.12 -9.000 -99.00  -9.00  14.33   0.08  16.50   0.22  14.98   0.11  13.42   0.05  17.81 -9.000 -99.00  -9.00  IC1077              59.5     74.0
2003cb      16.22   0.14  18.40   0.37  16.88   0.19  15.36   0.09  19.70 -9.000 -99.00  -9.00  15.56   0.12  17.72   0.33  16.22   0.16  14.72   0.08  19.04 -9.000 -99.00  -9.00  15.43   0.14  17.66   0.40  16.12   0.20  14.53   0.09  18.91 -9.000 -99.00  -9.00  NGC4885             46.2     38.8
2003cn      18.87   0.44  22.04   1.87  20.52   0.93  18.98   0.46  22.35 -9.000 -99.00  -9.00  19.39   0.68  22.82   3.30  21.29   1.63  19.52   0.72  22.87 -9.000 -99.00  -9.00  17.80   0.42  20.61   1.52  19.16   0.78  17.87   0.43  21.28 -9.000 -99.00  -9.00  IC849               78.1     35.8
2003cp      16.47   0.14  19.68   0.61  18.17   0.30  16.67   0.15  19.95 -9.000 -99.00  -9.00  15.75   0.11  18.95   0.48  17.44   0.24  15.94   0.12  19.22 -9.000 -99.00  -9.00  15.31   0.12  18.52   0.53  17.01   0.26  15.50   0.13  18.79 -9.000 -99.00  -9.00  M+10-12-78          51.0     56.4
2003dt      16.92   0.17  19.20   0.50  17.70   0.25  16.20   0.12  20.40 -9.000 -99.00  -9.00  16.51   0.17  18.79   0.50  17.29   0.25  15.80   0.13  19.99 -9.000 -99.00  -9.00  16.20   0.19  18.47   0.55  16.98   0.27  15.48   0.14  19.68 -9.000 -99.00  -9.00  NGC6962            132.9     77.8
