# XSC_SNAN run on Thu Aug  7 12:53:34 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
1973U       17.52   0.21  20.12   0.71  18.62   0.35  17.12   0.18  21.00 -9.000 -99.00  -9.00  17.42   0.24  20.08   0.83  18.56   0.41  16.99   0.20  20.90 -9.000 -99.00  -9.00  16.26   0.19  18.79   0.61  17.31   0.31  15.88   0.16  19.73 -9.000 -99.00  -9.00  IC43                79.3     76.8
1974G       15.87   0.11  15.79   0.10  14.28   0.05  12.76   0.03  19.35 -9.000 -99.00  -9.00  15.37   0.10  15.29   0.09  13.75   0.04  12.22   0.02  18.85 -9.000 -99.00  -9.00  15.00   0.11  14.92   0.10  13.40   0.05  11.92   0.03  18.47 -9.000 -99.00  -9.00  NGC4414            124.2     91.2
1975F       13.51   0.04  14.76   0.07  13.21   0.03  11.67   0.02  16.99 -9.000 -99.00  -9.00  12.88   0.03  14.13   0.06  12.58   0.03  11.01   0.01  16.36 -9.000 -99.00  -9.00  12.69   0.04  13.94   0.07  12.39   0.03  10.76   0.02  16.16 -9.000 -99.00  -9.00  NGC2935            123.1    114.7
1975N       16.68   0.16  17.30   0.21  15.78   0.10  14.24   0.05  20.16 -9.000 -99.00  -9.00  16.73   0.20  17.33   0.26  15.87   0.13  14.30   0.06  20.21 -9.000 -99.00  -9.00  15.71   0.16  16.31   0.21  14.88   0.11  13.45   0.06  19.19 -9.000 -99.00  -9.00  NGC7723            168.2    159.4
1975O       16.70   0.15  19.53   0.56  18.03   0.28  16.51   0.14  20.17 -9.000 -99.00  -9.00  15.89   0.12  18.67   0.43  17.18   0.22  15.71   0.11  19.36 -9.000 -99.00  -9.00  15.53   0.14  18.33   0.49  16.83   0.25  15.36   0.13  19.01 -9.000 -99.00  -9.00  NGC2487             55.1     96.2
1975T      -99.00  -9.00  22.31   2.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  18.87   0.46  18.91   0.47 -99.00  -9.00 -99.00  -9.00  22.35 -9.000 -99.00  -9.00  17.24   0.29  17.39   0.31 -99.00  -9.00 -99.00  -9.00  20.72 -9.000 -99.00  -9.00  NGC3756            201.6    117.5
1976J       17.71   0.24  20.24   0.76  18.73   0.38  17.21   0.19  21.19 -9.000 -99.00  -9.00  17.63   0.30  20.20   0.97  18.67   0.48  17.11   0.24  21.11 -9.000 -99.00  -9.00  17.65   0.39  20.30   1.31  18.74   0.64  17.08   0.30  21.12 -9.000 -99.00  -9.00  NGC977              53.7     18.8
1978E       17.65   0.24  20.34   0.82  18.81   0.41  17.21   0.19  21.13 -9.000 -99.00  -9.00  17.13   0.21  19.78   0.72  18.27   0.36  16.70   0.17  20.61 -9.000 -99.00  -9.00  16.62   0.22  19.18   0.72  17.69   0.36  16.23   0.19  20.10 -9.000 -99.00  -9.00  M+06-49-36          38.3     52.8
1978H       15.66   0.09  17.04   0.18  15.54   0.09  14.04   0.04  19.14 -9.000 -99.00  -9.00  15.07   0.08  16.46   0.15  14.94   0.08  13.41   0.04  18.55 -9.000 -99.00  -9.00  14.79   0.10  16.18   0.18  14.67   0.09  13.16   0.04  18.27 -9.000 -99.00  -9.00  NGC3780            123.2    120.3
1979B       18.41   0.33  18.07   0.28  16.83   0.16  15.22   0.08  21.89 -9.000 -99.00  -9.00  17.27   0.22  16.88   0.19  15.60   0.10  14.69   0.07  20.75 -9.000 -99.00  -9.00  17.17   0.28  16.80   0.24  15.53   0.13  14.04   0.07  20.65 -9.000 -99.00  -9.00  NGC3913             21.9     79.1
