# SITEPH_SDSS PROFILE DATA - Sat Jan  3 17:06:29 2015
# SN        host                         uFrac       du    duerr    gFrac       dg    dgerr    rFrac       dr    drerr    iFrac       di    dierr    zFrac       dz    dzerr
2009hq      NGC4152                      0.692    -0.18     5.49    0.713    -0.34     3.17    0.763    -0.56     2.41    0.775    -0.49     2.24    0.793    -0.63     2.02
1992Q       A121101-0152                 0.138   -99.00    -9.00    0.144   -99.00    -9.00    0.187   -99.00    -9.00    0.174   -99.00    -9.00    0.205   -99.00    -9.00
1937A       NGC4157                      0.274     0.66     7.09    0.347     0.98     4.09    0.412     1.53     3.55    0.438     1.03     2.21    0.477     1.27     2.08
1955A       NGC4157                      0.610     1.45    12.28    0.663     1.53     7.09    0.725     1.81     6.14    0.749     1.32     4.09    0.789     0.89     3.07
2003J       NGC4157                      0.359     0.32     6.14    0.435     0.07     2.90    0.508    -0.34     1.64    0.537    -0.43     1.25    0.581    -0.44     1.07
2006dk      NGC4161                      0.427     1.29     7.09    0.484     0.32     2.62    0.529     0.40     2.08    0.544     0.06     1.54    0.574     0.08     1.42
2007gw      NGC4161                      0.331     0.89     5.49    0.398     0.23     2.28    0.446    -0.06     1.50    0.463    -0.00     1.32    0.493     0.07     1.23
1965G       NGC4162                      0.680   -99.00    -9.00    0.726     1.03     5.49    0.756     0.21     3.07    0.769     0.13     2.68    0.776     0.11     2.51
2001hg      NGC4162                      0.659     0.09     5.49    0.708    -0.12     3.17    0.740    -0.17     2.51    0.754    -0.20     2.24    0.762    -0.34     1.97
1971G       NGC4165                      0.796   -99.00    -9.00    0.783   -99.00    -9.00    0.786   -99.00    -9.00    0.780     2.13     8.69    0.795     1.85     7.09
2006az      NGC4172                      0.226     0.88     5.01    0.278     0.59     1.85    0.313     0.51     1.19    0.322     0.58     1.01    0.353     0.67     0.91
1963I       NGC4178                      0.089     0.89     7.09    0.115     0.72     3.70    0.130     0.22     2.21    0.137    -0.10     1.63    0.145    -0.02     1.54
2001bl      A121257-0000                 0.001   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.811   -99.00    -9.00    0.797   -99.00    -9.00
2000cm      A121259+0718                 0.333   -99.00    -9.00    0.286   -99.00    -9.00    0.342   -99.00    -9.00    0.395   -99.00    -9.00    0.426   -99.00    -9.00
2003M       UGC07224                     1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
1982C       NGC4185                      0.748   -99.00    -9.00    0.804   -99.00    -9.00    0.824     2.06    12.28    0.834     2.33    12.28    0.849     1.28     7.09
2007sw      UGC07228                     0.025     0.18     3.17    0.024    -0.22     1.45    0.030    -0.10     1.03    0.032    -0.10     0.86    0.039     0.00     0.74
2012bh      UGC07228                     0.000     3.38     8.69    0.000     4.30     8.69    0.000     5.52     8.69    0.000     5.89     8.69    0.000     6.64     8.69
1966E       NGC4189                      0.877   -99.00    -9.00    0.878     1.79    12.28    0.878     1.54     8.69    0.873     1.81     8.69    0.880     1.18     6.14
2006an      A121438+1213                 0.454     0.46    12.29    1.000     0.63     9.54    0.783     3.39    12.29    0.422     3.40    12.28    1.000     2.07     8.69
2002ho      NGC4210                      0.294     1.59     8.69    0.344     0.68     3.28    0.375     0.30     2.11    0.391    -0.07     1.54    0.412     0.04     1.48
1954A       NGC4214                      0.995    -1.71    12.28    0.956    -1.18     8.69    0.957   -99.00    -9.00    0.938     0.29    12.28    0.995    -1.25     8.69
2000cv      PGC039222                    0.896     1.69    12.28    0.831     1.27     5.49    0.807     0.91     3.55    0.779     0.73     2.82    0.763     0.59     2.41
2003cj      A121551+0859                 0.031   -99.00    -9.00   -9.000   -99.00    -9.00    1.000   -99.00    -9.00    0.008   -99.00    -9.00    1.000   -99.00    -9.00
1983O       NGC4220                      0.275     0.66     4.09    0.295     0.09     1.52    0.311     0.04     1.03    0.318     0.13     0.88    0.336     0.10     0.75
2008bn      NGC4226                      0.841    -0.03     8.69    0.847    -1.54     2.24    0.856    -1.50     1.69    0.849    -1.44     1.44    0.881    -1.60     1.27
2008di      A121641+4102                 0.692   -99.00    -9.00    0.251   -99.00    -9.00    0.234   -99.00    -9.00    0.281   -99.00    -9.00    0.272   -99.00    -9.00
1972S       A121718+2355                 0.000   -99.00    -9.00    0.001   -99.00    -9.00    0.012   -99.00    -9.00    0.343   -99.00    -9.00   -9.000   -99.00    -9.00
2002bu?     NGC4242                      0.870     0.02    12.28    0.848     1.14    12.28    0.840     1.59    12.28    0.835     1.09     8.69    0.840     1.15     8.69
1960E       A121737+1217                 0.013   -99.00    -9.00    0.026   -99.00    -9.00    0.073   -99.00    -9.00    0.105   -99.00    -9.00    0.040   -99.00    -9.00
1963G       IC3112                       0.628     0.76    12.28    0.724     1.01     7.09    0.736     1.21     5.49    0.736     0.56     3.41    0.750     0.12     2.51
1975C       NGC4246                      0.998   -99.00    -9.00    0.996    -3.14     7.09    0.997    -3.30     6.14    0.997    -3.01     5.50    0.998    -3.90     5.13
2001ap      A121823-0154                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00
1967H       NGC4254                      0.608    -0.01     5.01    0.637     0.05     3.28    0.664    -0.15     2.41    0.686    -0.24     2.08    0.763    -0.26     2.02
1972Q       NGC4254                      0.699    -0.38     5.01    0.728    -0.72     2.68    0.750    -0.73     2.21    0.767    -0.63     2.08    0.843    -0.68     2.02
1986I       NGC4254                      0.260    -1.02     1.97    0.298    -0.71     1.37    0.335    -0.46     1.18    0.362    -0.29     1.10    0.422    -0.26     1.04
2014L       NGC4254                      0.119    -0.33     1.97    0.145    -0.12     1.27    0.168    -0.14     0.94    0.185    -0.03     0.84    0.223    -0.04     0.76
1981K       NGC4258                      0.479    -1.14     2.80    0.534    -1.13     1.57    0.578    -1.11     1.19    0.595    -1.12     1.02    0.568    -1.12     0.91
2014bc      NGC4258                      0.000     2.62     0.65    0.000     3.78     0.35    0.000     4.37     0.26    0.000     4.60     0.22    0.000     4.74     0.19
2006cp      UGC07357                     0.638   -99.00    -9.00    0.667     1.24    12.28    0.688     0.85     8.69    0.722     1.78    12.28    0.739     1.00     8.69
2001A       NGC4261                      0.145     0.27     2.41    0.199     0.20     0.98    0.204     0.21     0.68    0.202     0.23     0.55    0.214     0.24     0.49
1999ev      NGC4274                      0.732     0.64    12.28    0.756    -0.32     3.70    0.767    -1.07     1.79    0.770    -1.15     1.40    0.781    -1.13     1.25
1997bo      A121952+0743                 0.061   -99.00    -9.00    0.063   -99.00    -9.00    0.038   -99.00    -9.00    0.026   -99.00    -9.00    0.031   -99.00    -9.00
1936A       NGC4273                      0.628     0.50     5.01    0.619     0.25     2.75    0.641     0.11     2.14    0.640     0.22     2.02    0.673     0.25     1.94
2008N       NGC4273                      0.338     1.41     4.64    0.328     0.20     1.67    0.348     0.25     1.36    0.350     0.30     1.24    0.379     0.31     1.15
1986E       NGC4302                      0.552    -0.05     8.69    0.613     0.64     6.14    0.659     0.79     4.64    0.689     0.86     3.88    0.740     0.63     3.17
2003ac      IC3203                       0.961   -99.00    -9.00    0.940     0.89    12.28    0.950     1.58    12.28    0.954     1.24     8.69    0.964     1.44     8.69
1926A       NGC4303                      0.576     0.78     5.49    0.583     1.06     4.09    0.600     1.14     3.41    0.614     0.78     2.56    0.616     0.90     2.51
1961I       NGC4303                      0.717    -1.21     3.17    0.714    -0.68     2.51    0.726    -0.59     2.11    0.736    -0.37     2.05    0.734    -0.48     1.81
1964F       NGC4303                      0.126     0.34     3.55    0.169     0.23     1.92    0.198     0.17     1.42    0.220     0.28     1.26    0.230     0.34     1.18
1999gn      NGC4303                      0.365    -0.75     1.72    0.397    -0.47     1.36    0.424    -0.42     1.13    0.444    -0.22     1.13    0.451    -0.23     1.04
2006ov      NGC4303                      0.375    -0.64     1.83    0.405    -0.61     1.29    0.431    -0.32     1.20    0.451    -0.33     1.09    0.458    -0.40     0.98
2008in      NGC4303                      0.810    -0.32     7.09    0.815     0.03     5.01    0.826    -0.03     3.88    0.837    -0.02     3.41    0.833    -0.36     2.68
2014dt      NGC4303                      0.183     0.65     4.09    0.236     0.34     2.11    0.269     0.09     1.45    0.295     0.15     1.28    0.304     0.27     1.24
2005cr      A122217+1223                 0.284     0.30     3.17    0.367     0.03     1.60    0.368     0.18     1.32    0.358     0.25     1.17    0.446     0.27     1.07
2006bj      A122219+0737                 0.147     2.45    12.28    0.151     0.72     3.28    0.181     0.54     2.36    0.194     0.60     2.11    0.230     0.37     1.83
2003bk      NGC4316                      0.204     0.55     5.01    0.247     0.11     1.97    0.279    -0.19     1.15    0.296    -0.21     0.91    0.341    -0.34     0.71
2009an      NGC4332                      0.718    -0.02    12.28    0.787     0.34     7.09    0.799     0.52     5.49    0.805     0.56     4.64    0.821     0.77     4.64
1901B       NGC4321                      0.575     0.51     7.09    0.593     0.35     4.09    0.603    -0.01     2.68    0.593    -0.11     2.24    0.646    -0.05     2.17
1914A       NGC4321                      0.626    -0.22     5.49    0.640     0.62     5.01    0.648     0.85     4.34    0.636     0.80     3.70    0.691     0.66     3.28
1959E       NGC4321                      0.344     0.60     6.14    0.366     0.01     2.75    0.381    -0.11     1.99    0.379    -0.47     1.47    0.419    -0.51     1.35
1979C       NGC4321                      0.609    -0.39     5.01    0.624    -0.64     2.75    0.633    -0.46     2.32    0.621    -0.46     2.02    0.676    -0.60     1.79
2006X       NGC4321                      0.203     1.62     8.69    0.227     1.32     4.34    0.245     0.38     2.11    0.248     0.04     1.55    0.278     0.14     1.50
1955E       NGC4335                      0.544     0.72     8.69    0.564     1.07     4.64    0.588     0.95     3.07    0.590     0.75     2.32    0.605     0.66     1.99
1977A       NGC4340                      0.718     0.74    12.28    0.725     1.31     7.09    0.729     0.85     4.09    0.725     0.73     3.17    0.722     0.37     2.41
1996B       NGC4357                      0.817    -0.45     8.69    0.836    -1.84     2.68    0.858    -1.96     2.05    0.864    -2.38     1.47    0.885    -2.53     1.33
1996ac      PGC040346                    0.272     1.61     8.69    0.292     1.54     3.88    0.315     1.17     2.24    0.318     1.20     1.90    0.324     1.05     1.55
2005kl      NGC4369                      0.357     0.31     1.33    0.271     0.52     0.99    0.227     0.35     0.76    0.198     0.46     0.73    0.200     0.44     0.66
2008ar      IC3284                       0.289   -99.00    -9.00    0.357     1.25     5.01    0.391     0.54     2.56    0.400     0.56     2.17    0.420     0.41     1.81
2009fm      A122451+2435                 0.013    -0.32    12.29    1.000     3.02    12.45    1.000     1.27     8.69    1.000    -0.15     8.69    0.066    -0.03     6.16
1960J       NGC4375                      0.972   -99.00    -9.00    0.979   -99.00    -9.00    0.981   -99.00    -9.00    0.981   -99.00    -9.00    0.985     0.82    12.28
1957B       NGC4374                      0.371     2.18    12.28    0.443     0.38     2.36    0.450     0.14     1.47    0.440     0.22     1.23    0.447     0.29     1.14
1980I       NGC4374                      1.000    -5.01    12.42    1.000   -13.00    15.83    1.000    -3.51    12.28    1.000    -8.60    12.45    1.000    -4.45    12.45
1991bg      NGC4374                      0.418     1.09     8.69    0.495     1.23     4.09    0.503     0.58     2.11    0.491     0.26     1.48    0.497     0.27     1.32
2000de      NGC4384                      0.311     0.41     2.02    0.265     0.52     1.50    0.247     0.41     1.19    0.229     0.49     1.15    0.238     0.54     1.07
1960R       NGC4382                      0.686    -0.16     8.19    0.592    -0.17     3.75    0.602    -0.10     2.78    0.598    -0.14     2.24    0.583    -0.08     2.11
1998aa      A122532+0738                 0.408   -99.00    -9.00    0.411   -99.00    -9.00    0.407   -99.00    -9.00    0.402   -99.00    -9.00    0.387   -99.00    -9.00
2004gk      IC3311                       0.264   -99.00    -9.00    0.260   -99.00    -9.00    0.259   -99.00    -9.00    0.259   -99.00    -9.00    0.273   -99.00    -9.00
1976B       NGC4402                      0.559   -99.00    -9.00    0.577   -99.00    -9.00    0.619   -99.00    -9.00    0.630   -99.00    -9.00    0.663   -99.00    -9.00
1970O       A122618+2745                 0.867   -99.00    -9.00    0.567   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.028   -99.00    -9.00
1974G       NGC4414                      0.681   -99.00    -9.00    0.710   -99.00    -9.00    0.738   -99.00    -9.00    0.748   -99.00    -9.00    0.778   -99.00    -9.00
2013df      NGC4414                      0.683   -99.00    -9.00    0.712   -99.00    -9.00    0.740   -99.00    -9.00    0.750   -99.00    -9.00    0.780   -99.00    -9.00
1965A       NGC4410B                     0.573   -99.00    -9.00    0.583     3.37    12.28    0.603     3.00     7.09    0.613     2.85     5.49    0.644     2.74     4.64
1992ad      NGC4411B                     0.612     0.40    12.28    0.500     0.11     6.14    0.521     0.06     5.01    0.524     0.29     5.01    0.524     0.24     4.64
1984A       NGC4419                      1.000    -5.03     5.05    1.000    -8.24     2.65    1.000    -7.19     1.76    1.000    -8.19     1.57    1.000    -8.41    15.61
2012cc      NGC4419                      0.161     0.54     2.24    0.188     0.24     0.89    0.210     0.14     0.57    0.223     0.10     0.45    0.244     0.07     0.38
1895A       NGC4424                      0.803   -99.00    -9.00    0.788     1.78    12.28    0.791     1.16     7.09    0.785     1.21     6.14    0.799     0.71     4.64
2012cg      NGC4424                      0.250     0.96     5.01    0.216     0.27     1.97    0.212     0.01     1.32    0.202     0.13     1.20    0.216     0.20     1.15
1997ba      A122738+0013                 0.000   -99.00    -9.00    0.087   -99.00    -9.00    0.000   -99.00    -9.00    0.003   -99.00    -9.00    0.000   -99.00    -9.00
2002C       IC3376                       1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000     1.48    12.28
2009bo      A122752+2625                -9.000   -99.00    -9.00    1.000   -99.00    -9.00    0.629     1.21    12.28    1.000     1.30    12.28    0.103     1.30    12.29
1952F       A122824+1320                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2008am      A122836+1534                 0.586   -99.00    -9.00    0.777   -99.00    -9.00    0.944   -99.00    -9.00    0.827     3.79     8.71    0.709     3.11     8.70
1985G       NGC4451                      0.205     0.26     2.17    0.198     0.07     1.18    0.195     0.01     0.89    0.191     0.08     0.80    0.202     0.06     0.72
1966F       NGC4453                      0.617     1.31     8.69    0.582     1.78     6.14    0.578     1.55     4.34    0.583     1.27     3.28    0.572     1.22     2.98
2008ic      A123026+4136                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
1982F       NGC4490                      0.255     0.90     2.98    0.268     0.27     1.48    0.273     0.35     1.27    0.280     0.28     1.13    0.287     0.19     1.02
2008ax      NGC4490                      0.407     1.22     4.09    0.418     0.35     1.90    0.427     0.02     1.38    0.436     0.19     1.39    0.444     0.02     1.23
1919A       NGC4486                      0.141    -0.53     4.09    0.437    -0.27     2.90    0.492    -0.16     2.14    0.491    -0.14     1.75    0.364    -0.10     1.54
1994M       NGC4493                      0.655   -99.00    -9.00    0.650   -99.00    -9.00    0.662   -99.00    -9.00    0.661     3.00    12.28    0.674     2.49     8.69
2004br      NGC4493                      0.241   -99.00    -9.00    0.268     1.60     4.64    0.280     1.07     2.46    0.279     0.71     1.70    0.294     0.71     1.48
1994S       NGC4495                      0.572   -99.00    -9.00    0.606   -99.00    -9.00    0.626     3.06    12.28    0.632     3.38    12.28    0.667     1.81     5.49
2010lo      NGC4495                      0.871    -0.83    12.28    0.894     0.36    12.28    0.898     0.25     8.69    0.898     0.62     8.69    0.912     0.34     7.09
2011ca      NGC4495                      0.665    -0.34     7.09    0.695     0.50     6.14    0.710     0.84     5.49    0.713     1.17     5.49    0.742     0.99     4.64
1960F       NGC4496A                     0.380     0.41     6.14    0.399     0.78     5.01    0.411     0.52     3.70    0.409     0.52     3.41    0.407     0.56     3.28
1988M       NGC4496B                     0.062     0.44     5.01    0.068     0.86     3.70    0.078     0.49     2.41    0.084     0.52     2.14    0.093     0.38     1.81
1999cl      NGC4501                      0.412     0.49     5.01    0.452    -0.03     2.14    0.491    -0.26     1.36    0.517    -0.18     1.15    0.518    -0.25     0.99
1970A       IC3476                       0.644   -99.00    -9.00    0.590   -99.00    -9.00    0.586   -99.00    -9.00    0.573   -99.00    -9.00    0.584   -99.00    -9.00
1969G       A123342+0553                 0.000   -99.00    -9.00    0.002   -99.00    -9.00    1.000   -99.00    -9.00    0.006   -99.00    -9.00    0.404   -99.00    -9.00
1999gq      NGC4523                      0.443   -99.00    -9.00    0.541   -99.00    -9.00    0.518   -99.00    -9.00    0.519   -99.00    -9.00    0.485   -99.00    -9.00
1969E       NGC4526                      0.271     2.41     7.09    0.290     1.90     2.46    0.301     1.73     1.57    0.299     1.77     1.31    0.317     1.97     1.25
1994D       NGC4526                      0.097     0.67     1.92    0.103     0.46     0.76    0.111     0.47     0.51    0.107     0.48     0.41    0.123     0.52     0.36
1915A       NGC4527                      0.504   -99.00    -9.00    0.568   -99.00    -9.00    0.621   -99.00    -9.00    0.650   -99.00    -9.00    0.659   -99.00    -9.00
1991T       NGC4527                      0.639   -99.00    -9.00    0.689   -99.00    -9.00    0.731   -99.00    -9.00    0.754   -99.00    -9.00    0.754   -99.00    -9.00
2004gn      NGC4527                      0.322   -99.00    -9.00    0.399   -99.00    -9.00    0.455   -99.00    -9.00    0.490   -99.00    -9.00    0.507   -99.00    -9.00
1981B       NGC4536                      0.675   -99.00    -9.00    0.711   -99.00    -9.00    0.742   -99.00    -9.00    0.763   -99.00    -9.00    0.751   -99.00    -9.00
1940D       NGC4545                      0.317    -0.86     2.75    0.338    -0.64     1.83    0.367    -0.45     1.61    0.379    -0.28     1.55    0.379    -0.33     1.39
1955R?      UGC07740                     0.803   -99.00    -9.00    0.878   -99.00    -9.00    0.902   -99.00    -9.00    0.898     1.24    12.28    0.911     1.26    12.28
1992V       PGC041858                    1.000   -99.00    -9.00    0.767   -99.00    -9.00    0.019   -99.00    -9.00    0.014   -99.00    -9.00    0.001   -99.00    -9.00
2001Z       IC3528                       1.000     0.36     7.09    1.000     0.42     4.34    0.555     0.54     3.17    1.000     0.59     3.41    1.000     0.35     2.90
2007gq      NGC4541                      0.375     0.48     5.01    0.437    -0.34     1.92    0.487    -0.23     1.51    0.508    -0.11     1.36    0.546    -0.14     1.19
2009dz      A123535+0152                 0.001   -99.00    -9.00    0.004   -99.00    -9.00    0.003   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00
2003et      A123555+6213                 0.132   -99.00    -9.00    0.092   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.021   -99.00    -9.00
1941A       NGC4559                      0.267    -0.71     2.68    0.311    -0.81     1.64    0.337    -0.93     1.28    0.329    -0.79     1.22    0.363    -0.82     1.15
2003eu      A123605+6211                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2003ba      A123615+6212                 0.064   -99.00    -9.00    0.095    -1.78    12.29    0.067    -2.53     8.70    0.084    -1.94     7.10    0.002    -4.87     7.00
2002kh      A123616+6214                 0.004   -99.00    -9.00    0.009   -99.00    -9.00    0.010   -99.00    -9.00    0.004   -99.00    -9.00    0.001   -99.00    -9.00
2003bb      A123624+6208                 0.098   -99.00    -9.00    1.000   -99.00    -9.00    0.463    -0.36    12.29    0.015   -99.00    -9.00    0.032     0.85     8.69
2003be      A123625+6206                 0.000   -99.00    -9.00    0.011   -99.00    -9.00    0.454   -99.00    -9.00    0.000   -99.00    -9.00    1.000   -99.00    -9.00
1961H       NGC4564                      0.120     0.84     1.51    0.133     0.91     0.66    0.143     0.92     0.45    0.154     0.96     0.37    0.156     0.94     0.32
2003ew      A123627+6211                 0.000    -1.65    12.29    0.473    -2.13    12.33    1.000   -99.00    -9.00    0.023    -3.63    12.77   -9.000   -99.00    -9.00
2003dx      A123631+6208                 0.317   -99.00    -9.00    0.051   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2003er      A123632+6207                 0.034   -99.00    -9.00    0.002   -99.00    -9.00    0.001   -99.00    -9.00    0.002   -99.00    -9.00    0.001   -99.00    -9.00
2003en      A123633+6213                 1.000   -99.00    -9.00    0.000   -99.00    -9.00    0.029   -99.00    -9.00    0.007   -99.00    -9.00    0.025   -99.00    -9.00
1990B       NGC4568                      0.076     0.87     4.34    0.101    -0.05     1.46    0.129     0.17     1.07    0.142     0.09     0.84    0.163     0.11     0.72
2004cc      NGC4568                      0.071     0.54     3.70    0.096    -0.17     1.36    0.123    -0.11     0.93    0.136    -0.07     0.76    0.156    -0.03     0.66
2003bc      A123638+6209                 0.080   -99.00    -9.00    0.066   -99.00    -9.00    1.000   -99.00    -9.00    0.249   -99.00    -9.00    0.482   -99.00    -9.00
2003dz      A123639+6207                 0.004   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.021   -99.00    -9.00    0.011   -99.00    -9.00
2003es      A123655+6213                -9.000   -99.00    -9.00    0.007   -99.00    -9.00    0.002   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2000aj      A123701-0149                 0.007   -99.00    -9.00    0.007   -99.00    -9.00    0.017   -99.00    -9.00    0.014   -99.00    -9.00    0.004   -99.00    -9.00
2003N       A123709+6211                 0.002    -4.89    17.44    0.002   -99.00    -9.00    0.009    -1.67    12.33    0.003    -2.82    12.65    0.082     1.49    12.29
2003dy      A123709+6211                 0.003   -99.00    -9.00    0.002    -4.49    12.34    0.010    -1.67    12.32    0.003    -2.78    12.63    0.085     1.41    12.28
2003ea      A123712+6212                 0.000   -21.58     9.84    0.000    -9.38    63.18    0.000   -11.89    12.69    0.001    -0.86     8.79    0.083     4.91    10.45
1997ci      A123713+6205                 0.002   -99.00    -9.00    0.001   -99.00    -9.00    1.000   -99.00    -9.00    0.000   -99.00    -9.00    0.003   -99.00    -9.00
2003eb      A123715+6213                 0.005   -99.00    -9.00    1.000   -99.00    -9.00    0.142   -99.00    -9.00    0.034   -99.00    -9.00    0.046   -99.00    -9.00
2003az      A123719+6218                 0.192   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.955   -99.00    -9.00    1.000   -99.00    -9.00
2003bd      A123725+6213                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.008   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2003lv      A123728+6211                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.012   -99.00    -9.00    0.045   -99.00    -9.00
2002ki      A123728+6220                 0.006   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.007   -99.00    -9.00    0.000   -99.00    -9.00
1997ch      A123728+6206                 0.223   -99.00    -9.00    0.656   -99.00    -9.00    0.803   -99.00    -9.00    0.788   -99.00    -9.00    0.000   -99.00    -9.00
1988A       NGC4579                      0.384     1.37     8.69    0.471     0.74     3.41    0.487     0.44     2.14    0.480     0.10     1.51    0.491     0.12     1.39
1989M       NGC4579                      0.377     0.04     4.64    0.465    -0.06     2.32    0.480    -0.27     1.52    0.474    -0.21     1.29    0.485    -0.11     1.23
2003eq      A123748+6213                 0.001   -99.00    -9.00   -9.000   -99.00    -9.00    0.095   -99.00    -9.00    0.037   -99.00    -9.00   -9.000   -99.00    -9.00
2002kl      A123749+6214                 0.059   -99.00    -9.00    0.220   -99.00    -9.00    0.127   -99.00    -9.00    0.033     0.24     8.70    0.000    -1.24    12.89
2008aa      UGC07799                     1.000    -0.72    12.29    1.000   -25.27   153.56    1.000    -6.67    61.76    1.000    -5.95     1.50    1.000    50.59    71.79
2011F       UGC07799                     0.459     0.17     7.09    0.529    -0.28     3.07    0.592    -0.22     2.32    0.626    -0.25     1.92    0.668    -0.25     1.70
2007rw      UGC07798                     0.480    -0.16     3.55    0.488    -0.33     2.08    0.488    -0.26     1.77    0.483    -0.16     1.69    0.500    -0.11     1.64
2007be      UGC07800                     0.768    -0.13     7.09    0.783     0.63     5.49    0.804     0.79     4.34    0.808     0.64     3.41    0.834     0.45     2.82
2002cq      A123840-0258                 0.011   -99.00    -9.00    0.030   -99.00    -9.00    0.044   -99.00    -9.00    0.051   -99.00    -9.00    0.023   -99.00    -9.00
2003cl      A123850-0249                 0.019   -99.00    -9.00    0.211   -99.00    -9.00    0.202   -99.00    -9.00    0.206   -99.00    -9.00    0.326   -99.00    -9.00
2008bz      A123857+1107                 0.037   -99.00    -9.00    0.035   -99.00    -9.00    0.022   -99.00    -9.00    0.009   -99.00    -9.00    0.016   -99.00    -9.00
2003ej      UGC07820                     0.677    -0.45     8.69    0.687     0.63     8.69    0.706     0.55     7.09    0.708     0.48     6.14    0.738     1.29     8.69
1997be      A124040-0023                 1.000   -99.00    -9.00    0.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.025   -99.00    -9.00
2006bv?     UGC07848                     0.625   -99.00    -9.00    0.699     1.58    12.28    0.725     1.28     8.69    0.729     2.28    12.28    0.733     1.16     7.09
1998ci      A124101-0639                 0.182     0.83     2.32    0.083     0.81     0.97    0.081     0.76     0.64    0.081     0.79     0.52    0.088     0.82     0.46
2005ab      NGC4617                      0.487     0.57     8.69    0.566     0.78     5.49    0.639     0.98     4.64    0.659     1.05     4.09    0.696     1.31     4.09
2007ss      NGC4617                      0.125     1.32     7.09    0.180     0.18     1.94    0.223     0.09     1.25    0.241     0.07     0.99    0.264     0.06     0.84
1985F       NGC4618                      0.098    -1.29     1.36    0.105    -0.81     1.06    0.107    -0.83     0.86    0.108    -0.72     0.82    0.113    -0.73     0.78
1987F       NGC4615                      0.619     1.31    12.28    0.675     0.31     5.01    0.693     0.30     4.09    0.707     0.52     4.09    0.753     0.19     3.28
2006ac      NGC4619                      0.671     1.69    12.28    0.676     0.51     4.09    0.697     0.47     3.17    0.697     0.13     2.36    0.722     0.29     2.36
1939B       NGC4621                      0.570   -99.00    -9.00    0.589     0.86     3.88    0.601    -0.21     1.66    0.600    -0.17     1.36    0.625    -0.12     1.27
2007cp      IC0807                       0.312     0.55     4.09    0.333     0.43     1.83    0.337     0.23     1.21    0.338     0.30     1.06    0.353     0.32     0.95
2012cr      NGC4626                      0.935    -2.26     5.50    0.934    -1.89     3.41    0.925    -2.05     2.41    0.914    -1.80     2.28    0.931    -2.25     1.87
1946B       NGC4632                      0.083     0.56     3.55    0.076    -0.19     1.74    0.075    -0.26     1.39    0.074    -0.17     1.31    0.076    -0.16     1.21
2007cm      NGC4644                      0.809    -0.64     7.09    0.813     0.28     6.14    0.837     0.52     5.01    0.834     0.56     4.34    0.866     0.10     3.17
1992P       IC3690                       0.488     0.83     7.09    0.542     1.27     4.64    0.590     1.33     3.55    0.605     1.11     2.75    0.646     1.07     2.41
1939A       NGC4636                      0.276     0.11     3.88    0.168     0.18     1.76    0.188     0.19     1.24    0.182     0.19     1.01    0.294     0.19     0.91
1990N       NGC4639                      0.969   -99.00    -9.00    0.909   -99.00    -9.00    0.920   -99.00    -9.00    0.928   -99.00    -9.00    0.938   -99.00    -9.00
2003ez      PGC042782                    0.237     2.10     8.69    0.268     1.43     3.55    0.306     1.15     2.32    0.306     1.27     2.08    0.337     1.31     1.92
1979A       NGC4647                      0.756     0.91    12.28    0.720     0.60     5.49    0.711     0.40     3.70    0.697     0.52     3.28    0.713     0.19     2.62
2004W       NGC4649                      0.432     0.37     9.29    0.455     0.06     3.62    0.516     0.10     2.59    0.515     0.15     2.15    0.607     0.11     1.91
1987K       NGC4651                      0.290   -99.00    -9.00    0.380     3.57     8.69    0.409   -99.00    -9.00    0.425   -99.00    -9.00    0.438   -99.00    -9.00
