# SITEPH_SDSS PROFILE DATA - Sat Jan  3 17:06:29 2015
# SN        host                         uFrac       du    duerr    gFrac       dg    dgerr    rFrac       dr    drerr    iFrac       di    dierr    zFrac       dz    dzerr
2007il      IC1704                       0.537     0.99     7.09    0.564     0.33     3.41    0.604     0.24     2.75    0.613     0.17     2.41    0.639     0.17     2.24
1969N       A013024-0057                 0.000   -99.00    -9.00    0.053   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2005ib      A013125-0036                 0.129   -99.00    -9.00    0.381    11.02    12.60    0.275    10.54    12.35    0.386    12.10    12.69    1.000     1.03     7.09
1999dk      UGC01087                     0.695    -0.79     6.14    0.702    -1.99     2.17    0.730    -2.48     1.40    0.739    -1.96     1.60    0.751    -1.87     1.56
2007qg      A013201-0025                 0.000   -99.00    -9.00    0.002   -99.00    -9.00    0.001   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2005js      A013441-0036                 0.078     9.44     8.69    0.104    11.99     8.69    0.113    13.13     8.69    0.113    13.17     7.09    0.117    12.95     5.49
1998es      NGC0632                      0.624     1.43     7.09    0.528     0.81     2.98    0.525     0.58     1.99    0.499     0.56     1.70    0.535     0.33     1.42
2007ol      A013723-0018                 0.083     9.33     7.09    0.083     8.30     2.17    0.090     8.33     1.47    0.093     8.32     1.23    0.102     8.35     1.09
2005Y       UGC01159                     0.178     0.67     4.34    0.188     0.35     2.32    0.202     0.54     2.05    0.208     0.67     1.94    0.217     0.59     1.74
2005fa      A013936-0045                 0.052     6.49     7.11    0.118     9.89     5.49    0.135    10.77     4.09    0.136    11.03     3.55    0.150    11.23     3.07
2007me      A014103-0026                 0.088     6.32     7.11    0.094     7.72     7.09    0.135     9.40     7.09    0.171     9.99     6.14    0.191     9.93     5.04
2005ex      A014151-0052                 0.052     8.38    12.28    0.045     7.33     3.70    0.055     7.52     2.21    0.060     7.66     1.77    0.059     7.54     1.50
2000dl      UGC01191                     0.116     0.65     8.69    0.193     0.96     4.34    0.193     0.44     2.21    0.194     0.59     1.92    0.209     0.50     1.66
2006pc      A014410-0009                 0.001     2.10     7.09    0.001     3.40     7.09    0.002     4.66     7.09    0.003     5.57     7.09    0.004     6.05     6.14
2002it      A014434+0051                 0.930    -1.40     8.69    0.804    -0.28     8.69    0.803     1.09     8.69    0.806     1.64     8.69    0.872     1.20     6.14
